Gene	mirnaTG
ENSG00000120948.19	no
ENSG00000254999.4	no
ENSG00000239306.5	no
ENSG00000144233.12	yes
ENSG00000135956.9	no
ENSG00000198612.11	yes
ENSG00000111540.16	yes
ENSG00000107164.17	yes
ENSG00000126698.11	no
ENSG00000115806.13	yes
ENSG00000099783.13	no
ENSG00000111142.14	yes
ENSG00000111361.13	no
ENSG00000115685.15	no
ENSG00000122566.22	no
ENSG00000022840.17	no
ENSG00000111737.12	yes
ENSG00000130985.17	yes
ENSG00000078369.19	yes
ENSG00000138069.18	no
ENSG00000086589.12	no
ENSG00000120942.14	no
ENSG00000119396.12	yes
ENSG00000148229.13	yes
ENSG00000117899.11	no
ENSG00000110108.10	no
ENSG00000148337.22	no
ENSG00000140307.11	no
ENSG00000161202.20	no
ENSG00000140750.17	no
ENSG00000149357.10	no
ENSG00000142186.18	no
ENSG00000154518.10	yes
ENSG00000185651.16	no
ENSG00000075568.17	yes
ENSG00000215835.2	no
ENSG00000128245.15	yes
ENSG00000100225.18	yes
ENSG00000096080.12	no
ENSG00000100804.19	no
ENSG00000141867.19	yes
ENSG00000099956.20	no
ENSG00000076108.12	no
ENSG00000108518.8	yes
ENSG00000138363.15	no
ENSG00000102241.12	yes
ENSG00000138668.20	yes
ENSG00000162734.13	yes
ENSG00000183283.16	no
ENSG00000140941.14	no
ENSG00000131100.13	yes
ENSG00000178307.10	no
ENSG00000163348.4	no
ENSG00000134153.10	no
ENSG00000177105.10	no
ENSG00000181222.19	no
ENSG00000133422.14	no
ENSG00000188725.8	no
ENSG00000150459.13	no
ENSG00000140577.17	no
ENSG00000100335.15	yes
ENSG00000008952.17	no
ENSG00000138942.17	no
ENSG00000177156.11	no
ENSG00000128973.13	no
ENSG00000166987.15	no
ENSG00000160741.17	no
ENSG00000085231.14	no
ENSG00000185721.13	no
ENSG00000129518.10	no
ENSG00000130638.18	no
ENSG00000102390.11	no
ENSG00000070010.19	no
ENSG00000125656.11	no
ENSG00000234518.2	no
ENSG00000078902.16	no
ENSG00000184967.7	no
ENSG00000172062.17	no
ENSG00000110200.9	no
ENSG00000123427.17	no
ENSG00000180957.19	no
ENSG00000168439.17	no
ENSG00000110107.9	no
ENSG00000100226.16	no
ENSG00000124562.10	yes
ENSG00000237877.8	no
ENSG00000144118.14	no
ENSG00000119446.14	no
ENSG00000108774.15	no
ENSG00000141084.12	no
ENSG00000100412.17	no
ENSG00000087191.14	yes
ENSG00000108671.11	yes
ENSG00000138867.17	no
ENSG00000175348.11	no
ENSG00000039523.20	no
ENSG00000089159.17	yes
ENSG00000128272.18	no
ENSG00000126903.16	no
ENSG00000111676.15	no
ENSG00000214160.10	no
ENSG00000112578.10	no
ENSG00000089280.19	yes
ENSG00000120685.20	no
ENSG00000136938.9	no
ENSG00000230793.1	no
ENSG00000173511.10	no
ENSG00000201302.1	no
ENSG00000141480.18	no
ENSG00000079974.19	no
ENSG00000165704.15	no
ENSG00000102882.12	no
ENSG00000137818.12	no
ENSG00000166477.13	no
ENSG00000213300.5	no
ENSG00000176454.15	no
ENSG00000100263.14	no
ENSG00000167173.19	yes
ENSG00000185340.16	no
ENSG00000226781.1	no
ENSG00000157870.17	no
ENSG00000198840.2	no
ENSG00000137166.18	yes
ENSG00000137404.15	no
ENSG00000260643.2	no
ENSG00000179820.16	no
ENSG00000288904.2	no
ENSG00000213430.6	no
ENSG00000136854.25	no
ENSG00000198712.1	no
ENSG00000228492.2	no
ENSG00000208772.1	no
ENSG00000149564.12	no
ENSG00000198938.2	no
ENSG00000250896.1	no
ENSG00000168899.5	no
ENSG00000212443.1	no
ENSG00000198888.2	no
ENSG00000290548.1	no
ENSG00000289269.1	no
ENSG00000223653.6	no
ENSG00000213362.3	no
ENSG00000278467.1	no
ENSG00000164933.13	yes
ENSG00000185442.13	no
ENSG00000287387.1	no
ENSG00000275481.1	no
ENSG00000185201.18	no
ENSG00000231609.7	no
ENSG00000180525.14	no
ENSG00000117791.16	no
ENSG00000248415.1	no
ENSG00000277027.1	no
ENSG00000276337.1	no
ENSG00000286153.2	no
ENSG00000283907.2	no
ENSG00000230882.1	no
ENSG00000224040.1	no
ENSG00000276380.2	no
ENSG00000224820.2	no
ENSG00000211745.3	no
ENSG00000258658.1	no
ENSG00000237234.7	no
ENSG00000289190.2	no
ENSG00000235411.1	no
ENSG00000189108.14	no
ENSG00000254750.1	no
ENSG00000111537.5	no
ENSG00000255569.1	no
ENSG00000211812.1	no
ENSG00000249574.1	no
