Gene	mirnaTG
ENSG00000107745.20	no
ENSG00000028310.18	no
ENSG00000164117.14	no
ENSG00000057757.10	no
ENSG00000148300.12	no
ENSG00000118260.15	yes
ENSG00000167118.11	no
ENSG00000160214.13	no
ENSG00000173915.16	no
ENSG00000213079.10	no
ENSG00000145388.15	no
ENSG00000139370.12	no
ENSG00000126267.11	yes
ENSG00000088833.18	no
ENSG00000119596.18	yes
ENSG00000079950.14	no
ENSG00000024048.11	yes
ENSG00000163832.16	no
ENSG00000067596.12	yes
ENSG00000177192.14	no
ENSG00000138246.17	yes
ENSG00000167528.13	no
ENSG00000187866.10	no
ENSG00000084073.10	yes
ENSG00000204427.12	no
ENSG00000224531.6	no
ENSG00000074695.6	yes
ENSG00000049618.25	no
ENSG00000115042.10	no
ENSG00000076685.19	yes
ENSG00000162517.13	no
ENSG00000167112.10	no
ENSG00000137942.18	yes
ENSG00000163795.14	no
ENSG00000048162.22	no
ENSG00000171467.16	yes
ENSG00000185043.13	no
ENSG00000109184.15	yes
ENSG00000144659.13	no
ENSG00000124789.12	yes
ENSG00000127054.22	no
ENSG00000183826.19	no
ENSG00000155903.14	no
ENSG00000163960.12	no
ENSG00000125877.13	no
ENSG00000165724.6	no
ENSG00000077254.14	no
ENSG00000142168.15	no
ENSG00000168769.14	no
ENSG00000114127.11	yes
ENSG00000140264.22	yes
ENSG00000077348.10	no
ENSG00000112624.14	yes
ENSG00000108963.19	no
ENSG00000214253.9	no
ENSG00000114331.16	no
ENSG00000170906.16	no
ENSG00000085224.23	yes
ENSG00000178057.15	no
ENSG00000099800.8	no
ENSG00000140400.18	no
ENSG00000118496.5	no
ENSG00000160799.12	no
ENSG00000005075.16	no
ENSG00000060971.19	no
ENSG00000104957.14	no
ENSG00000165240.22	no
ENSG00000166012.17	yes
ENSG00000175550.8	no
ENSG00000125821.13	no
ENSG00000131495.9	no
ENSG00000176101.12	no
ENSG00000141295.14	no
ENSG00000104907.13	no
ENSG00000054148.18	no
ENSG00000131023.13	no
ENSG00000130706.13	no
ENSG00000057019.16	yes
ENSG00000203993.7	no
ENSG00000269929.6	no
ENSG00000289234.2	no
ENSG00000185164.15	no
ENSG00000197070.14	no
ENSG00000234912.12	no
ENSG00000125611.16	no
ENSG00000227671.5	no
ENSG00000145390.12	yes
ENSG00000143067.5	yes
ENSG00000272142.4	no
ENSG00000148362.11	no
ENSG00000184922.15	no
ENSG00000146414.17	no
ENSG00000112715.26	yes
ENSG00000126561.18	yes
ENSG00000168273.8	no
ENSG00000127603.32	yes
ENSG00000246203.2	no
ENSG00000240376.1	no
ENSG00000203778.8	no
ENSG00000165115.15	no
ENSG00000187609.16	no
ENSG00000225159.1	no
ENSG00000171163.16	no
ENSG00000180389.7	no
ENSG00000260669.2	no
ENSG00000182774.13	no
ENSG00000250988.7	no
ENSG00000008128.23	no
ENSG00000169627.9	no
ENSG00000237399.7	no
ENSG00000228363.2	no
ENSG00000220201.8	no
ENSG00000251414.1	no
ENSG00000146856.14	no
ENSG00000271327.1	no
ENSG00000236801.1	no
ENSG00000291055.1	no
ENSG00000197442.11	no
ENSG00000246859.3	no
ENSG00000228393.6	no
ENSG00000232931.6	no
ENSG00000183741.12	yes
ENSG00000254812.3	no
ENSG00000287878.1	no
ENSG00000160072.20	no
ENSG00000079337.16	no
ENSG00000281195.1	no
ENSG00000272871.1	no
ENSG00000204851.7	no
ENSG00000226624.1	no
ENSG00000254676.1	no
ENSG00000236778.8	no
ENSG00000131477.11	no
ENSG00000228661.1	no
ENSG00000172717.17	no
ENSG00000207523.1	no
ENSG00000289396.1	no
ENSG00000229939.1	no
ENSG00000164845.17	no
ENSG00000188747.9	no
ENSG00000164116.17	no
ENSG00000105246.6	no
ENSG00000285589.1	no
ENSG00000232059.3	no
ENSG00000067057.19	yes
ENSG00000226948.2	no
ENSG00000290682.1	no
ENSG00000271366.1	no
ENSG00000175262.15	no
ENSG00000199753.1	no
ENSG00000273472.2	no
ENSG00000166450.13	yes
ENSG00000248323.8	no
ENSG00000136883.16	no
ENSG00000160678.12	no
ENSG00000069482.7	no
ENSG00000269404.7	yes
ENSG00000237632.3	no
ENSG00000264808.2	no
ENSG00000285492.2	no
ENSG00000215481.9	no
ENSG00000187753.13	no
ENSG00000265542.5	no
ENSG00000237417.1	no
ENSG00000240996.1	no
ENSG00000289142.1	no
ENSG00000206127.11	no
ENSG00000260266.1	no
ENSG00000258591.2	no
ENSG00000267150.1	no
ENSG00000289376.2	no
ENSG00000211790.2	no
ENSG00000272905.1	no
ENSG00000220541.4	no
ENSG00000129007.16	no
ENSG00000287437.1	no
ENSG00000275791.1	no
ENSG00000101425.14	no
ENSG00000158485.11	no
ENSG00000276557.1	no
ENSG00000276754.1	no
ENSG00000289924.1	no
ENSG00000232194.1	no
ENSG00000289839.1	no
ENSG00000228334.3	no
ENSG00000239804.1	no
ENSG00000253359.1	no
ENSG00000113525.10	no
ENSG00000283383.1	no
ENSG00000081248.12	no
ENSG00000279349.1	no
ENSG00000267299.1	no
ENSG00000211749.1	no
ENSG00000290084.1	no
ENSG00000188582.10	no
ENSG00000286954.1	no
ENSG00000222044.1	no
ENSG00000259240.1	no
ENSG00000206192.7	no
ENSG00000183560.10	no
ENSG00000234988.4	no
