Gene	Model	Statistic
ENSG00000268836.1	LM	0.496024760585214
ENSG00000270906.1	LM	0.495270618639506
ENSG00000234080.3	LM	0.488666091537488
ENSG00000279307.2	LM	0.470978703348713
ENSG00000261594.4	LM	0.452544742744355
ENSG00000267523.1	LM	0.441880265831152
ENSG00000249780.1	LM	0.417123187113296
ENSG00000226038.5	LM	0.413866854383953
ENSG00000253605.1	LM	0.379822999836509
ENSG00000274383.1	LM	0.364927485312846
ENSG00000139914.7	LM	0.344677049666333
ENSG00000240409.1	LM	0.326867583689968
ENSG00000146414.17	LM	0.325018102154718
ENSG00000230084.8	LM	0.321965775155127
ENSG00000249119.1	LM	0.314651841514137
ENSG00000137225.13	LM	0.313437209860541
ENSG00000237080.3	LM	0.312450690633936
ENSG00000106803.10	LM	0.311058369087404
ENSG00000178502.6	LM	0.309326642433489
ENSG00000198146.4	LM	0.304082300125779
ENSG00000105856.14	LM	0.301654507063434
ENSG00000166046.11	LM	0.301609649329967
ENSG00000279759.1	LM	0.300986914996106
ENSG00000132405.19	LM	0.300459169256787
ENSG00000115464.15	LM	0.300328966150017
ENSG00000135913.11	LM	0.299398293165769
ENSG00000077312.9	LM	0.296022943649627
ENSG00000198886.2	LM	0.293900398650745
ENSG00000103657.14	LM	0.293770199136952
ENSG00000138688.17	LM	0.29181534237577
ENSG00000278864.1	LM	0.291520529635509
ENSG00000114742.14	LM	0.290608140919868
ENSG00000198899.2	LM	0.290419143096785
ENSG00000177463.16	LM	0.289851157468831
ENSG00000110344.10	LM	0.289152378897165
ENSG00000280063.1	LM	0.288746793393025
ENSG00000156875.14	LM	0.288687953647458
ENSG00000140382.15	LM	0.288159724876521
ENSG00000038219.13	LM	0.28810370515347
ENSG00000111642.16	LM	0.287257223299746
ENSG00000143970.18	LM	0.286364703872152
ENSG00000173166.18	LM	0.286012564603209
ENSG00000236565.3	LM	0.285445492657112
ENSG00000263001.8	LM	0.28536647268969
ENSG00000166439.6	LM	0.284678690426365
ENSG00000177105.10	LM	0.284637645353432
ENSG00000198763.3	LM	0.283509755524865
ENSG00000267904.1	LM	0.281962183643829
ENSG00000116539.14	LM	0.281504595784663
ENSG00000127481.15	LM	0.281057622409846
ENSG00000115760.16	LM	0.280452304907191
ENSG00000244161.1	LM	0.280318731706031
ENSG00000015479.20	LM	0.280213749974407
ENSG00000102908.23	LM	0.27990777711787
ENSG00000176994.11	LM	0.279424124237928
ENSG00000185722.18	LM	0.279385745762531
ENSG00000254966.1	LM	0.279054891123084
ENSG00000070366.14	LM	0.27526788014138
ENSG00000023516.9	LM	0.274991742843264
ENSG00000181817.6	LM	0.273540951504887
