Gene	Model	Statistic
ENSG00000279307.2	LM	0.351886648394491
ENSG00000261594.4	LM	0.32498624373586
ENSG00000234080.3	LM	0.323896413206823
ENSG00000268836.1	LM	0.315342537360835
ENSG00000267523.1	LM	0.304949069964778
ENSG00000253605.1	LM	0.299312494656353
ENSG00000270906.1	LM	0.288859304309922
ENSG00000226038.5	LM	0.279812926165498
ENSG00000249780.1	LM	0.268069272855478
ENSG00000244161.1	LM	0.220266344611266
ENSG00000139914.7	LM	0.220048627445176
ENSG00000137225.13	LM	0.217962221671186
ENSG00000274383.1	LM	0.214331422064927
ENSG00000278864.1	LM	0.210013764228871
ENSG00000289443.1	LM	0.209745653739571
ENSG00000279759.1	LM	0.20452245734301
ENSG00000249119.1	LM	0.199807020026028
ENSG00000237080.3	LM	0.198561572089565
ENSG00000136938.9	LM	0.196513707856098
ENSG00000280063.1	LM	0.194011865862826
ENSG00000015479.20	LM	0.191743182727177
ENSG00000230084.8	LM	0.190987609588267
ENSG00000280927.1	LM	0.190854087694379
ENSG00000177105.10	LM	0.189991372279347
ENSG00000255423.1	LM	0.189060538115554
ENSG00000280067.1	LM	0.184514015894527
ENSG00000237804.1	LM	0.184112855433563
ENSG00000279159.1	LM	0.183034596819539
ENSG00000240409.1	LM	0.182716859127121
ENSG00000280039.1	LM	0.180985696587407
ENSG00000272037.1	LM	0.180779023214395
ENSG00000181817.6	LM	0.180633479918667
ENSG00000100450.13	LM	0.179562323713872
ENSG00000230551.4	LM	0.178514108839846
ENSG00000166046.11	LM	0.173321068297976
ENSG00000249915.9	LM	0.172793162842443
ENSG00000108518.8	LM	0.17276767094306
ENSG00000236565.3	LM	0.172382088083273
ENSG00000198899.2	LM	0.172371675454163
ENSG00000255585.3	LM	0.171740611315668
ENSG00000120948.19	LM	0.170979972470719
ENSG00000135317.14	LM	0.168767060726577
ENSG00000204564.12	LM	0.168595307572198
ENSG00000280332.1	LM	0.167801826366451
ENSG00000258682.1	LM	0.167633755335622
ENSG00000215388.3	LM	0.167454048140859
ENSG00000154485.5	LM	0.167292560193223
ENSG00000198886.2	LM	0.166655864079861
ENSG00000228253.1	LM	0.166077427888605
ENSG00000279833.1	LM	0.165374144597352
ENSG00000198888.2	LM	0.164932507407356
