Gene	mirnaTG
ENSG00000165119.22	no
ENSG00000121774.18	no
ENSG00000138073.14	no
ENSG00000149136.9	yes
ENSG00000122566.22	no
ENSG00000170445.16	no
ENSG00000148248.14	yes
ENSG00000105723.13	no
ENSG00000183431.12	no
ENSG00000198522.14	no
ENSG00000241553.13	no
ENSG00000110107.9	no
ENSG00000116514.17	no
ENSG00000168286.3	no
ENSG00000161547.17	no
ENSG00000115649.16	no
ENSG00000100325.15	no
ENSG00000100124.15	no
ENSG00000182872.16	no
ENSG00000090674.16	no
ENSG00000148229.13	yes
ENSG00000138382.15	no
ENSG00000122140.13	no
ENSG00000088038.20	no
ENSG00000169221.14	no
ENSG00000182087.14	no
ENSG00000034713.8	no
ENSG00000156928.5	no
ENSG00000163870.16	no
ENSG00000100023.20	no
ENSG00000132604.11	no
ENSG00000119522.18	no
ENSG00000178951.9	yes
ENSG00000100575.14	no
ENSG00000158417.11	yes
ENSG00000106305.10	no
ENSG00000143761.17	no
ENSG00000155287.12	no
ENSG00000156709.15	no
ENSG00000089693.11	no
ENSG00000205352.11	no
ENSG00000129484.14	no
ENSG00000133935.7	no
ENSG00000128245.15	yes
ENSG00000167862.10	no
ENSG00000167004.14	no
ENSG00000106105.15	yes
ENSG00000070814.22	no
ENSG00000123353.10	no
ENSG00000100442.11	no
ENSG00000172757.13	no
ENSG00000167987.11	no
ENSG00000182004.13	no
ENSG00000119328.12	no
ENSG00000166889.14	yes
ENSG00000078808.20	no
ENSG00000166987.15	no
ENSG00000048162.22	no
ENSG00000173915.16	no
ENSG00000276045.4	no
ENSG00000167863.12	no
ENSG00000188493.15	no
ENSG00000100084.14	no
ENSG00000105677.12	no
ENSG00000167595.16	no
ENSG00000073050.12	no
ENSG00000169733.12	no
ENSG00000177556.12	no
ENSG00000169136.13	yes
ENSG00000125454.12	no
ENSG00000160404.18	no
ENSG00000177728.17	no
ENSG00000143793.13	no
ENSG00000105193.9	no
ENSG00000226781.1	no
ENSG00000119888.11	yes
ENSG00000253785.1	no
ENSG00000160767.23	no
ENSG00000277258.5	no
ENSG00000173457.11	no
ENSG00000255585.3	no
ENSG00000250479.9	no
ENSG00000280434.1	no
ENSG00000125148.7	no
ENSG00000288720.2	no
ENSG00000236581.9	no
ENSG00000236562.4	no
ENSG00000291236.1	no
