Gene	mirnaTG
ENSG00000175470.20	no
ENSG00000115307.17	no
ENSG00000115289.14	no
ENSG00000083937.10	no
ENSG00000171169.9	no
ENSG00000241468.8	no
ENSG00000108424.11	yes
ENSG00000166136.16	no
ENSG00000161654.10	no
ENSG00000133316.16	no
ENSG00000047188.16	no
ENSG00000143970.18	no
ENSG00000111639.8	no
ENSG00000125445.11	no
ENSG00000140575.13	yes
ENSG00000175334.8	no
ENSG00000125107.19	yes
ENSG00000148444.16	no
ENSG00000099795.7	no
ENSG00000176340.4	no
ENSG00000185621.11	no
ENSG00000076604.16	no
ENSG00000241370.6	no
ENSG00000166925.9	no
ENSG00000246308.4	no
ENSG00000110080.20	no
ENSG00000171443.7	no
ENSG00000170430.10	no
ENSG00000168061.17	no
ENSG00000290994.1	no
ENSG00000227376.1	no
ENSG00000240972.2	no
ENSG00000237506.3	no
ENSG00000218586.3	no
ENSG00000229168.4	no
ENSG00000118432.13	no
ENSG00000108511.10	no
ENSG00000164756.13	no
ENSG00000255213.1	no
ENSG00000250031.1	no
ENSG00000251692.8	no
ENSG00000178115.12	no
ENSG00000247728.2	no
ENSG00000229817.1	no
ENSG00000279077.1	no
ENSG00000214435.9	no
ENSG00000275017.1	no
ENSG00000256588.1	no
ENSG00000255933.1	no
ENSG00000252355.1	no
ENSG00000271377.1	no
ENSG00000251189.1	no
