Gene	mirnaTG
ENSG00000124160.12	no
ENSG00000066117.15	yes
ENSG00000115053.17	no
ENSG00000156639.12	no
ENSG00000140497.16	no
ENSG00000173039.20	no
ENSG00000152219.5	no
ENSG00000138663.9	no
ENSG00000110107.9	no
ENSG00000135486.19	no
ENSG00000149357.10	no
ENSG00000172757.13	no
ENSG00000111481.10	no
ENSG00000133895.19	no
ENSG00000145388.15	no
ENSG00000129518.10	no
ENSG00000099940.12	no
ENSG00000178951.9	yes
ENSG00000103591.13	no
ENSG00000177105.10	no
ENSG00000164733.23	no
ENSG00000119638.14	yes
ENSG00000133935.7	no
ENSG00000166477.13	no
ENSG00000168806.8	yes
ENSG00000115145.10	yes
ENSG00000175334.8	no
ENSG00000139531.13	no
ENSG00000213763.4	no
ENSG00000185236.12	no
ENSG00000264522.6	no
ENSG00000241839.10	no
ENSG00000119655.11	no
ENSG00000139644.13	no
ENSG00000165943.5	no
ENSG00000196659.10	no
ENSG00000248008.5	no
ENSG00000128595.17	yes
ENSG00000182606.17	no
ENSG00000032742.18	no
ENSG00000243279.4	no
ENSG00000179454.14	no
ENSG00000253276.5	yes
ENSG00000187534.6	no
ENSG00000213463.5	no
ENSG00000124155.19	no
ENSG00000104133.16	no
ENSG00000116649.10	yes
ENSG00000175274.19	no
ENSG00000105137.13	yes
ENSG00000153214.11	yes
ENSG00000080561.14	no
ENSG00000164331.10	no
ENSG00000165533.19	no
ENSG00000205542.11	no
ENSG00000169136.13	yes
ENSG00000198270.13	no
ENSG00000174373.17	no
ENSG00000160404.18	no
ENSG00000163818.20	no
ENSG00000275234.1	no
ENSG00000198718.13	no
ENSG00000109743.11	no
ENSG00000100060.18	no
ENSG00000074621.14	no
ENSG00000140463.14	no
ENSG00000139160.13	no
ENSG00000115109.14	no
ENSG00000185420.19	no
ENSG00000226608.3	no
ENSG00000167797.8	no
ENSG00000172869.15	yes
ENSG00000198863.8	no
ENSG00000152939.17	no
ENSG00000010295.20	no
ENSG00000154096.14	no
ENSG00000171310.11	no
ENSG00000183323.13	no
ENSG00000113719.17	no
ENSG00000074696.13	no
ENSG00000065978.19	no
ENSG00000002834.19	yes
ENSG00000177842.12	no
ENSG00000169554.23	yes
ENSG00000085662.14	no
ENSG00000065361.17	yes
ENSG00000123342.16	no
ENSG00000187688.15	yes
ENSG00000119636.16	no
ENSG00000224631.4	no
ENSG00000232573.1	no
ENSG00000165591.7	no
ENSG00000170909.14	no
ENSG00000141505.12	no
ENSG00000138623.10	no
ENSG00000149231.16	yes
ENSG00000130592.17	no
ENSG00000166503.9	no
ENSG00000197375.14	no
ENSG00000186496.12	no
ENSG00000120708.17	no
ENSG00000196358.12	no
ENSG00000140678.17	no
ENSG00000060982.15	yes
ENSG00000081923.15	no
ENSG00000054392.13	no
ENSG00000260912.1	no
ENSG00000147872.10	no
ENSG00000079215.15	no
ENSG00000106537.8	no
ENSG00000131844.17	no
ENSG00000167608.12	no
ENSG00000163683.12	no
ENSG00000116711.10	no
ENSG00000106538.10	no
ENSG00000165821.12	no
ENSG00000154127.10	yes
ENSG00000041353.10	no
ENSG00000165105.10	no
ENSG00000075275.18	no
ENSG00000172243.18	no
ENSG00000112379.9	no
ENSG00000156042.19	no
ENSG00000100219.17	no
ENSG00000183248.12	no
ENSG00000142583.18	no
ENSG00000196177.13	no
ENSG00000118997.14	no
ENSG00000118513.20	no
ENSG00000147889.18	no
ENSG00000287906.1	no
ENSG00000034053.15	no
ENSG00000130005.13	no
ENSG00000187123.15	no
ENSG00000115648.14	no
ENSG00000109436.8	no
ENSG00000187720.15	no
ENSG00000118849.10	no
ENSG00000133048.13	no
ENSG00000107485.18	no
ENSG00000196208.14	no
ENSG00000168334.9	no
ENSG00000117472.10	no
ENSG00000074410.14	yes
ENSG00000102313.9	no
ENSG00000108176.15	no
ENSG00000129514.8	no
ENSG00000162840.4	no
ENSG00000214653.4	no
ENSG00000106541.12	no
ENSG00000180878.3	no
