"Target","Evidence"
"A1CF","predicted (union)"
"A4GNT","predicted (intersection) + predicted (union)"
"AADACL4","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AAMDC","predicted (union)"
"AASDHPPT","predicted (union)"
"ABCA1","predicted (union)"
"ABCA5","predicted (intersection) + predicted (union)"
"ABCA8","predicted (union)"
"ABCB1","predicted (union)"
"ABCB11","predicted (union)"
"ABCB5","predicted (intersection) + predicted (union)"
"ABCB6","predicted (union)"
"ABCC3","predicted (union)"
"ABCC5","predicted (union)"
"ABCC9","predicted (intersection) + predicted (union)"
"ABCD2","predicted (union)"
"ABCF1","predicted (union)"
"ABCG1","predicted (intersection) + predicted (union)"
"ABCG2","predicted (intersection) + predicted (union)"
"ABHD10","predicted (union)"
"ABHD15","predicted (intersection) + predicted (union)"
"ABHD17B","predicted (union)"
"ABHD2","predicted (union)"
"ABHD3","predicted (union)"
"ABHD5","predicted (union)"
"ABI3BP","predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM1","predicted (union)"
"ABLIM3","predicted (union)"
"ABRA","predicted (intersection) + predicted (union)"
"ABRAXAS2","predicted (intersection) + predicted (union)"
"ABT1","predicted (union)"
"ACAA2","predicted (union)"
"ACAD8","predicted (union)"
"ACADL","predicted (union)"
"ACADM","predicted (union)"
"ACADSB","predicted (union)"
"ACAP2","predicted (union)"
"ACBD3","predicted (union)"
"ACBD7","predicted (union)"
"ACER2","predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACKR3","predicted (intersection) + predicted (union)"
"ACKR4","predicted (intersection) + predicted (union)"
"ACO1","predicted (union)"
"ACOT11","predicted (intersection) + predicted (union)"
"ACOT13","predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOX1","predicted (union)"
"ACP1","predicted (union)"
"ACSBG1","predicted (intersection) + predicted (union)"
"ACSL3","predicted (union)"
"ACSL4","predicted (union)"
"ACSL6","predicted (union)"
"ACSM4","predicted (union)"
"ACSM5","predicted (union)"
"ACTC1","predicted (union)"
"ACTG2","predicted (union)"
"ACTR2","predicted (union)"
"ACTR3","predicted (union)"
"ACTR8","predicted (intersection) + predicted (union)"
"ACTRT3","predicted (intersection) + predicted (union)"
"ACVR1B","predicted (union)"
"ACVR1C","predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ACYP1","predicted (union)"
"ACYP2","predicted (union)"
"ADAD1","predicted (union)"
"ADAL","predicted (union)"
"ADAM10","predicted (union)"
"ADAM22","predicted (union)"
"ADAM23","predicted (union)"
"ADAM28","predicted (union)"
"ADAM9","predicted (union)"
"ADAMTS1","predicted (intersection) + predicted (union)"
"ADAMTS12","predicted (union)"
"ADAMTS15","predicted (union)"
"ADAMTS18","predicted (union)"
"ADAMTS3","predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADAMTSL1","predicted (union)"
"ADAMTSL3","predicted (union)"
"ADAP2","predicted (union)"
"ADARB2","predicted (intersection) + predicted (union)"
"ADAT1","predicted (union)"
"ADAT2","predicted (union)"
"ADCY9","predicted (union)"
"ADCYAP1R1","predicted (intersection) + predicted (union)"
"ADD2","predicted (intersection) + predicted (union)"
"ADGB","predicted (union)"
"ADGRE2","predicted (intersection) + predicted (union)"
"ADGRF5","predicted (intersection) + predicted (union)"
"ADGRG2","predicted (union)"
"ADGRG6","predicted (intersection) + predicted (union)"
"ADGRL1","predicted (union)"
"ADGRL2","predicted (union)"
"ADGRL3","predicted (union)"
"ADGRL4","predicted (union)"
"ADH1B","predicted (intersection) + predicted (union)"
"ADH5","predicted (union)"
"ADI1","predicted (intersection) + predicted (union)"
"ADIPOR2","predicted (union)"
"ADK","predicted (union)"
"ADNP","predicted (intersection) + predicted (union)"
"ADNP2","predicted (intersection) + predicted (union)"
"ADO","predicted (intersection) + predicted (union)"
"ADORA2A","predicted (union)"
"ADPGK","predicted (union)"
"ADPRHL1","predicted (union)"
"AEBP2","predicted (union)"
"AEN","predicted (union)"
"AFAP1L1","predicted (union)"
"AFAP1L2","predicted (union)"
"AFDN","predicted (union)"
"AFF1","predicted (union)"
"AFF2","predicted (union)"
"AFF3","predicted (intersection) + predicted (union)"
"AFF4","predicted (intersection) + predicted (union)"
"AFG1L","predicted (intersection) + predicted (union)"
"AGAP1","predicted (union)"
"AGAP2","predicted (union)"
"AGBL4","predicted (union)"
"AGBL5","predicted (union)"
"AGFG1","predicted (union)"
"AGGF1","predicted (intersection) + predicted (union)"
"AGK","predicted (intersection) + predicted (union)"
"AGL","predicted (intersection) + predicted (union)"
"AGO1","predicted (intersection) + predicted (union)"
"AGO2","predicted (intersection) + predicted (union)"
"AGO3","predicted (intersection) + predicted (union)"
"AGO4","predicted (intersection) + predicted (union)"
"AGPAT4","predicted (intersection) + predicted (union)"
"AGPAT5","predicted (intersection) + predicted (union)"
"AGPS","predicted (union)"
"AGTPBP1","predicted (intersection) + predicted (union)"
"AGTRAP","predicted (union)"
"AHCYL1","predicted (union)"
"AHI1","predicted (union)"
"AHNAK","predicted (union)"
