"Target","Evidence"
"A1CF","predicted (union)"
"AAGAB","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AARD","predicted (union)"
"AARS2","predicted (union)"
"AASDH","predicted (union)"
"AATK","predicted (union)"
"ABAT","predicted (union)"
"ABCA1","predicted (intersection) + predicted (union)"
"ABCA5","predicted (union)"
"ABCA6","predicted (union)"
"ABCA9","predicted (union)"
"ABCB10","predicted (union)"
"ABCB11","predicted (union)"
"ABCC11","predicted (union)"
"ABCC5","predicted (union)"
"ABCC9","predicted (union)"
"ABCD2","predicted (union)"
"ABCF2","experimental (all) + predicted (intersection) + predicted (union)"
"ABCG1","predicted (intersection) + predicted (union)"
"ABCG2","predicted (union)"
"ABCG5","predicted (intersection) + predicted (union)"
"ABHD15","predicted (intersection) + predicted (union)"
"ABHD17B","predicted (union)"
"ABHD18","predicted (union)"
"ABHD2","predicted (intersection) + predicted (union)"
"ABHD5","predicted (union)"
"ABI1","predicted (intersection) + predicted (union)"
"ABI3BP","predicted (union)"
"ABL1","predicted (union)"
"ABL2","predicted (union)"
"ABRACL","predicted (union)"
"ABRAXAS2","predicted (union)"
"ABT1","predicted (union)"
"ACAA2","predicted (union)"
"ACADL","predicted (intersection) + predicted (union)"
"ACAP2","predicted (union)"
"ACBD4","predicted (union)"
"ACBD7","predicted (union)"
"ACER2","predicted (intersection) + predicted (union)"
"ACER3","predicted (intersection) + predicted (union)"
"ACKR3","predicted (union)"
"ACOT11","predicted (intersection) + predicted (union)"
"ACOT13","predicted (union)"
"ACOT2","predicted (intersection) + predicted (union)"
"ACOX3","predicted (union)"
"ACOXL","predicted (intersection) + predicted (union)"
"ACSL3","predicted (union)"
"ACSM2A","predicted (union)"
"ACSM2B","predicted (union)"
"ACSS3","predicted (intersection) + predicted (union)"
"ACTC1","predicted (union)"
"ACTN2","predicted (union)"
"ACTN4","predicted (union)"
"ACTR1A","experimental (all) + predicted (intersection) + predicted (union)"
"ACTR2","predicted (union)"
"ACTR3C","predicted (union)"
"ACTR8","predicted (intersection) + predicted (union)"
"ACVR1","predicted (intersection) + predicted (union)"
"ACVR1C","predicted (union)"
"ACVR2B","predicted (union)"
"ACYP2","predicted (union)"
"ADAL","predicted (union)"
"ADAM15","predicted (union)"
"ADAM17","predicted (union)"
"ADAM22","predicted (union)"
"ADAM28","predicted (intersection) + predicted (union)"
"ADAM9","predicted (union)"
"ADAMTS1","predicted (union)"
"ADAMTS12","predicted (intersection) + predicted (union)"
"ADAMTS17","predicted (intersection) + predicted (union)"
"ADAMTS19","predicted (union)"
"ADAMTS20","predicted (union)"
"ADAMTS4","predicted (intersection) + predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADAMTS9","predicted (union)"
"ADARB2","predicted (union)"
"ADAT1","predicted (union)"
"ADAT2","predicted (union)"
"ADCY1","predicted (union)"
"ADCY2","predicted (union)"
"ADCYAP1R1","predicted (intersection) + predicted (union)"
"ADD2","predicted (union)"
"ADD3","predicted (union)"
"ADGRB3","predicted (union)"
"ADGRE2","predicted (union)"
"ADGRE5","predicted (union)"
"ADGRF1","predicted (union)"
"ADGRG5","predicted (union)"
"ADGRG6","predicted (intersection) + predicted (union)"
"ADGRL3","predicted (union)"
"ADH4","predicted (union)"
"ADH5","predicted (union)"
"ADI1","predicted (union)"
"ADIPOR2","predicted (intersection) + predicted (union)"
"ADM","predicted (union)"
"ADNP2","predicted (union)"
"ADRA1A","predicted (intersection) + predicted (union)"
"ADRA1D","predicted (union)"
"ADRA2A","predicted (union)"
"ADRB1","predicted (union)"
"AEBP2","predicted (union)"
"AFDN","predicted (intersection) + predicted (union)"
"AFF1","predicted (intersection) + predicted (union)"
"AFF2","predicted (intersection) + predicted (union)"
"AFF3","predicted (union)"
"AFF4","predicted (union)"
"AGAP1","predicted (union)"
"AGAP4","predicted (union)"
"AGAP5","predicted (union)"
"AGAP6","predicted (union)"
