"Target","Evidence"
"ABI2","experimental (all)"
"CYP1A1","experimental (all)"
"IGF2","experimental (all)"
"MKNK2","experimental (all)"
"SEC23A","experimental (all)"
"SHOX2","experimental (all)"
"ZFHX4","experimental (all)"
"ANKRD33B","experimental (all) + predicted (intersection) + predicted (union)"
"ARHGDIA","experimental (all) + predicted (intersection) + predicted (union)"
"ARPC3","experimental (all) + predicted (intersection) + predicted (union)"
"ATP5MC3","experimental (all) + predicted (intersection) + predicted (union)"
"ATP6V1E1","experimental (all) + predicted (intersection) + predicted (union)"
"AVPR1A","experimental (all) + predicted (intersection) + predicted (union)"
"BAG4","experimental (all) + predicted (intersection) + predicted (union)"
"BBX","experimental (all) + predicted (intersection) + predicted (union)"
"C21orf91","experimental (all) + predicted (intersection) + predicted (union)"
"C6orf47","experimental (all) + predicted (intersection) + predicted (union)"
"CAB39","experimental (all) + predicted (intersection) + predicted (union)"
"CACNG8","experimental (all) + predicted (intersection) + predicted (union)"
"CAMSAP2","experimental (all) + predicted (intersection) + predicted (union)"
"CASP2","experimental (all) + predicted (intersection) + predicted (union)"
"CCNT2","experimental (all) + predicted (intersection) + predicted (union)"
"CDC14B","experimental (all) + predicted (intersection) + predicted (union)"
"CDCA4","experimental (all) + predicted (intersection) + predicted (union)"
"CDKN1B","experimental (all) + predicted (intersection) + predicted (union)"
"CELF1","experimental (all) + predicted (intersection) + predicted (union)"
"CLEC2D","experimental (all) + predicted (intersection) + predicted (union)"
"CLPB","experimental (all) + predicted (intersection) + predicted (union)"
"CRLF3","experimental (all) + predicted (intersection) + predicted (union)"
"DCBLD2","experimental (all) + predicted (intersection) + predicted (union)"
"DENND5B","experimental (all) + predicted (intersection) + predicted (union)"
"DNAJB6","experimental (all) + predicted (intersection) + predicted (union)"
"DNAJB9","experimental (all) + predicted (intersection) + predicted (union)"
"ELOC","experimental (all) + predicted (intersection) + predicted (union)"
"ERMP1","experimental (all) + predicted (intersection) + predicted (union)"
"ERRFI1","experimental (all) + predicted (intersection) + predicted (union)"
"FAM216B","experimental (all) + predicted (intersection) + predicted (union)"
"FKBP5","experimental (all) + predicted (intersection) + predicted (union)"
"FRS2","experimental (all) + predicted (intersection) + predicted (union)"
"GATA6","experimental (all) + predicted (intersection) + predicted (union)"
"GOT1","experimental (all) + predicted (intersection) + predicted (union)"
"GPATCH8","experimental (all) + predicted (intersection) + predicted (union)"
"GPX8","experimental (all) + predicted (intersection) + predicted (union)"
"INO80D","experimental (all) + predicted (intersection) + predicted (union)"
"IRS1","experimental (all) + predicted (intersection) + predicted (union)"
"JUN","experimental (all) + predicted (intersection) + predicted (union)"
"KIF13A","experimental (all) + predicted (intersection) + predicted (union)"
"KLHL42","experimental (all) + predicted (intersection) + predicted (union)"
"KRAS","experimental (all) + predicted (intersection) + predicted (union)"
"LMNB1","experimental (all) + predicted (intersection) + predicted (union)"
"M6PR","experimental (all) + predicted (intersection) + predicted (union)"
"MALT1","experimental (all) + predicted (intersection) + predicted (union)"
"MAMLD1","experimental (all) + predicted (intersection) + predicted (union)"
"MAPK7","experimental (all) + predicted (intersection) + predicted (union)"
"MBD5","experimental (all) + predicted (intersection) + predicted (union)"
"MLLT10","experimental (all) + predicted (intersection) + predicted (union)"
"MTDH","experimental (all) + predicted (intersection) + predicted (union)"
"N4BP2","experimental (all) + predicted (intersection) + predicted (union)"
"NCOA2","experimental (all) + predicted (intersection) + predicted (union)"
"NGRN","experimental (all) + predicted (intersection) + predicted (union)"
"NLGN4X","experimental (all) + predicted (intersection) + predicted (union)"
"NRBP1","experimental (all) + predicted (intersection) + predicted (union)"
"NUFIP2","experimental (all) + predicted (intersection) + predicted (union)"
"OSTM1","experimental (all) + predicted (intersection) + predicted (union)"
"PABPC1","experimental (all) + predicted (intersection) + predicted (union)"
"PAK2","experimental (all) + predicted (intersection) + predicted (union)"
"PARD6B","experimental (all) + predicted (intersection) + predicted (union)"
"PDPK1","experimental (all) + predicted (intersection) + predicted (union)"
"PHF14","experimental (all) + predicted (intersection) + predicted (union)"
"PKD1","experimental (all) + predicted (intersection) + predicted (union)"
"PLCG1","experimental (all) + predicted (intersection) + predicted (union)"
"PMAIP1","experimental (all) + predicted (intersection) + predicted (union)"
"PPM1H","experimental (all) + predicted (intersection) + predicted (union)"
"PPP1R18","experimental (all) + predicted (intersection) + predicted (union)"
"PRRG4","experimental (all) + predicted (intersection) + predicted (union)"
"PSD3","experimental (all) + predicted (intersection) + predicted (union)"
"QKI","experimental (all) + predicted (intersection) + predicted (union)"
"RAP2C","experimental (all) + predicted (intersection) + predicted (union)"
"RTL8C","experimental (all) + predicted (intersection) + predicted (union)"
"SEC24A","experimental (all) + predicted (intersection) + predicted (union)"
"SECISBP2L","experimental (all) + predicted (intersection) + predicted (union)"
"SERPINH1","experimental (all) + predicted (intersection) + predicted (union)"
"SESN1","experimental (all) + predicted (intersection) + predicted (union)"
"SHCBP1","experimental (all) + predicted (intersection) + predicted (union)"
"SHOC2","experimental (all) + predicted (intersection) + predicted (union)"
"STX16","experimental (all) + predicted (intersection) + predicted (union)"
"TAF1D","experimental (all) + predicted (intersection) + predicted (union)"
"TBK1","experimental (all) + predicted (intersection) + predicted (union)"
"TCF7L2","experimental (all) + predicted (intersection) + predicted (union)"
"TJAP1","experimental (all) + predicted (intersection) + predicted (union)"
"TMEM119","experimental (all) + predicted (intersection) + predicted (union)"
"TMEM70","experimental (all) + predicted (intersection) + predicted (union)"
"TP53INP1","experimental (all) + predicted (intersection) + predicted (union)"
"TPD52L1","experimental (all) + predicted (intersection) + predicted (union)"
"TUBB","experimental (all) + predicted (intersection) + predicted (union)"
"TUBB2A","experimental (all) + predicted (intersection) + predicted (union)"
"TXNDC16","experimental (all) + predicted (intersection) + predicted (union)"
"UBE2D1","experimental (all) + predicted (intersection) + predicted (union)"
"UHRF1BP1","experimental (all) + predicted (intersection) + predicted (union)"
"UNC119B","experimental (all) + predicted (intersection) + predicted (union)"
"WNT16","experimental (all) + predicted (intersection) + predicted (union)"
"ZMAT3","experimental (all) + predicted (intersection) + predicted (union)"
"ZNF621","experimental (all) + predicted (intersection) + predicted (union)"
"ABT1","experimental (all) + predicted (union)"
"ACSL4","experimental (all) + predicted (union)"
"BCL2L11","experimental (all) + predicted (union)"
"DDIT4","experimental (all) + predicted (union)"
"EP300","experimental (all) + predicted (union)"
"PTPN4","experimental (all) + predicted (union)"
"TRIM56","experimental (all) + predicted (union)"
"YEATS4","experimental (all) + predicted (union)"
"BCL2","experimental (strong) + experimental (all)"
"DNMT1","experimental (strong) + experimental (all)"
"EZH2","experimental (strong) + experimental (all)"
"HOXB5","experimental (strong) + experimental (all)"
"MALAT1","experimental (strong) + experimental (all)"
"MYC","experimental (strong) + experimental (all)"
"SEPTIN7","experimental (strong) + experimental (all)"
"TCF7L1","experimental (strong) + experimental (all)"
"TIMP2","experimental (strong) + experimental (all)"
"VAC14","experimental (strong) + experimental (all)"
"WDR37","experimental (strong) + experimental (all)"
"ZEB2","experimental (strong) + experimental (all)"
"BAP1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"CRKL","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"DLC1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ELMO2","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"FSCN1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"KLF11","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"MYB","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ONECUT2","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"PTEN","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"RASSF8","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"RBBP4","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"SOX2","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"SP1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"VEGFA","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"WASF3","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"XIAP","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ZEB1","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ZFPM2","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"ERBIN","experimental (strong) + experimental (all) + predicted (union)"
