Gene	mean_raw_r_sq	best_raw_r_sq	mean_rmse	min_rmse	cor_value_R2_RMSE	cor_pvalue	cor_padj_BH
ENST00000667630.1	0.0861566535107313	0.26256761758611	0.740463672004306	0.583209782311286	-0.773175715371817	0.125172882368563	0.493624245473324
ENST00000671092.1	0.0534640047411648	0.0432516257269302	0.746411713774121	0.634944408858941	-0.360170324189632	0.551534143506167	0.814374331679835
ENST00000658840.1	-0.0494432135948602	3.33066907387547e-16	2.77764554169583	0.878320836208839	-0.221809779942531	0.719916214335315	0.883097222917987
ENST00000653853.1	-0.000139283805747015	0	2.73134530926981	1.0573496257674	0.275839099796308	0.653296771203619	0.834349841302386
ENST00000652492.1	-0.00640232119337343	0.0278720199621646	3.52513587055857	1.49545317659217	-0.668281453595213	0.21757106453385	0.645694772164975
ENST00000665175.1	0.00370068010659534	0.0755003936696107	3.71262214650921	2.50799453015809	-0.743538520086631	0.149765211519246	0.529938440760408
ENST00000666076.1	0.0252171267892221	0.0789500362347125	3.74343706329439	2.6636758410088	-0.403610129267161	0.50042239337348	0.806102237257669
ENST00000523068.2	0.0138716322163099	0.00342683861870385	4.06741177192084	2.70104781492895	0.85794892725204	0.0628815799216234	0.392367358176863
ENST00000656693.1	0.0435780465706463	-0.0883351477784569	3.68198535719014	2.90730458266143	0.349915383857389	0.563740406121021	0.814374331679835
ENST00000667418.1	-0.0750823851156868	0.00564403457005214	4.85263336899563	3.04973998080076	-0.60346120448813	0.281237163150118	0.686724864116402
ENST00000523427.2	-0.0417929138352211	-0.293286261965708	4.17477997197692	3.09419330189461	0.56771144219007	0.318129968572555	0.686724864116402
ENST00000651664.1	0	0	3.90716984099332	3.16979623529988	NA	NA	NA
ENST00000689722.1	0.0786955699124386	0.378763083492647	4.55157560612442	3.19514648198416	-0.758467808086122	0.137214499244585	0.504949357220074
ENST00000667539.1	-0.0350924654652719	0.00107104340744735	4.38343589421976	3.24521154203183	0.332798364627744	0.584225064031186	0.814374331679835
ENST00000660069.1	0	0	4.18499317585032	3.26553997859414	NA	NA	NA
ENST00000666105.1	-0.0285788122072797	0	4.05670690314485	3.29803670067321	NA	NA	NA
ENST00000664610.1	-0.0024684579746705	0	4.41509115457171	3.3459250256599	NA	NA	NA
ENST00000663059.1	0	0	4.10989738900877	3.3747332067991	NA	NA	NA
ENST00000660659.1	0	0	3.65689429877115	3.4014121725547	NA	NA	NA
ENST00000517790.2	-0.032272386254794	-0.0215573336083419	4.58678886063657	3.44682998125914	-0.532812901702261	0.355228294958384	0.709386787431319
ENST00000690788.1	0	0	4.24683185455658	3.47497158451522	NA	NA	NA
ENST00000657517.1	0	0	4.71709814661515	3.50458290276054	NA	NA	NA
ENST00000669416.1	-0.0300813543813651	0.079163945940249	4.61859723651834	3.60142382407851	-0.392681950011338	0.513186096859494	0.806102237257669
ENST00000658305.1	0	0	4.82500716519959	3.61582482515575	NA	NA	NA
ENST00000692433.1	-0.0350679677019726	-0.159421506552798	4.60851250322236	3.66565484049727	0.872426940294692	0.0536391803957431	0.392367358176863
ENST00000668123.1	0	0	4.54858161238855	3.69515976262227	NA	NA	NA
ENST00000658350.1	0.000617272224009913	0	4.81138144614329	3.7229341008119	0.813054630756736	0.0942619301444689	0.433604878664557
ENST00000657667.1	-0.000575785042139598	0	4.43710970659081	3.75991649280184	NA	NA	NA
ENST00000666777.1	-0.00414355005850171	0	4.8966071025604	3.80430715863946	-0.0454409287185116	0.94216273011675	0.979208554284117
ENST00000670626.1	0.00283067767602101	-0.0597049097165248	4.69044598266213	3.86144183412167	0.574832517453759	0.310688300590565	0.686724864116402
ENST00000670532.1	-0.00511664919586212	-0.0104763472346534	5.21691387590518	3.91456096130116	0.393280203581843	0.51248565977415	0.806102237257669
ENST00000665698.1	-0.000362256194918009	0	4.85906596622317	3.92348205178706	NA	NA	NA
ENST00000663753.1	0	0	5.33848139804421	4.13782075511194	NA	NA	NA
ENST00000665372.1	-0.0203353299027965	0	4.95724825750067	4.14339519167272	0.294882626905955	0.630058401126673	0.834349841302386
ENST00000662410.1	-0.0196242184198098	-0.098121092099049	4.34034255808814	4.14650611798076	NA	NA	NA
ENST00000651568.1	0.0146276705760842	-0.000741046312484839	4.77699586822982	4.22780190028709	0.268703807773309	0.662038461033415	0.834349841302386
