Gene	mirnaTG
ENSG00000184863.11	no
ENSG00000100109.17	no
ENSG00000196262.15	no
ENSG00000033030.16	no
ENSG00000108433.17	no
ENSG00000153037.15	no
ENSG00000101191.17	no
ENSG00000085978.22	no
ENSG00000137776.17	no
ENSG00000205423.12	no
ENSG00000101290.14	yes
ENSG00000263465.5	no
ENSG00000172113.10	no
ENSG00000170234.13	no
ENSG00000180228.14	no
ENSG00000135070.15	no
ENSG00000166855.9	no
ENSG00000169446.6	no
ENSG00000132912.13	no
ENSG00000108599.15	no
ENSG00000136536.15	no
ENSG00000167272.11	no
ENSG00000131323.17	no
ENSG00000118217.7	yes
ENSG00000163320.12	yes
ENSG00000097033.15	yes
ENSG00000164332.8	yes
ENSG00000129083.13	yes
ENSG00000166619.15	yes
ENSG00000265808.4	no
ENSG00000170325.16	no
ENSG00000144468.17	no
ENSG00000163743.14	yes
ENSG00000006715.16	no
ENSG00000103061.13	no
ENSG00000176155.21	no
ENSG00000162695.12	yes
ENSG00000287625.1	no
ENSG00000055950.17	no
ENSG00000113282.14	no
ENSG00000115762.17	yes
ENSG00000167615.18	yes
ENSG00000169189.17	no
ENSG00000180182.11	yes
ENSG00000196505.11	no
ENSG00000146535.14	no
ENSG00000070061.16	no
ENSG00000164323.15	no
ENSG00000114857.19	no
ENSG00000185946.16	no
ENSG00000106028.11	no
ENSG00000138592.14	no
ENSG00000213337.9	no
ENSG00000213619.11	no
ENSG00000065526.13	no
ENSG00000082641.16	yes
ENSG00000182827.9	yes
ENSG00000139505.13	no
ENSG00000173145.11	no
ENSG00000037749.13	yes
ENSG00000196700.9	no
ENSG00000139496.18	no
ENSG00000142676.14	no
ENSG00000138757.15	yes
ENSG00000138760.11	yes
ENSG00000127870.17	yes
ENSG00000154945.7	no
ENSG00000129235.11	yes
ENSG00000217930.8	no
ENSG00000112406.5	no
ENSG00000166734.20	no
ENSG00000151116.17	no
ENSG00000124422.12	yes
ENSG00000070831.18	yes
ENSG00000183208.13	no
ENSG00000065183.16	no
ENSG00000168569.8	no
ENSG00000117500.13	no
ENSG00000008294.22	yes
ENSG00000108389.10	no
ENSG00000106692.15	no
ENSG00000138768.15	no
ENSG00000120451.11	yes
ENSG00000164164.17	no
ENSG00000197045.14	yes
ENSG00000120063.10	yes
ENSG00000182150.19	no
ENSG00000198937.9	no
ENSG00000167862.10	no
ENSG00000117054.15	no
ENSG00000198218.12	no
ENSG00000131174.7	yes
ENSG00000279529.2	no
ENSG00000162244.12	no
ENSG00000135776.5	no
ENSG00000163349.22	yes
ENSG00000144029.14	yes
ENSG00000166136.16	no
ENSG00000122482.22	yes
ENSG00000109320.14	no
ENST00000520913:2	no
ENSG00000198718.13	no
ENSG00000185947.15	yes
ENSG00000166266.14	yes
ENSG00000176994.11	no
ENSG00000139826.6	no
ENSG00000113712.19	no
ENSG00000164587.13	no
ENSG00000142733.18	yes
ENSG00000175193.14	no
ENSG00000215114.10	no
ENSG00000174485.16	no
ENSG00000144357.18	no
ENSG00000131374.15	yes
ENSG00000260853.2	no
ENSG00000065457.11	no
ENSG00000189159.16	no
ENSG00000013375.17	yes
ENSG00000106367.15	no
ENSG00000247679.3	no
ENSG00000121680.16	no
ENSG00000131725.14	no
ENSG00000181929.13	no
ENSG00000198918.8	no
ENSG00000289554.1	no
ENSG00000161981.11	no
ENSG00000107036.12	no
ENSG00000155592.16	no
ENSG00000268362.6	no
ENSG00000115825.11	yes
ENSG00000285077.4	no
ENSG00000177425.11	no
ENSG00000130695.16	yes
ENSG00000156273.16	yes
ENSG00000226648.2	no
ENSG00000256043.5	no
ENSG00000233885.7	no
ENSG00000223509.8	no
ENSG00000171159.5	no
ENSG00000173480.11	no
ENSG00000288663.1	no
ENSG00000129534.14	no
ENSG00000119899.13	yes
ENSG00000280383.1	no
ENSG00000106868.17	no
ENSG00000138326.21	no
ENSG00000162636.16	no
ENSG00000160439.16	no
ENSG00000149806.11	no
ENSG00000246273.9	no
ENSG00000165555.10	no
ENSG00000170906.16	no
ENSG00000140931.20	no
ENSG00000248487.10	no
ENSG00000279278.1	no
ENSG00000106400.12	no
ENSG00000230551.4	no
ENSG00000259953.2	no
ENSG00000167131.17	no
ENSG00000126453.11	no
ENSG00000269858.6	no
ENSG00000261326.4	no
ENSG00000177200.18	yes
ENSG00000100162.15	no
ENSG00000109089.7	no
ENSG00000064666.15	yes
ENSG00000103994.18	no
ENSG00000286808.1	no
ENSG00000089177.20	no
ENSG00000249859.14	no
ENST00000656999:1	no
ENSG00000235313.1	no
ENSG00000172869.15	yes
ENSG00000243364.8	no
ENSG00000159459.12	no
ENSG00000130522.6	yes
ENSG00000290926.1	no
ENSG00000279331.1	no
ENSG00000248098.12	no
ENSG00000278867.1	no
ENSG00000182400.15	no
ENSG00000136824.19	no
ENSG00000178980.16	no
ENSG00000267244.5	no
ENSG00000227671.5	no
ENSG00000227543.5	no
ENSG00000286545.1	no
ENSG00000188486.4	no
ENSG00000179630.11	no
ENSG00000250506.9	no
ENSG00000165244.7	yes
ENSG00000279382.1	no
ENSG00000291081.1	no
ENSG00000225137.1	no
ENSG00000279080.1	no
ENSG00000136942.15	no
ENSG00000236015.1	no
ENSG00000145391.14	yes
ENSG00000204272.13	no
ENSG00000246451.2	no
ENSG00000174405.15	no
ENSG00000136206.5	no
ENSG00000289443.1	no
ENSG00000230530.2	no
ENSG00000279159.1	no
ENST00000517838:6	no
ENSG00000237017.1	no
ENSG00000286018.1	no
ENSG00000284770.2	yes
ENSG00000110841.14	yes
ENSG00000179967.11	no
ENSG00000189337.17	no
ENSG00000228302.2	no
ENSG00000102531.16	no
ENSG00000137575.12	no
ENSG00000228526.8	no
ENSG00000289361.1	no
ENSG00000290796.1	no
ENSG00000198824.8	no
ENSG00000287110.3	no
ENSG00000108506.14	no
ENSG00000258682.1	no
ENSG00000272374.1	no
ENSG00000169239.14	no
ENSG00000243156.9	no
ENSG00000149634.5	no
ENSG00000259366.3	no
ENSG00000071246.11	no
ENSG00000135976.21	no
ENSG00000078177.15	yes
ENSG00000275888.1	no
ENSG00000279520.1	no
ENSG00000239653.1	no
ENSG00000232725.1	no
ENSG00000139908.15	no
