Gene	mirnaTG
ENSG00000085832.18	no
ENSG00000136754.18	no
ENSG00000144848.11	no
ENSG00000177479.20	no
ENSG00000136738.15	no
ENSG00000134644.16	yes
ENSG00000185787.15	yes
ENSG00000112130.17	yes
ENSG00000136718.10	no
ENSG00000156928.5	no
ENSG00000186532.12	no
ENSG00000115289.14	no
ENSG00000147162.15	yes
ENSG00000175387.16	yes
ENSG00000211456.14	yes
ENSG00000184056.15	no
ENSG00000166197.17	no
ENSG00000103043.15	yes
ENSG00000136270.14	no
ENSG00000106263.19	no
ENSG00000147416.11	no
ENSG00000227345.9	no
ENSG00000075975.17	no
ENSG00000162613.18	yes
ENSG00000121749.16	no
ENSG00000134590.14	yes
ENSG00000186298.12	yes
ENSG00000168036.18	yes
ENSG00000155252.14	yes
ENSG00000125352.6	no
ENSG00000115307.17	no
ENSG00000132155.14	no
ENSG00000074603.19	no
ENSG00000157933.11	yes
ENSG00000138073.14	no
ENSG00000088876.13	no
ENSG00000105705.16	no
ENSG00000090989.18	no
ENSG00000113068.10	no
ENSG00000130119.17	yes
ENSG00000156858.12	no
ENSG00000177192.14	no
ENSG00000136271.11	no
ENSG00000015171.21	yes
ENSG00000166478.10	no
ENSG00000180376.17	no
ENSG00000129460.17	no
ENSG00000063241.8	no
ENSG00000115211.17	no
ENSG00000135829.17	yes
ENSG00000144744.18	no
ENSG00000175215.11	yes
ENSG00000120549.19	no
ENSG00000112062.12	yes
ENSG00000169592.15	no
ENSG00000073614.13	no
ENSG00000138085.18	no
ENSG00000250318.1	no
ENSG00000181817.6	no
ENSG00000139546.12	no
ENSG00000189043.10	no
ENSG00000170236.16	no
ENSG00000198718.13	no
ENSG00000221983.8	no
ENSG00000141499.18	no
ENSG00000092036.19	no
ENSG00000080802.21	yes
ENSG00000100393.15	yes
ENSG00000127314.18	no
ENSG00000169504.15	no
ENSG00000172500.13	yes
ENSG00000173575.24	no
ENSG00000116898.12	yes
ENSG00000100614.18	yes
ENSG00000122390.19	yes
ENSG00000161981.11	no
ENSG00000116205.14	no
ENSG00000163605.16	no
ENSG00000213341.11	no
ENSG00000157450.16	no
ENSG00000100201.23	yes
ENSG00000090863.12	yes
ENSG00000118960.13	no
ENSG00000169118.18	no
ENSG00000142733.18	yes
ENSG00000113649.14	yes
ENSG00000162517.13	no
ENSG00000112701.18	no
ENSG00000198040.11	no
ENSG00000166224.18	no
ENSG00000145725.21	no
ENSG00000196152.10	no
ENSG00000170776.22	no
ENSG00000168172.9	no
ENSG00000135341.19	yes
ENSG00000168894.10	no
ENSG00000143643.13	no
ENSG00000168228.16	no
ENSG00000100030.15	yes
ENSG00000019995.6	no
ENSG00000204435.15	no
ENSG00000067208.17	yes
ENSG00000243667.7	no
ENSG00000169641.15	no
ENSG00000135482.7	no
