Gene	mirnaTG
ENSG00000136715.19	yes
ENSG00000125944.21	no
ENSG00000119041.11	no
ENSG00000159479.17	no
ENSG00000149187.19	yes
ENSG00000135829.17	yes
ENSG00000134697.13	no
ENSG00000116560.12	yes
ENSG00000105197.11	no
ENSG00000084754.12	no
ENSG00000129933.21	no
ENSG00000007923.17	no
ENSG00000169410.11	no
ENSG00000128191.17	no
ENSG00000105058.12	no
ENSG00000136271.11	no
ENSG00000159131.17	yes
ENSG00000198876.13	no
ENSG00000152464.15	no
ENSG00000122068.13	no
ENSG00000244462.8	yes
ENSG00000135966.14	no
ENSG00000170515.14	no
ENSG00000120029.13	no
ENSG00000092201.10	no
ENSG00000136758.20	yes
ENSG00000062485.19	no
ENSG00000275052.5	no
ENSG00000198836.11	no
ENSG00000126804.14	no
ENSG00000138668.20	yes
ENSG00000196504.21	yes
ENSG00000140598.16	no
ENSG00000161021.13	no
ENSG00000165660.8	no
ENSG00000198663.17	yes
ENSG00000090989.18	no
ENSG00000114867.22	yes
ENSG00000160208.13	yes
ENSG00000136813.15	no
ENSG00000124571.18	yes
ENSG00000151461.20	no
ENSG00000213024.13	no
ENSG00000105677.12	no
ENSG00000100888.15	no
ENSG00000064419.14	yes
ENSG00000109775.11	no
ENSG00000284024.4	no
ENSG00000135040.16	no
ENSG00000176095.12	yes
ENSG00000132670.21	no
ENSG00000107566.14	no
ENSG00000131375.10	no
ENSG00000136718.10	no
ENSG00000138382.15	no
ENSG00000119707.14	no
ENSG00000196943.14	no
ENSG00000029363.17	no
ENSG00000174840.9	yes
ENSG00000138750.16	no
ENSG00000213619.11	no
ENSG00000119638.14	yes
ENSG00000082898.19	yes
ENSG00000204392.11	no
ENSG00000133706.20	no
ENSG00000146963.18	yes
ENSG00000165861.14	no
ENSG00000157538.14	no
ENSG00000188021.9	no
ENSG00000151779.14	yes
ENSG00000140319.11	no
ENSG00000162384.14	no
ENSG00000163481.8	no
ENSG00000152683.14	no
ENSG00000110713.18	no
ENSG00000087152.16	no
ENSG00000161547.17	no
ENSG00000198874.14	no
ENSG00000094880.11	yes
ENSG00000111358.14	no
ENSG00000090054.16	no
ENSG00000108424.11	yes
ENSG00000144028.15	no
ENSG00000003056.8	yes
ENSG00000163902.12	no
ENSG00000149600.12	yes
ENSG00000273749.5	no
ENSG00000148730.7	yes
ENSG00000021574.14	no
ENSG00000106355.10	no
ENSG00000154518.10	yes
ENSG00000166135.14	no
ENSG00000167118.11	no
ENSG00000064999.16	yes
ENSG00000124562.10	yes
ENSG00000171109.19	no
ENSG00000136270.14	no
ENSG00000197771.13	no
ENSG00000182117.7	no
ENSG00000196792.12	yes
ENSG00000119616.11	no
ENSG00000247626.5	no
ENSG00000172262.12	no
ENSG00000110330.10	no
ENSG00000137076.22	no
ENSG00000175826.12	no
ENSG00000108064.11	yes
ENSG00000123144.11	no
ENSG00000083520.15	no
ENSG00000153914.16	no
ENSG00000115539.14	no
ENSG00000144161.14	no
ENSG00000184863.11	no
ENSG00000159692.18	no
ENSG00000100567.13	no
ENSG00000065150.21	yes
ENSG00000145740.20	no
ENSG00000064726.10	no
ENSG00000145907.16	yes
ENSG00000168036.18	yes
ENSG00000100462.16	no
ENSG00000107862.7	no
ENSG00000198841.4	no
ENSG00000048828.18	yes
ENSG00000013503.10	no
ENSG00000166136.16	no
ENSG00000086200.17	no
ENSG00000113360.17	yes
ENSG00000143977.14	no
ENSG00000143093.15	no
ENSG00000196199.14	no
ENSG00000121579.14	no
ENSG00000146109.5	yes
ENSG00000141644.19	no
ENSG00000107669.19	no
ENSG00000111321.11	no
ENSG00000152147.11	no
ENSG00000196455.8	no
ENSG00000101966.14	yes
ENSG00000053372.5	no
ENSG00000166716.10	yes
ENSG00000125676.20	no
ENSG00000166847.10	no
ENSG00000153827.15	yes
ENSG00000065526.13	no
ENSG00000129562.11	no
ENSG00000119402.18	no
ENSG00000099995.19	yes
ENSG00000101361.17	no
ENSG00000148843.15	no
ENSG00000213079.10	no
ENSG00000204842.18	no
ENSG00000185917.14	no
ENSG00000066379.15	no
ENSG00000119912.18	no
ENSG00000116198.14	no
ENSG00000148634.16	no
ENSG00000138095.20	yes
ENSG00000077312.9	no
ENSG00000162385.11	no
ENSG00000111229.16	yes
ENSG00000168564.6	no
ENSG00000173575.24	no
ENSG00000213341.11	no
ENSG00000072518.23	no
ENSG00000131174.7	yes
ENSG00000141956.14	no
ENSG00000119596.18	yes
ENSG00000092847.14	no
ENSG00000145388.15	no
ENSG00000155827.12	no
ENSG00000178982.10	no
ENSG00000012061.17	no
ENSG00000165264.11	no
ENSG00000213719.8	no
ENSG00000223501.9	yes
ENSG00000154727.11	no
ENSG00000138802.11	no
ENSG00000168610.16	yes
ENSG00000100764.14	no
ENSG00000132466.20	yes
ENSG00000135945.10	yes
ENSG00000109680.11	no
ENSG00000169446.6	no
ENSG00000114956.20	no
ENSG00000167528.13	no
ENSG00000183826.19	no
ENSG00000069248.12	no
ENSG00000163029.16	no
ENSG00000185722.18	no
ENSG00000110048.12	no
ENSG00000089775.12	no
ENSG00000240682.10	no
ENSG00000173681.17	no
ENSG00000067596.12	yes
ENSG00000160741.17	no
ENSG00000055950.17	no
ENSG00000110651.13	no
ENSG00000062650.20	no
ENSG00000011376.12	yes
ENSG00000128731.18	no
ENSG00000131876.18	no
ENSG00000154845.16	yes
ENSG00000241837.7	no
ENSG00000111300.10	yes
ENSG00000125630.16	no
ENSG00000168795.5	no
ENSG00000276293.5	yes
ENSG00000198551.10	no
ENSG00000122376.12	no
ENSG00000173660.12	no
ENSG00000164164.17	no
ENSG00000177917.12	yes
ENSG00000163026.12	no
ENSG00000101346.15	yes
ENSG00000105185.12	no
ENSG00000102390.11	no
ENSG00000253341.1	no
ENSG00000198898.16	no
ENSG00000173145.11	no
ENSG00000152291.15	no
ENSG00000106028.11	no
ENSG00000184752.14	no
ENSG00000107140.17	no
ENSG00000084774.14	no
ENSG00000162961.14	no
ENSG00000198258.11	no
ENSG00000100578.18	no
ENSG00000168894.10	no
ENSG00000129493.15	yes
ENSG00000139218.18	no
ENSG00000173915.16	no
ENSG00000111639.8	no
ENSG00000039123.16	no
ENSG00000164080.14	no
ENSG00000113391.19	no
ENSG00000114125.14	no
ENSG00000129559.13	no
ENSG00000125834.13	yes
ENSG00000132485.14	yes
ENSG00000132383.12	no
ENSG00000145241.11	no
ENSG00000114573.12	yes
ENSG00000113300.13	yes
ENSG00000145041.17	no
ENSG00000009307.17	yes
ENSG00000113597.18	no
ENSG00000127526.15	yes
ENSG00000146066.3	no
ENSG00000173230.17	no
ENSG00000182831.12	no
ENSG00000115307.17	no
ENSG00000109756.10	yes
ENSG00000101654.18	no
ENSG00000164134.14	yes
ENSG00000171960.12	no
ENSG00000117713.21	no
ENSG00000170892.13	no
ENSG00000113811.12	no
ENSG00000132661.4	no
ENSG00000138600.11	no
ENSG00000111642.16	no
ENSG00000167770.13	no
ENSG00000164010.15	no
ENSG00000171421.13	no
ENSG00000118217.7	yes
ENSG00000134825.16	no
ENSG00000139428.12	no
ENSG00000131368.9	no
ENSG00000102309.15	no
ENSG00000100207.21	no
ENSG00000165724.6	no
ENSG00000130119.17	yes
ENSG00000138078.16	no
ENSG00000029364.12	no
ENSG00000070366.14	no
ENSG00000126249.8	no
ENSG00000148358.21	no
ENSG00000198793.14	no
ENSG00000155508.14	no
ENSG00000134248.14	no
ENSG00000165699.15	no
ENSG00000204564.12	no
ENSG00000126267.11	yes
ENSG00000108587.16	yes
ENSG00000102158.22	no
ENSG00000147123.12	no
ENSG00000125743.11	no
ENSG00000125352.6	no
ENSG00000155858.6	no
ENSG00000139343.11	no
ENSG00000107643.17	no
ENSG00000175215.11	yes
ENSG00000139505.13	no
ENSG00000197045.14	yes
ENSG00000081386.13	no
ENSG00000181555.22	yes
ENSG00000006007.12	no
ENSG00000198205.7	no
ENSG00000116288.13	no
ENSG00000101457.13	no
ENSG00000131374.15	yes
ENSG00000105063.19	yes
ENSG00000083642.19	yes
ENSG00000173473.11	no
ENSG00000152102.18	yes
ENSG00000169018.6	yes
ENSG00000140157.16	no
ENSG00000127481.15	yes
ENSG00000272886.6	yes
ENSG00000165097.16	no
ENSG00000112110.10	no
ENSG00000168813.17	yes
ENSG00000101544.9	yes
ENSG00000136870.11	no
ENSG00000172113.10	no
ENSG00000100804.19	no
ENSG00000157426.14	no
ENSG00000132953.18	yes
ENSG00000083093.11	no
ENSG00000112739.17	yes
ENSG00000124486.15	yes
ENSG00000152484.14	no
ENSG00000083312.19	yes
ENSG00000174485.16	no
ENSG00000273033.2	no
ENSG00000147854.17	no
ENSG00000272333.8	no
ENSG00000131408.15	no
ENSG00000186687.16	no
ENSG00000125356.7	yes
ENSG00000128915.12	no
ENSG00000178761.15	no
ENSG00000143322.22	yes
ENSG00000136243.18	no
ENSG00000169826.8	no
ENSG00000152242.11	yes
ENSG00000154710.18	no
ENSG00000112851.16	yes
ENSG00000196233.14	yes
ENSG00000124222.23	yes
ENSG00000182473.22	no
ENSG00000184014.9	yes
ENSG00000157500.12	yes
ENSG00000106803.10	yes
ENSG00000204435.15	no
ENSG00000084093.19	yes
ENSG00000136810.13	yes
