Gene	mirnaTG
ENSG00000166478.10	no
ENSG00000166783.22	no
ENSG00000171853.16	no
ENSG00000178982.10	no
ENSG00000115875.19	no
ENSG00000082898.19	yes
ENSG00000109332.20	no
ENSG00000129351.18	yes
ENSG00000105197.11	no
ENSG00000105723.13	no
ENSG00000036054.13	no
ENSG00000141956.14	no
ENSG00000122557.11	no
ENSG00000051382.9	no
ENSG00000135966.14	no
ENSG00000077312.9	no
ENSG00000134686.21	no
ENSG00000109606.13	yes
ENSG00000185591.10	yes
ENSG00000168214.22	yes
ENSG00000161547.17	no
ENSG00000105085.11	yes
ENSG00000177105.10	no
ENSG00000110048.12	no
ENSG00000163512.14	no
ENSG00000198898.16	no
ENSG00000128908.19	no
ENSG00000139636.16	no
ENSG00000170325.16	no
ENSG00000110429.14	no
ENSG00000170852.12	yes
ENSG00000168286.3	no
ENSG00000204120.16	yes
ENSG00000135249.8	no
ENSG00000121775.18	no
ENSG00000105856.14	no
ENSG00000112200.17	no
ENSG00000134262.13	no
ENSG00000130119.17	yes
ENSG00000023228.14	no
ENSG00000124831.20	no
ENSG00000198815.9	yes
ENSG00000184863.11	no
ENSG00000139436.22	yes
ENSG00000105726.17	no
ENSG00000011454.18	yes
ENSG00000196715.7	no
ENSG00000162378.13	yes
ENSG00000076924.12	no
ENSG00000107882.12	no
ENSG00000099331.14	no
ENSG00000205302.7	no
ENSG00000166200.15	no
ENSG00000138095.20	yes
ENSG00000165494.12	no
ENSG00000135870.12	yes
ENSG00000198836.11	no
ENSG00000105700.11	no
ENSG00000119185.13	no
ENSG00000153574.9	no
ENSG00000115966.18	no
ENSG00000136813.15	no
ENSG00000135404.12	no
ENSG00000136738.15	no
ENSG00000131408.15	no
ENSG00000104164.12	no
ENSG00000092841.19	no
ENSG00000162980.17	yes
ENSG00000140157.16	no
ENSG00000158796.17	yes
ENSG00000132300.19	no
ENSG00000105325.15	no
ENSG00000119396.12	yes
ENSG00000115816.15	no
ENSG00000146463.12	yes
ENSG00000106263.19	no
ENSG00000183020.15	no
ENSG00000003056.8	yes
ENSG00000113732.9	no
ENSG00000107862.7	no
ENSG00000106244.13	no
ENSG00000167671.12	no
ENSG00000141985.9	no
ENSG00000123268.9	yes
ENSG00000198843.14	no
ENSG00000077463.15	no
ENSG00000153147.6	yes
ENSG00000100335.15	yes
ENSG00000145241.11	no
ENSG00000152700.14	no
ENSG00000146587.18	no
ENSG00000164117.14	no
ENSG00000130311.11	no
ENSG00000158006.14	no
ENSG00000110713.18	no
ENSG00000122406.14	no
ENSG00000111639.8	no
ENSG00000197102.14	yes
ENSG00000118640.11	no
ENSG00000162408.11	yes
ENSG00000196505.11	no
ENSG00000005801.18	no
ENSG00000104805.17	no
ENSG00000130939.20	no
ENSG00000121680.16	no
ENSG00000177683.14	yes
ENSG00000015171.21	yes
ENSG00000168894.10	no
ENSG00000105393.16	no
ENSG00000130175.10	no
ENSG00000157349.17	no
ENSG00000184009.13	no
ENSG00000124193.16	yes
ENSG00000086758.17	yes
ENSG00000138767.14	no
ENSG00000135441.8	no
ENSG00000204673.11	no
ENSG00000058272.19	yes
ENSG00000165916.9	no
ENSG00000196367.15	no
ENSG00000170242.19	yes
ENSG00000135392.19	no
ENSG00000052723.12	yes
ENSG00000148334.16	no
ENSG00000103199.14	no
ENSG00000139350.12	yes
ENSG00000141385.12	no
ENSG00000009335.19	no
ENSG00000111642.16	no
ENSG00000126267.11	yes
ENSG00000155729.13	no
ENSG00000136270.14	no
ENSG00000173660.12	no
ENSG00000115839.19	no
ENSG00000165416.15	yes
ENSG00000074755.15	no
ENSG00000068784.13	no
ENSG00000076321.11	yes
ENSG00000196504.21	yes
ENSG00000166233.15	yes
ENSG00000167978.19	yes
ENSG00000146833.16	no
ENSG00000105401.9	no
ENSG00000006576.17	yes
ENSG00000011132.12	no
ENSG00000109220.11	no
ENSG00000159256.13	yes
ENSG00000174839.13	no
ENSG00000042753.12	no
ENSG00000138802.11	no
ENSG00000180182.11	yes
ENSG00000164022.18	no
ENSG00000184432.11	yes
ENSG00000164168.8	no
ENSG00000151304.6	no
ENSG00000103363.16	no
ENSG00000240682.10	no
ENSG00000182831.12	no
ENSG00000167881.15	no
ENSG00000100320.24	yes
ENSG00000124486.15	yes
ENSG00000198858.10	no
ENSG00000164080.14	no
ENSG00000077147.16	no
ENSG00000198182.13	no
ENSG00000279738.1	no
ENSG00000174106.3	no
ENSG00000163848.21	no
ENSG00000047315.17	no
ENSG00000121940.17	no
ENSG00000168564.6	no
ENSG00000169299.14	no
ENSG00000071859.15	no
ENSG00000130165.11	no
ENSG00000066651.20	no
ENSG00000137770.14	yes
ENSG00000143190.23	yes
ENSG00000115904.15	no
ENSG00000070061.16	no
ENSG00000115808.13	yes
ENSG00000064726.10	no
ENSG00000009307.17	yes
ENSG00000137504.15	yes
ENSG00000124357.13	no
ENSG00000125356.7	yes
ENSG00000163635.20	no
ENSG00000105698.16	no
ENSG00000143543.15	no
ENSG00000071655.18	no
ENSG00000116138.13	no
ENSG00000077254.14	no
ENSG00000061987.16	no
ENSG00000127445.14	no
ENSG00000198198.17	no
ENSG00000164073.11	yes
ENSG00000136938.9	no
ENSG00000182552.15	no
ENSG00000196850.6	no
ENSG00000040933.16	no
ENSG00000181038.14	yes
ENSG00000225830.16	no
ENSG00000005483.23	no
ENSG00000185236.12	no
ENSG00000204859.13	no
ENSG00000106771.13	yes
ENSG00000074842.8	no
ENSG00000151247.13	no
ENSG00000066557.6	yes
ENSG00000067208.17	yes
ENSG00000162402.15	no
ENSG00000163960.12	no
ENSG00000130479.11	no
ENSG00000066379.15	no
ENSG00000165417.12	no
ENSG00000140382.15	yes
ENSG00000198925.12	no
ENSG00000171863.15	no
ENSG00000033178.13	yes
ENSG00000147050.18	no
ENSG00000170802.17	no
ENSG00000028528.15	no
ENSG00000153107.13	yes
ENSG00000088179.9	yes
ENSG00000170448.12	no
ENSG00000004766.17	no
ENSG00000092439.16	no
ENSG00000173889.16	yes
ENSG00000174231.18	yes
ENSG00000111727.12	no
ENSG00000174796.12	no
ENSG00000029364.12	no
ENSG00000062650.20	no
ENSG00000065183.16	no
ENSG00000139180.11	no
ENSG00000044446.12	no
ENSG00000118620.13	no
ENSG00000144840.10	no
ENSG00000151092.18	no
ENSG00000070367.16	no
ENSG00000168701.19	no
ENSG00000139977.14	yes
ENSG00000197694.19	no
ENSG00000179218.15	no
ENSG00000168152.13	no
ENSG00000099785.11	no
ENSG00000198961.10	yes
ENSG00000178761.15	no
ENSG00000184209.15	no
ENSG00000185716.12	no
ENSG00000177674.16	no
ENSG00000141858.12	no
ENSG00000197056.11	yes
ENSG00000182446.15	no
ENSG00000102898.13	no
ENSG00000172590.18	no
ENSG00000163104.18	yes
ENSG00000169976.7	yes
ENSG00000114302.17	no
ENSG00000136021.19	no
ENSG00000135164.19	no
ENSG00000167397.15	no
ENSG00000196305.19	no
ENSG00000085415.16	yes
ENSG00000116005.12	no
ENSG00000152291.15	no
ENSG00000172809.13	yes
ENSG00000130706.13	no
ENSG00000008869.12	no
ENSG00000100490.10	no
ENSG00000138592.14	no
ENSG00000072506.14	no
ENSG00000100764.14	no
ENSG00000064490.14	no
ENSG00000131375.10	no
ENSG00000197323.12	yes
ENSG00000254901.8	no
ENSG00000162191.14	no
ENSG00000128585.18	yes
ENSG00000164164.17	no
ENSG00000157106.18	yes
ENSG00000188186.11	no
ENSG00000198399.16	no
ENSG00000164244.21	no
ENSG00000176476.9	no
ENSG00000126254.12	no
ENSG00000262919.8	no
ENSG00000198393.8	no
ENSG00000100815.12	no
ENSG00000141873.11	no
ENSG00000142534.7	no
ENSG00000140463.14	no
ENSG00000123144.11	no
ENSG00000253341.1	no
ENSG00000005700.15	yes
ENSG00000048405.11	no
ENSG00000037241.7	no
ENSG00000198730.9	no
ENSG00000174780.17	yes
ENSG00000078142.14	no
ENSG00000178927.19	no
ENSG00000099804.9	no
ENSG00000291228.1	no
ENSG00000138081.22	no
ENSG00000113638.14	no
ENSG00000182899.17	no
ENSG00000147123.12	no
ENSG00000076108.12	no
ENSG00000180879.14	no
ENSG00000160271.16	no
ENSG00000172336.5	no
ENSG00000173230.17	no
ENSG00000161914.10	no
ENSG00000133657.17	yes
ENSG00000047188.16	no
ENSG00000186908.15	yes
ENSG00000151553.16	no
ENSG00000168769.14	no
ENSG00000196865.4	yes
ENSG00000114391.14	no
ENSG00000103978.17	no
ENSG00000173276.14	no
ENSG00000176542.10	no
ENSG00000153904.21	yes
ENSG00000071082.11	no
ENSG00000217128.13	yes
ENSG00000163946.14	no
ENSG00000064313.13	no
ENSG00000124181.15	yes
ENSG00000248866.1	no
ENSG00000196914.9	yes
ENSG00000111647.13	no
ENSG00000117523.18	yes
ENSG00000127870.17	yes
ENSG00000132017.11	yes
ENSG00000108848.16	yes
ENSG00000130304.17	no
ENSG00000100814.19	no
ENSG00000117153.16	no
ENSG00000160113.6	no
ENSG00000198752.11	no
ENSG00000103995.14	no
ENSG00000116871.16	yes
ENSG00000164024.12	no
ENSG00000168159.15	no
ENSG00000164323.15	no
ENSG00000128626.12	no
ENSG00000130299.17	no
ENSG00000122435.11	no
ENSG00000100393.15	yes
ENSG00000123154.12	no
ENSG00000107651.15	no
ENSG00000197841.15	no
ENSG00000172270.22	yes
ENSG00000144357.18	no
ENSG00000198258.11	no
ENSG00000145348.17	no
ENSG00000157637.13	no
ENSG00000124459.12	no
ENSG00000164306.11	no
ENSG00000101745.17	no
ENSG00000134255.16	yes
ENSG00000204130.14	yes
ENSG00000126804.14	no
ENSG00000265808.4	no
ENSG00000007520.4	no
ENSG00000032219.19	no
ENSG00000126870.16	no
ENSG00000147155.11	no
ENSG00000165997.5	yes
ENSG00000113615.13	yes
ENSG00000103404.15	yes
ENSG00000116830.12	yes
ENSG00000063241.8	no
ENSG00000198677.13	no
ENSG00000157107.14	yes
ENSG00000080345.18	yes
ENSG00000166839.18	no
ENSG00000160783.19	no
ENSG00000112282.18	no
ENSG00000164008.17	no
ENSG00000132963.9	no
ENSG00000263956.8	no
ENSG00000224975.1	no
ENSG00000169696.16	no
ENSG00000081014.11	no
ENSG00000134852.15	yes
ENSG00000137161.18	no
ENSG00000053501.14	no
ENSG00000147133.17	no
ENSG00000131143.10	no
ENSG00000137601.18	no
ENSG00000176994.11	no
ENSG00000122008.16	no
ENSG00000172493.23	yes
ENSG00000187531.14	no
ENSG00000170776.22	no
ENSG00000087586.18	no
ENSG00000182150.19	no
ENSG00000151240.18	no
ENSG00000146676.10	yes
ENSG00000103121.9	no
ENSG00000163625.17	yes
ENSG00000167645.17	no
ENSG00000115145.10	yes
ENSG00000086712.13	no
ENSG00000134825.16	no
ENSG00000178338.11	yes
ENSG00000181315.11	no
ENSG00000155313.16	yes
ENSG00000170906.16	no
ENSG00000198563.14	no
ENSG00000183808.12	yes
ENSG00000174485.16	no
ENSG00000175467.15	no
ENSG00000139372.15	no
ENSG00000186010.19	no
ENSG00000275835.5	no
ENSG00000136942.15	no
ENSG00000161265.15	no
ENSG00000163349.22	yes
ENSG00000132466.20	yes
ENSG00000120800.5	yes
ENSG00000065613.15	no
ENSG00000151414.15	yes
ENSG00000214253.9	no
ENSG00000166128.13	yes
ENSG00000197958.13	no
ENSG00000241468.8	no
ENSG00000206573.11	no
ENSG00000134371.14	no
ENSG00000165156.15	no
ENSG00000144283.23	yes
ENSG00000107185.10	no
ENSG00000132294.15	yes
ENSG00000196712.20	no
ENSG00000134970.14	no
