Gene	mirnaTG
ENSG00000166478.10	no
ENSG00000100813.15	no
ENSG00000215301.11	yes
ENSG00000135829.17	yes
ENSG00000128908.19	no
ENSG00000144233.12	yes
ENSG00000136940.14	no
ENSG00000179021.10	no
ENSG00000154723.13	no
ENSG00000241837.7	no
ENSG00000114030.13	yes
ENSG00000180228.14	no
ENSG00000112062.12	yes
ENSG00000115289.14	no
ENSG00000145041.17	no
ENSG00000107164.17	yes
ENSG00000151779.14	yes
ENSG00000168288.13	yes
ENSG00000065883.18	yes
ENSG00000184863.11	no
ENSG00000176261.16	no
ENSG00000110696.10	yes
ENSG00000163512.14	no
ENSG00000100941.9	no
ENSG00000166233.15	yes
ENSG00000162613.18	yes
ENSG00000170325.16	no
ENSG00000101191.17	no
ENSG00000090054.16	no
ENSG00000011454.18	yes
ENSG00000167528.13	no
ENSG00000135870.12	yes
ENSG00000164022.18	no
ENSG00000161021.13	no
ENSG00000136758.20	yes
ENSG00000163320.12	yes
ENSG00000181555.22	yes
ENSG00000132383.12	no
ENSG00000137802.14	no
ENSG00000110713.18	no
ENSG00000121749.16	no
ENSG00000064726.10	no
ENSG00000198162.12	no
ENSG00000112078.14	yes
ENSG00000062650.20	no
ENSG00000077380.16	no
ENSG00000170234.13	no
ENSG00000145241.11	no
ENSG00000092148.14	yes
ENSG00000100201.23	yes
ENSG00000144224.17	yes
ENSG00000182220.15	no
ENSG00000183495.15	yes
ENSG00000074319.13	no
ENSG00000173163.11	no
ENSG00000169410.11	no
ENSG00000077097.17	no
ENSG00000036257.14	no
ENSG00000186660.15	no
ENSG00000111642.16	no
ENSG00000228474.6	no
ENSG00000006715.16	no
ENSG00000012983.12	no
ENSG00000182473.22	no
ENSG00000182117.7	no
ENSG00000116685.17	no
ENSG00000134313.17	yes
ENSG00000083937.10	no
ENSG00000168036.18	yes
ENSG00000213516.10	no
ENSG00000213341.11	no
ENSG00000087269.16	no
ENSG00000102119.12	no
ENSG00000159140.23	no
ENSG00000011376.12	yes
ENSG00000107581.14	no
ENSG00000118217.7	yes
ENSG00000151553.16	no
ENSG00000168137.20	no
ENSG00000122435.11	no
ENSG00000116898.12	yes
ENSG00000165417.12	no
ENSG00000204576.12	no
ENSG00000165916.9	no
ENSG00000204120.16	yes
ENSG00000119402.18	no
ENSG00000107521.21	no
ENSG00000244687.13	no
ENSG00000164068.16	no
ENSG00000167978.19	yes
ENSG00000049618.25	no
ENSG00000198793.14	no
ENSG00000185219.18	no
ENSG00000115762.17	yes
ENSG00000260032.2	no
ENSG00000109920.13	no
ENSG00000106803.10	yes
ENSG00000135392.19	no
ENSG00000070367.16	no
ENSG00000170248.15	no
ENSG00000184056.15	no
ENSG00000082258.13	yes
