ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0016072	GO:0016072	rRNA metabolic process	27/472	294/21288	0.0918367346938776	4.14199239017641	8.16884747930872	5.23911549337303e-10	1.80697093366436e-06	1.69085558975597e-06	RPUSD1/MRTO4/BUD23/PES1/DDX17/FBL/GAR1/NCL/SMARCA4/KRI1/NSUN5/DDX56/IMP4/PELP1/NHP2/GTF3C5/TSR2/RRP1/SLX9/POP7/TBL3/NOC4L/DDX51/NOL7/WDR46/BOP1/ZNHIT3	27
GO:0006364	GO:0006364	rRNA processing	24/472	249/21288	0.0963855421686747	4.34715131713294	8.00003823785157	1.84997307826224e-09	2.73543918557931e-06	2.55966078435737e-06	RPUSD1/MRTO4/BUD23/PES1/DDX17/FBL/GAR1/KRI1/NSUN5/DDX56/IMP4/PELP1/NHP2/TSR2/RRP1/SLX9/POP7/TBL3/NOC4L/DDX51/NOL7/WDR46/BOP1/ZNHIT3	24
GO:0042254	GO:0042254	ribosome biogenesis	29/472	359/21288	0.0807799442896936	3.64331240262499	7.60590801490498	2.37933243164335e-09	2.73543918557931e-06	2.55966078435737e-06	RPUSD1/NOP16/MRTO4/BUD23/PES1/DDX17/FBL/GAR1/MRPS7/KRI1/NSUN5/DDX56/IMP4/PELP1/NHP2/MALSU1/TSR2/RRP1/SLX9/POP7/ZNF622/TBL3/NOC4L/DDX51/NOL7/WDR46/MPV17L2/BOP1/ZNHIT3	29
GO:0034470	GO:0034470	ncRNA processing	33/472	482/21288	0.0684647302904564	3.08787537801533	6.98173538505451	1.17435334323804e-08	1.012586170207e-05	9.47517723781005e-06	RPUSD1/SARS1/MRTO4/BUD23/HSD17B10/OSGEP/PES1/DDX17/FBL/GAR1/RNF113A/KRI1/GTPBP3/NSUN5/DDX56/IMP4/INTS14/PELP1/NHP2/TSR2/RRP1/SLX9/URM1/TSEN34/POP7/PUS1/TBL3/NOC4L/DDX51/NOL7/WDR46/BOP1/ZNHIT3	33
GO:0140053	GO:0140053	mitochondrial gene expression	18/472	175/21288	0.102857142857143	4.63903147699758	7.2787944028925	7.4072082731075e-08	5.10949226678956e-05	4.78115801375739e-05	HSD17B10/MRPS34/MRPL28/MRPL4/MRPL27/MRPL2/MRPL37/MTERF2/MRPS7/MRPS12/UQCC2/MRPL49/MALSU1/PUS1/TUFM/MRPS17/MPV17L2/MRPL45	18
GO:0000375	GO:0000375	RNA splicing, via transesterification reactions	27/472	389/21288	0.0694087403598972	3.13045183216418	6.38577124699243	1.95876140166684e-07	0.000112596134572482	0.000105360744868606	U2AF2/GPKOW/KHSRP/HNRNPM/DDX17/PRMT5/PRPF6/DNAJC17/SF3A2/YJU2B/PRPF31/BUD31/IK/NCL/RNF113A/RALY/RBM42/CTNNBL1/HNRNPA1/TXNL4A/U2AF1L4/EIF1/DDX41/UBL5/DDX39B/RNPS1/HNRNPUL2	27
GO:0032543	GO:0032543	mitochondrial translation	15/472	140/21288	0.107142857142857	4.83232445520581	6.85048354211915	5.34661009126258e-07	0.000213842462804874	0.000200101018131798	MRPS34/MRPL28/MRPL4/MRPL27/MRPL2/MRPL37/MRPS7/MRPS12/UQCC2/MRPL49/MALSU1/TUFM/MRPS17/MPV17L2/MRPL45	15
GO:0000377	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	26/472	385/21288	0.0675324675324675	3.04582874752366	6.09993098194308	5.58011645475171e-07	0.000213842462804874	0.000200101018131798	U2AF2/GPKOW/HNRNPM/DDX17/PRMT5/PRPF6/DNAJC17/SF3A2/YJU2B/PRPF31/BUD31/IK/NCL/RNF113A/RALY/RBM42/CTNNBL1/HNRNPA1/TXNL4A/U2AF1L4/EIF1/DDX41/UBL5/DDX39B/RNPS1/HNRNPUL2	26
GO:0000398	GO:0000398	mRNA splicing, via spliceosome	26/472	385/21288	0.0675324675324675	3.04582874752366	6.09993098194308	5.58011645475171e-07	0.000213842462804874	0.000200101018131798	U2AF2/GPKOW/HNRNPM/DDX17/PRMT5/PRPF6/DNAJC17/SF3A2/YJU2B/PRPF31/BUD31/IK/NCL/RNF113A/RALY/RBM42/CTNNBL1/HNRNPA1/TXNL4A/U2AF1L4/EIF1/DDX41/UBL5/DDX39B/RNPS1/HNRNPUL2	26
GO:0071763	GO:0071763	nuclear membrane organization	9/472	47/21288	0.191489361702128	8.63649477100613	7.89196404535593	7.7391561512194e-07	0.000266923495655557	0.000249771081680407	EMD/CHMP3/TARDBP/CHMP1A/LEMD2/BANF1/CTDNEP1/CHMP6/CHMP4A	9
