ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:1905369	GO:1905369	endopeptidase complex	9/146	105/22585	0.0857142857142857	13.2592954990215	10.1563374169036	2.72877414336847e-08	9.41427079462123e-06	7.29588034121675e-06	ADRM1/RAD23A/GPAA1/PSMA1/HTRA2/PSMC5/PSMB6/PSMC3/PSMB5	9
GO:1905368	GO:1905368	peptidase complex	9/146	142/22585	0.0633802816901408	9.80440864364268	8.48943954786065	3.70479852925132e-07	6.39077746295853e-05	4.95273066542019e-05	ADRM1/RAD23A/GPAA1/PSMA1/HTRA2/PSMC5/PSMB6/PSMC3/PSMB5	9
GO:0000502	GO:0000502	proteasome complex	7/146	81/22585	0.0864197530864197	13.3684255031287	8.99502093852139	9.52073330675722e-07	0.000109488433027708	8.48514477163626e-05	ADRM1/RAD23A/PSMA1/PSMC5/PSMB6/PSMC3/PSMB5	7
GO:0098798	GO:0098798	mitochondrial protein-containing complex	12/146	342/22585	0.0350877192982456	5.42778178322519	6.6554540972148	2.40447307879551e-06	0.000207385803046113	0.000160720042635279	NDUFB6/MRPL4/TIMM50/MPV17L2/NDUFB2/MRPL37/COX6B1/HSD17B10/DMAC2/MRPL2/MRPL27/IDH3B	12
GO:0000315	GO:0000315	organellar large ribosomal subunit	5/146	58/22585	0.0862068965517241	13.3354983467171	7.58742004971001	3.6655128987235e-05	0.00210766991676601	0.00163340399346626	MRPL4/MPV17L2/MRPL37/MRPL2/MRPL27	5
GO:0005762	GO:0005762	mitochondrial large ribosomal subunit	5/146	58/22585	0.0862068965517241	13.3354983467171	7.58742004971001	3.6655128987235e-05	0.00210766991676601	0.00163340399346626	MRPL4/MPV17L2/MRPL37/MRPL2/MRPL27	5
GO:0015934	GO:0015934	large ribosomal subunit	6/146	120/22585	0.05	7.73458904109589	5.96655463879511	0.00013129409145857	0.00647092307902952	0.00501484198954538	MRPL4/MPV17L2/MRPL37/NHP2/MRPL2/MRPL27	6
GO:0005838	GO:0005838	proteasome regulatory particle	3/146	22/22585	0.136363636363636	21.0943337484433	7.60609317274065	0.000372408282852219	0.0138541735808988	0.0107367203342434	ADRM1/PSMC5/PSMC3	3
GO:1990130	GO:1990130	GATOR1 complex	2/146	5/22585	0.4	61.8767123287671	10.981188199478	0.000409781491597315	0.0138541735808988	0.0107367203342434	RRAGA/NPRL3	2
GO:0000313	GO:0000313	organellar ribosome	5/146	98/22585	0.0510204081632653	7.89243779703662	5.51563151575257	0.000441727273593873	0.0138541735808988	0.0107367203342434	MRPL4/MPV17L2/MRPL37/MRPL2/MRPL27	5
GO:0005761	GO:0005761	mitochondrial ribosome	5/146	98/22585	0.0510204081632653	7.89243779703662	5.51563151575257	0.000441727273593873	0.0138541735808988	0.0107367203342434	MRPL4/MPV17L2/MRPL37/MRPL2/MRPL27	5
GO:0022624	GO:0022624	proteasome accessory complex	3/146	27/22585	0.111111111111111	17.1879756468798	6.7888973092815	0.000690795022391063	0.0198603568937431	0.0153913978673097	ADRM1/PSMC5/PSMC3	3
GO:0070847	GO:0070847	core mediator complex	3/146	30/22585	0.1	15.4691780821918	6.39673242614689	0.000945347419789018	0.0243998202451436	0.0189093953997451	MED15/MED19/MED10	3
GO:0030120	GO:0030120	vesicle coat	4/146	68/22585	0.0588235294117647	9.09951651893634	5.3955211479855	0.000990137633136261	0.0243998202451436	0.0189093953997451	AP2M1/PEF1/COPZ1/CLTB	4
GO:0005681	GO:0005681	spliceosomal complex	7/146	245/22585	0.0285714285714286	4.41976516634051	4.34123057697756	0.0010970122299407	0.0244270090384406	0.018930466196076	RALY/DDX41/U2AF2/IK/YBX1/BUD31/HNRNPA1	7
GO:0098835	GO:0098835	presynaptic endocytic zone membrane	2/146	8/22585	0.25	38.6729452054795	8.5963989432068	0.00113284679598565	0.0244270090384406	0.018930466196076	AP2M1/CLTB	2
GO:0098833	GO:0098833	presynaptic endocytic zone	2/146	9/22585	0.222222222222222	34.3759512937595	8.07804969695829	0.00145034431871321	0.0294334582327092	0.0228103688515885	AP2M1/CLTB	2
GO:0005839	GO:0005839	proteasome core complex	3/146	36/22585	0.0833333333333333	12.8909817351598	5.75944228082556	0.00161608498911883	0.0302470339050898	0.0234408744832732	PSMA1/PSMB6/PSMB5	3
