	Basal	Her2	LumA	LumB	Normal
06ae7b4d-2906-4a38-a4ef-1cc937716dcb	0	0	1	0	0
083eb05f-0af4-4f73-bf09-3806eb3b71bb	0	0	1	0	0
0940092b-46da-4975-bde7-f205fe12707b	0	0	1	0	0
0db633a3-b1da-4caf-8e2c-89c0bc422869	0	0	1	0	0
1044dff3-e077-4086-8d78-e3c125ec0c84	1	0	0	0	0
1075d95f-6d27-42e1-a67a-73d5247c8a68	0	1	0	0	0
11ed8e05-8f30-460a-b502-01ae09504315	0	0	0	1	0
144d0f39-feff-4dcd-a07d-abcc400e901f	0	0	1	0	0
187f14ba-0002-4f99-9eb1-af93cbfdd4c2	0	0	1	0	0
195d8bd4-352c-4407-9319-797d915c72b8	0	0	1	0	0
1990cbfd-497e-4fcb-ad10-251e410c0d29	0	1	0	0	0
1a2bc49d-edc6-4b84-88f0-73b6ed250d1b	1	0	0	0	0
2056c543-2f73-4a2f-995e-3af2dda7b514	0	0	0	1	0
22c2b380-799e-4fad-ae38-46a916c592d5	0	0	1	0	0
28b12d43-f858-458b-9305-6581a9498e59	1	0	0	0	0
2b5864c9-7577-4e93-8d22-1f45a98267f1	1	0	0	0	0
2db5e0aa-342e-4766-8725-c1d677fd52b2	0	0	0	1	0
304b7293-0a76-4028-9a18-58c87c751ceb	0	0	1	0	0
3129e1d1-9844-4df4-b30e-29b1c438983b	0	0	1	0	0
31bdedf8-eb1c-48ae-8d96-e06c2b3f27d2	0	0	0	1	0
36e48370-2ecb-4d2c-91ab-7f7426647213	0	0	1	0	0
37d359b3-d8f5-44cf-8f30-57dfdbbab8c1	0	0	1	0	0
39a75bde-24a0-4d26-8377-df045423f786	0	0	1	0	0
3daf8160-42c5-41bf-b251-77fce23a4aab	0	0	0	1	0
4066800d-0b9e-4263-ba24-cab271630e41	0	0	1	0	0
40a4fc74-f345-4940-be5c-249013782e4f	0	0	1	0	0
41bdc474-8e6e-4f39-98ec-6d73ee41837c	1	0	0	0	0
43c4bdc2-b3fc-4fb0-9f11-f45394c4256b	1	0	0	0	0
45f837c9-6b9e-4eed-ba56-9715b4a0356d	0	0	1	0	0
46cdbe65-5610-4903-9452-518fd6d5787d	1	0	0	0	0
4eee2055-ed1f-4958-b214-4cff055c87bd	0	0	0	1	0
52ff2501-c6d1-4469-a2b7-c458d98cfc8e	0	0	1	0	0
58b399a0-3070-44aa-9a40-f0e2c0fea0fc	1	0	0	0	0
5991af25-0b64-43d2-867a-6b9713b17af9	1	0	0	0	0
5a277308-f1bc-47b3-a397-aeabe9db8dc6	0	0	1	0	0
5a61d29b-5ae6-41b6-8842-865463f72990	0	0	0	1	0
5b51c204-3342-46d9-86a4-2ed091492318	0	0	0	1	0
5e4626c1-dcf9-4781-a2e7-f6afca7e2ee7	0	0	1	0	0
63afc197-8c49-4150-a98b-61c47f182778	0	1	0	0	0
663797a8-ffd2-48a2-a5f6-992b5eb3c745	0	0	1	0	0
674907a1-381a-4952-924a-52e2adf5ad19	0	0	1	0	0
682169e0-f36b-430c-896f-c93668b4ce78	0	0	0	1	0
6f73500d-4b23-4f14-911b-fbc69bd38f4b	0	0	1	0	0
707fad7d-f284-456a-abfa-17289b40579f	0	0	0	1	0
71c9a6fc-0538-4533-af51-f7c9defe7770	0	1	0	0	0
73729b89-4802-4780-9e7f-cb160a04bb17	0	0	1	0	0
752ec80f-0c1d-4c66-9927-a32f2f9dfb2a	0	0	1	0	0
75e67bb5-098c-4b48-8f5d-badc72dc4c47	0	0	1	0	0
767425eb-9fa2-45bc-a3ad-ca8dbafd373f	0	1	0	0	0
7880b3ba-9f39-4744-be72-b87dbd8eb425	1	0	0	0	0
7d30a479-6d2f-431e-b15c-26736994b2f5	0	0	0	1	0
7de22a44-8f58-4a73-90a3-a16d161160e8	0	0	1	0	0
815b70e5-858d-416d-94aa-6749960883ce	0	0	0	1	0
828c9648-f725-4d7e-ad37-e33692e2c67f	1	0	0	0	0
83f93d3f-d038-4773-a671-0f218f53821c	0	1	0	0	0
85caaa0e-2811-46d2-b934-d9f9f006afc6	1	0	0	0	0
87568e73-7eac-4243-9d74-03efb86b6f29	0	0	1	0	0
876216c7-72a1-4b1e-bd2b-fcb125ca91ae	0	0	1	0	0
8bf23a6b-8ca6-4fcf-b4e9-a14c3a875526	1	0	0	0	0
8bfd50fb-d6d8-44cd-a492-1e0a983e40b6	0	0	1	0	0
8d2f240f-43c3-4e0d-a6cc-79f6b174dace	0	0	0	1	0
8f08cee9-a91f-4305-bf8d-efeee9cd386c	0	0	1	0	0
8f4d89ea-3207-4fa7-9898-9b78cb971577	0	0	1	0	0
952883cf-24c2-4ed7-bb96-3f736c15ae3d	1	0	0	0	0
95e450bd-ff88-4498-9418-e09883c94988	0	0	0	1	0
96668a75-e21b-482f-b699-0b5282909a9a	0	1	0	0	0
9c706e45-00da-42cd-933f-1f42f0b6942e	0	0	1	0	0
9e785594-f00c-4805-8901-66c73fe2588d	1	0	0	0	0
a17d056c-59ee-4c93-9357-19d57f108144	0	0	1	0	0
a3595c7e-948b-4d93-a623-477d7af84e15	0	0	0	1	0
a7428d3b-f84b-4c2f-a996-14a11af6b6df	1	0	0	0	0
a90d3b2d-38f9-455c-88cd-73d5b3729491	0	0	1	0	0
aa3cbc51-b74d-44b1-9043-cb2b9855a72b	0	0	1	0	0
acb208ab-def4-4b55-b1c7-abe2130e61c9	1	0	0	0	0
aeee03c3-20b3-4f96-b686-52111ce99a63	1	0	0	0	0
b0c13073-8725-4707-983c-506fe46205d7	0	0	0	1	0
b1366128-6ab0-4205-ae2b-a854e8ad45bf	0	0	0	1	0
b161c26d-64b1-4e03-94da-4f9b9de25e88	1	0	0	0	0
b35809ed-747b-46b9-9921-e14d859e5b5d	0	0	1	0	0
b3861080-a052-4432-82f8-193122ab29d4	0	0	0	1	0
b4aad532-f92b-43d9-820c-f3c98e382225	0	0	1	0	0
b58811d7-8ee0-4b65-a892-17319cc9ecaf	0	0	1	0	0
b5e84055-487f-467a-9bc4-bd59ec82f183	0	0	1	0	0
c0285709-159c-46dd-8bd8-50fad06513dd	0	0	0	1	0
c5bb9834-a08f-4729-9aec-22f9a2816184	0	0	1	0	0
c63e3277-327a-4259-84f2-13d9a2c2d68a	0	1	0	0	0
c84dbd50-ff69-4824-afe5-1eaec5780d27	1	0	0	0	0
c9c9c085-8e23-454c-aa36-cf59e8dbc587	0	0	1	0	0
c9dffad1-99e8-40b8-8954-1e50b98a1a55	0	0	1	0	0
cab9ff29-e575-45e2-a411-1bfdc2e2610c	0	0	0	1	0
cb024f71-c708-498b-9196-2fe57acf3771	0	0	1	0	0
cbf0063b-68e5-42ee-9292-dfbf918a7b08	0	0	1	0	0
ce098c6d-1b12-48df-bbbb-4f1ea8788942	1	0	0	0	0
cf122ae0-0be8-43dd-a0b9-01fff585186f	0	0	1	0	0
cfe1c805-2211-419c-bf9a-e0c8b5020dce	0	0	0	0	1
d0ee5ff7-a49a-4633-93a6-40c9e29fb0b7	0	1	0	0	0
d27304e0-1b0b-4fc3-8e0d-af2c305d30f8	1	0	0	0	0
d504a28c-f8e7-4c5e-b01a-23b4cdd1dd8a	0	1	0	0	0
d5a1a331-cd5b-448f-adf6-ea393565ef26	0	0	0	1	0
d7eb3fb0-7bfe-4f69-b298-41dde09902e6	0	0	1	0	0
d8edd309-518d-4358-8245-9e92d7af4441	0	0	1	0	0
db5dab56-838e-4784-a7cf-f05296e356f7	0	0	1	0	0
e3c0a094-5504-4b74-9e0d-c73e84dc3901	0	0	1	0	0
e682e28e-0611-4e92-899c-637fde17423d	0	0	0	1	0
e869b178-9abe-44ca-ae6b-a6caae1834fb	0	1	0	0	0
e97a2bf2-c5bd-4dbf-9940-450a8a99e9df	0	0	1	0	0
ea030b7d-26eb-4f0e-b7b9-c6b165061118	0	0	1	0	0
ea16db3d-eb2a-44b3-bf22-258e583dbcf4	0	0	1	0	0
ec60e081-f075-4c72-b1e7-62e1f1429fc1	1	0	0	0	0
f13d5df0-7293-4453-942f-2b49a3d33057	0	0	1	0	0
f3f0919f-f9eb-4baf-aeef-c79fbafef237	0	0	1	0	0
f4d60a0f-dc11-4005-8d59-7511ba4de8b1	0	0	1	0	0
f7c6320e-0c39-4b92-9a25-fd4e03b70362	1	0	0	0	0
00a26384-1b1c-4db4-9664-75fb9b3febdb	0	0	1	0	0
01661d94-fc16-4456-95cf-a5fa4e1e196c	0	1	0	0	0
02423743-43b4-494b-acd9-1cd3bcd3d395	0	0	0	1	0
02bbe1b1-44ff-426b-a40e-47a01bc4cf7d	1	0	0	0	0
0361ec21-e83f-40a9-b825-d92487b1239a	0	0	0	1	0
039eaafb-c311-45ff-9df7-30c1b0bab00a	0	0	1	0	0
040e40de-4c19-423f-98dc-151e2633d085	0	0	1	0	0
046c3754-b22c-4bce-93c7-29b9da173d33	0	0	0	1	0
04c428b5-d0b9-4ecf-86e8-8a42dc4cbb5e	0	0	1	0	0
04de1f79-fdfc-4662-bab2-a3ed667c7dea	0	0	1	0	0
04ed1bfb-533f-4d97-a7e4-3e7bab103485	0	0	0	1	0
05b55f88-290a-4abd-bbc3-44561ba1f8b7	0	0	1	0	0
05ea028e-6b8a-4352-88aa-057494cf5e80	0	0	1	0	0
063a4886-ee4d-43a9-95c1-25a0c0b2d85d	0	0	1	0	0
06ce7b93-1264-4219-8a2f-d8f0d295e45f	0	0	1	0	0
071e21e7-a494-4d87-ab48-1cb334e0d992	0	0	1	0	0
073939c1-c857-4340-8a5f-a7b87d2349c3	0	1	0	0	0
081b4937-85e7-44b3-9124-a612f4f2e0ca	0	1	0	0	0
096761b0-f4ca-448d-b78f-58469a508798	0	0	0	1	0
09cf8de3-bb0f-434d-8cb3-9f5eeb264b6b	0	0	1	0	0
09f906ba-fa4b-487f-9631-fbd97d9db8f9	0	1	0	0	0
0a133c47-fae8-4e3b-8f4d-cbf357f5e2fc	0	0	0	1	0
0a430a9a-7e63-41d6-8cd0-1dda1e1df975	0	0	0	1	0
0a72c39e-889a-4990-bf96-6c7b9b8c1124	0	1	0	0	0
0b36289c-6835-414d-9f86-4cc4a812af87	0	0	0	1	0
0b59b278-d2f6-4aa6-bf6d-b8d743ae83af	1	0	0	0	0
0c087071-89ba-4fc8-ab47-c4f1c60fa24c	1	0	0	0	0
0c311d42-5038-4408-ac4a-5ffbb02817e4	1	0	0	0	0
0cf58c62-a75d-413b-8ce3-4d90f4688b04	0	0	1	0	0
0d6fbefe-4e21-4762-a476-9c899d4a94b7	0	0	1	0	0
0d71189d-6801-4d6b-b306-22efcaa2564a	1	0	0	0	0
0dacd83e-7fab-4064-a25c-c1de66be5305	1	0	0	0	0
0e062eef-29b8-4622-afd9-0d3f0d1c37d6	0	0	0	1	0
0ef46de9-c9e7-42f0-92bf-c17dc2ede102	0	0	0	0	1
0f168687-6f42-4d92-8f91-13efde785a0c	0	0	1	0	0
0f382cf1-3e52-4078-bf12-cc6ba998ed3f	1	0	0	0	0
0f3b932e-de72-483f-9ef6-74ae972637bd	0	0	0	1	0
0f669396-2dc4-4305-aa35-c6fbd82ee7df	0	0	0	1	0
0f9b8032-b21a-4480-8434-d174760a7ddd	0	0	0	1	0
1008e8d8-a93c-4779-80b6-1272322e7c52	0	1	0	0	0
10376443-40df-451a-91e5-6be34850558c	0	1	0	0	0
13d6ae6d-1662-4e0a-a10b-a733efc216b2	0	0	1	0	0
13fc37db-3160-4e82-bd63-52fc295e0e19	0	0	1	0	0
1453285a-717a-4ae3-a537-57df2b8e65e2	0	0	0	1	0
16bd1ebb-5bf9-4839-99bd-5a4d3dcad7b8	0	0	0	1	0
1729f18b-f4d7-4e1c-af9f-2c651023e7fc	0	0	1	0	0
17985496-652a-4034-997b-b888d97316e3	0	1	0	0	0
17dfa221-f092-45ed-a2e4-5798ddfc0ce9	0	1	0	0	0
18cbd510-bce2-4370-a00f-939d562ba7de	0	0	0	1	0
18e5bf73-efdd-4c75-957c-68a94f6cb396	0	0	1	0	0
1924888b-3b46-4079-a403-d758975a37bd	0	0	1	0	0
1a3e846b-4c7f-4aac-8c26-bb5e25f226ae	0	0	1	0	0
1babcd23-5abc-4f27-b367-a093590e9f6d	0	0	0	1	0
1bc678a3-1850-4ab6-874b-d68992fddc7b	0	0	0	1	0
1bd6dff8-ad21-4a45-b496-2d52ba995e5e	0	0	1	0	0
1be6a56c-a7b1-45e5-b96c-db20337073b8	0	1	0	0	0
1c3dbd2f-1c07-48cb-a844-0b1b3eb14e0d	0	1	0	0	0
1cb7f73e-af63-4d6a-b6a1-fe289435a93f	0	0	1	0	0
1d18e4b7-83a5-4c40-94ef-f77c1ba2fdbb	0	0	0	1	0
1d468785-141d-40ca-acb1-d6d85a8c9d7b	0	0	0	1	0
1dd10557-4e50-4af0-87c6-b4b3f6fa3a15	0	0	0	1	0
1e742dad-8e44-452a-bf2b-9b8ae1ed8bb2	1	0	0	0	0
1ec0a33c-5b2e-4078-8226-48026f7d5c82	1	0	0	0	0
1fc52882-bc89-4a45-a96e-5e051420c513	1	0	0	0	0
204cf188-2162-43ac-bad4-8304622f3090	0	0	0	1	0
207b5c1c-3710-47bd-be2c-e1307631b28f	0	0	0	1	0
20ef7196-2274-44e1-a105-0761f80c893c	0	0	0	1	0
2100a159-27a6-47f2-a2f2-58f5343e88b0	1	0	0	0	0
216e4f8a-be1a-41d6-b413-fa4645423caa	1	0	0	0	0
222dd9b5-4187-45b9-8cb1-fd16ba14425b	0	1	0	0	0
2244c5e8-a873-4e29-abb7-e869a7d79e3f	0	0	1	0	0
22c90647-bf63-49e1-972a-0ff9000b674b	1	0	0	0	0
22e623b3-2c82-4283-bd28-2cf1777b0179	1	0	0	0	0
231b4ae3-8543-47f4-a9f6-0ac26210b26d	0	0	1	0	0
23b6c182-bb01-403a-9844-560518d059ac	0	0	1	0	0
23f366c0-41f3-4159-86f0-5fa3d0059761	0	0	1	0	0
265fc9bf-8f99-4422-b78d-78ecf09b0e53	0	0	0	1	0
273bc6c8-f5a9-44df-a707-5274fcba8362	0	0	1	0	0
27c65ed6-9e9d-4a9d-9b6f-76d2a12f7699	1	0	0	0	0
27f20469-cbf5-417f-922a-19cf9e8b790c	0	0	0	1	0
281a89c1-e817-49d4-afa1-2894c2747919	0	1	0	0	0
287f70d5-cb97-459f-963b-68408f92c0f3	1	0	0	0	0
28f1b708-bd3c-4ae7-935f-3282f75304a7	0	0	0	1	0
28f3a34c-f73a-4d10-8c0a-23e578866289	0	0	1	0	0
29246ea5-44e5-43d3-be04-c038c20db027	1	0	0	0	0
2966096f-4a35-4dca-ab38-ac86074fa29e	0	0	0	1	0
2973fc8f-d20c-4cf3-b183-2ac32df73ae7	0	0	1	0	0
29ce926f-d72e-4064-8a7f-359d86cb9d11	0	0	0	1	0
2ae456c7-57fa-4146-9b29-2d4129f0cf7c	0	0	1	0	0
2b67c3b5-330e-41e4-95cf-028d37fe91e1	0	0	1	0	0
2b9e2225-fb4d-4bc5-8c9a-58cd993627f9	0	0	0	0	1
2bbbdb50-4486-473c-a158-6b1656bdb242	0	0	0	1	0
2c1b1cbb-6e9f-4416-8faa-abb31d6b4e0e	0	0	0	1	0
2cfbc50e-e38d-41ad-8809-a3ed9685ddf1	0	1	0	0	0
2d4c2aed-34ae-4232-9b42-29b1a821f791	0	0	0	0	1
2dc9eaca-6dfc-4e7f-a12b-1495986e1ad4	0	0	0	1	0
2dd0b954-db3e-402d-9c06-6160e199dedb	1	0	0	0	0
2e36839f-3155-4e05-9ed3-404522fdb04f	1	0	0	0	0
2e41a573-7a9d-4f96-873f-48aa12b3ab96	0	0	0	1	0
2e64abe2-6024-4d28-9e09-560ce2a9fd15	0	0	0	1	0
2ed88c3e-bf61-4e2f-b06c-0b93c9f9402e	0	0	1	0	0
30285113-d411-475a-a8ed-1fb66be72f28	0	0	0	1	0
3099b2a6-0d46-4404-88b0-a3689b019c38	0	0	0	1	0
315f3deb-74b5-4b71-afe5-759c85a0a6cc	0	0	1	0	0
32fdc0ce-d263-4622-8f8c-3df009bf2535	1	0	0	0	0
3334577a-8045-4613-9a1b-e79fd62d5d6d	1	0	0	0	0
33527fe8-7215-45bd-8520-b290995b839d	0	1	0	0	0
343c349a-57ce-4599-8185-3ed2e15c6fdd	0	0	1	0	0
35120b68-e618-46a1-9641-1e635f633372	0	0	1	0	0
352ec91a-6c0a-4d6e-b6bd-4237f5eebde9	1	0	0	0	0
35da5f48-1c64-488b-8330-01e5fcbd9801	0	0	0	1	0
3621ce2e-a1eb-4a45-ac06-779a780b0b99	0	0	0	1	0
3628bc49-6968-47a8-96e4-e47421a7152a	1	0	0	0	0
36998e69-e955-49da-b859-2092caff19cb	0	0	0	1	0
36bbebb5-ba1e-4ac6-83b2-67ccd05e4939	0	0	1	0	0
3823e741-c29c-431e-9397-4d16a30ec473	0	0	1	0	0
38387a4f-c65d-4075-8133-fdf259e919ed	0	0	1	0	0
39eaa466-f50c-402e-b127-b6b016d0480d	0	0	0	1	0
3a6cc4be-eff8-4725-a416-46ed35316192	1	0	0	0	0
3a814d3d-749f-4066-b33b-3faf503d84bb	0	0	0	1	0
3c3c4741-8eda-46fe-8d36-2cd683f4a987	0	0	0	0	1
3ccab1b1-39f2-4947-bbac-1c25750f0464	0	1	0	0	0
3cd924c3-5000-49de-a253-92d1cfa9a09a	1	0	0	0	0
3cf6f0ec-e11f-4a59-8d86-3e0bbc01f8e9	1	0	0	0	0
3d1bf8fc-c86b-436e-ab0c-3734af129b09	0	1	0	0	0
3d2bf709-b8ab-41c5-a8a0-dd42e7846c25	0	0	1	0	0
3d31d7a9-76b8-41f4-a037-0dfe6a4ecb0c	0	0	1	0	0
3ef3fd4b-ed5b-41e1-8096-c573cf609bd3	0	0	1	0	0
3f3b6a7b-94f0-40a3-9f16-32bab2854678	0	0	1	0	0
3f4afc9c-562a-4ef4-a6cb-ff426357a614	0	0	1	0	0
3f91fef1-b62c-4884-a882-c99bb6ca9613	0	0	1	0	0
3f94086c-9e16-403e-b191-e03e9b6e3ce2	1	0	0	0	0
3fd9c506-ed43-45db-bff4-6e968ac19564	0	1	0	0	0
40a31ab3-71fa-4f7b-a3b1-22e15ff0f358	0	0	1	0	0
420197bd-db07-4df9-8f72-3d7d509ae1d0	0	0	1	0	0
42b32308-71f1-4f21-935f-7e4e5751e332	0	0	0	1	0
42ed2e82-e41d-4e2e-8bf3-8dfc324b040f	0	0	0	1	0
4331397f-eaf9-4e43-8fa2-e30ad3643aca	0	1	0	0	0
4387a2a8-5011-44c4-8027-61d5ab3792a0	0	1	0	0	0
43d15c49-f348-48a8-b00f-7f6a7b605a04	0	0	1	0	0
444d0a78-82fe-4a80-9b41-d7daf98506ca	0	1	0	0	0
4541a5e4-240b-466d-bbc4-3904581490f3	0	0	1	0	0
458ad47a-9fbc-4508-8ff5-5a8e5c71ae6a	1	0	0	0	0
465928c5-ab56-46ff-acb5-76e36c97ebda	1	0	0	0	0
470b6305-67ca-487c-b9b1-9b74f673f9fd	0	0	1	0	0
4796719b-2fa2-40ee-9fa9-6a8caa703823	0	0	1	0	0
47e6db9a-52b4-4a3b-8c5f-1cb8fa48f7ea	0	1	0	0	0
48077485-61e6-4d16-a74c-ee216a9455f1	0	0	1	0	0
