	Basal	Her2	LumA	LumB	Normal
06ae7b4d-2906-4a38-a4ef-1cc937716dcb	0	0	0.582702361636921	0	0.417297638363079
083eb05f-0af4-4f73-bf09-3806eb3b71bb	0	0	0.653460972017673	0.346539027982327	0
0940092b-46da-4975-bde7-f205fe12707b	0	0	0.552679823142457	0.429310902620511	0.0180092742370322
0db633a3-b1da-4caf-8e2c-89c0bc422869	0	0	0.59001256281407	0	0.40998743718593
1044dff3-e077-4086-8d78-e3c125ec0c84	0.765532544378698	0	0	0	0.234467455621302
1075d95f-6d27-42e1-a67a-73d5247c8a68	0	0.706977073308803	0	0.293022926691197	0
11ed8e05-8f30-460a-b502-01ae09504315	0	0.0909090909090909	0.400143163922691	0.508947745168218	0
144d0f39-feff-4dcd-a07d-abcc400e901f	0	0	0.653371546851365	0.229042273704323	0.117586179444312
187f14ba-0002-4f99-9eb1-af93cbfdd4c2	0	0	0.628643497757848	0	0.371356502242152
195d8bd4-352c-4407-9319-797d915c72b8	0	0	0.734703963625581	0.188494613027577	0.0768014233468419
1990cbfd-497e-4fcb-ad10-251e410c0d29	0	0.828533623910336	0	0.171466376089664	0
1a2bc49d-edc6-4b84-88f0-73b6ed250d1b	0.923263834456811	0	0	0	0.0767361655431886
2056c543-2f73-4a2f-995e-3af2dda7b514	0	0	0	1	0
22c2b380-799e-4fad-ae38-46a916c592d5	0	0	0.645930869608527	0	0.354069130391473
28b12d43-f858-458b-9305-6581a9498e59	0.859523982822622	0.0894533808865274	0	0	0.0510226362908509
2b5864c9-7577-4e93-8d22-1f45a98267f1	0.962394705174489	0.0376052948255114	0	0	0
2db5e0aa-342e-4766-8725-c1d677fd52b2	0	0	0.154168663152851	0.845831336847149	0
304b7293-0a76-4028-9a18-58c87c751ceb	0	0	0.738794567062818	0	0.261205432937182
3129e1d1-9844-4df4-b30e-29b1c438983b	0	0	0.673554170766371	0.231879304690062	0.0945665245435662
31bdedf8-eb1c-48ae-8d96-e06c2b3f27d2	0	0	0.434553349875931	0.565446650124069	0
36e48370-2ecb-4d2c-91ab-7f7426647213	0	0	0.72610051577306	0	0.27389948422694
37d359b3-d8f5-44cf-8f30-57dfdbbab8c1	0	0	0.619103441808121	0	0.380896558191878
39a75bde-24a0-4d26-8377-df045423f786	0	0	0.555357794815626	0	0.444642205184374
3daf8160-42c5-41bf-b251-77fce23a4aab	0.0653546776325452	0.334410339256866	0	0.600234983110589	0
4066800d-0b9e-4263-ba24-cab271630e41	0	0	0.693606400939587	0.268296263671732	0.0380973353886809
40a4fc74-f345-4940-be5c-249013782e4f	0	0	0.720678669333926	0.230643846780766	0.0486774838853078
41bdc474-8e6e-4f39-98ec-6d73ee41837c	0.928107368780988	0.0718926312190118	0	0	0
43c4bdc2-b3fc-4fb0-9f11-f45394c4256b	0.90044436848402	0	0	0	0.0995556315159802
45f837c9-6b9e-4eed-ba56-9715b4a0356d	0	0	0.702925595954732	0	0.297074404045269
46cdbe65-5610-4903-9452-518fd6d5787d	0.947841074020319	0	0	0	0.0521589259796807
4eee2055-ed1f-4958-b214-4cff055c87bd	0	0	0.315641534391534	0.684358465608466	0
52ff2501-c6d1-4469-a2b7-c458d98cfc8e	0	0	0.561214909398179	0	0.438785090601821
58b399a0-3070-44aa-9a40-f0e2c0fea0fc	0.790824915824916	0	0	0	0.209175084175084
5991af25-0b64-43d2-867a-6b9713b17af9	0.72478184991274	0	0	0	0.27521815008726
5a277308-f1bc-47b3-a397-aeabe9db8dc6	0	0	0.65310591218163	0.0565863777803388	0.290307710038032
5a61d29b-5ae6-41b6-8842-865463f72990	0	0.222204266321913	0	0.777795733678087	0
5b51c204-3342-46d9-86a4-2ed091492318	0	0.148233486943164	0	0.851766513056836	0
5e4626c1-dcf9-4781-a2e7-f6afca7e2ee7	0	0	0.549577771724326	0.450422228275674	0
63afc197-8c49-4150-a98b-61c47f182778	0	0.512385549009866	0.0907800411668678	0.396834409823266	0
663797a8-ffd2-48a2-a5f6-992b5eb3c745	0	0.156550243020233	0.650502995365661	0.192946761614106	0
674907a1-381a-4952-924a-52e2adf5ad19	0	0	0.65546082451975	0	0.34453917548025
682169e0-f36b-430c-896f-c93668b4ce78	0	0.224509460406447	0	0.775490539593553	0
6f73500d-4b23-4f14-911b-fbc69bd38f4b	0	0	0.775338791643139	0	0.224661208356861
707fad7d-f284-456a-abfa-17289b40579f	0	0.388674743024963	0	0.611325256975037	0
71c9a6fc-0538-4533-af51-f7c9defe7770	0.0935141358577459	0.710630676730203	0	0	0.195855187412051
73729b89-4802-4780-9e7f-cb160a04bb17	0	0.190114475232695	0.466138868086017	0.343746656681288	0
752ec80f-0c1d-4c66-9927-a32f2f9dfb2a	0	0	0.711483424755545	0	0.288516575244455
75e67bb5-098c-4b48-8f5d-badc72dc4c47	0	0	0.665103461612841	0	0.334896538387159
767425eb-9fa2-45bc-a3ad-ca8dbafd373f	0.108130385912327	0.530011240164856	0	0.361858373922818	0
7880b3ba-9f39-4744-be72-b87dbd8eb425	0.831733787783658	0.0189254641671899	0	0	0.149340748049152
7d30a479-6d2f-431e-b15c-26736994b2f5	0	0	0.23958742632613	0.76041257367387	0
7de22a44-8f58-4a73-90a3-a16d161160e8	0	0	0.671274846809147	0	0.328725153190853
815b70e5-858d-416d-94aa-6749960883ce	0	0.0883239549839228	0	0.911676045016077	0
828c9648-f725-4d7e-ad37-e33692e2c67f	0.919692737430168	0.0803072625698324	0	0	0
83f93d3f-d038-4773-a671-0f218f53821c	0	0.52441749122247	0.12760932014044	0.347973188637089	0
85caaa0e-2811-46d2-b934-d9f9f006afc6	0.87940493775058	0.12059506224942	0	0	0
87568e73-7eac-4243-9d74-03efb86b6f29	0	0	0.581217095075875	0	0.418782904924125
876216c7-72a1-4b1e-bd2b-fcb125ca91ae	0	0	0.648052631578947	0	0.351947368421053
8bf23a6b-8ca6-4fcf-b4e9-a14c3a875526	0.566756327179362	0	0	0	0.433243672820638
8bfd50fb-d6d8-44cd-a492-1e0a983e40b6	0	0	0.610863371732937	0	0.389136628267063
8d2f240f-43c3-4e0d-a6cc-79f6b174dace	0	0.24021040327294	0.0152792852968189	0.744510311430241	0
8f08cee9-a91f-4305-bf8d-efeee9cd386c	0	0	0.587901473074137	0	0.412098526925863
8f4d89ea-3207-4fa7-9898-9b78cb971577	0	0	0.649390243902439	0	0.350609756097561
952883cf-24c2-4ed7-bb96-3f736c15ae3d	0.758648431214803	0.213486433116361	0	0.0278651356688364	0
95e450bd-ff88-4498-9418-e09883c94988	0	0.264989243288748	0.125806753343934	0.609204003367318	0
96668a75-e21b-482f-b699-0b5282909a9a	0	0.920116528672186	0	0	0.0798834713278136
9c706e45-00da-42cd-933f-1f42f0b6942e	0	0	0.593254437869822	0.406745562130177	0
9e785594-f00c-4805-8901-66c73fe2588d	0.822746047571571	0	0	0	0.177253952428429
a17d056c-59ee-4c93-9357-19d57f108144	0	0	0.524915540540541	0.475084459459459	0
a3595c7e-948b-4d93-a623-477d7af84e15	0	0	0	1	0
