ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006119	GO:0006119	oxidative phosphorylation	8/52	171/21288	0.0467836257309941	19.1524966261808	11.7934495485667	8.19198446883422e-09	2.58131958897728e-06	2.2095206071598e-06	NDUFA8/NDUFA1/COX7B/COA6/CYC1/NDUFA6/COX3/ATP5MF	8
GO:0042773	GO:0042773	ATP synthesis coupled electron transport	7/52	117/21288	0.0598290598290598	24.4930966469428	12.6091280068182	1.37792860621563e-08	2.58131958897728e-06	2.2095206071598e-06	NDUFA8/NDUFA1/COX7B/COA6/CYC1/NDUFA6/COX3	7
GO:0042775	GO:0042775	mitochondrial ATP synthesis coupled electron transport	7/52	117/21288	0.0598290598290598	24.4930966469428	12.6091280068182	1.37792860621563e-08	2.58131958897728e-06	2.2095206071598e-06	NDUFA8/NDUFA1/COX7B/COA6/CYC1/NDUFA6/COX3	7
GO:0022904	GO:0022904	respiratory electron transport chain	7/52	140/21288	0.05	20.4692307692308	11.4366993220512	4.78141028604514e-08	6.71788145189343e-06	5.75027500190166e-06	NDUFA8/NDUFA1/COX7B/COA6/CYC1/NDUFA6/COX3	7
GO:0009060	GO:0009060	aerobic respiration	8/52	224/21288	0.0357142857142857	14.6208791208791	10.1410113424436	6.70170959487934e-08	7.53272158464438e-06	6.44775007338918e-06	NDUFA8/NDUFA1/COX7B/COA6/CYC1/NDUFA6/COX3/ATP5MF	8
GO:0019646	GO:0019646	aerobic electron transport chain	6/52	109/21288	0.055045871559633	22.5349329569513	11.1538960161663	2.63661511858029e-07	2.46962949440353e-05	2.11391773542314e-05	NDUFA8/NDUFA1/COX7B/CYC1/NDUFA6/COX3	6
GO:0045333	GO:0045333	cellular respiration	8/52	274/21288	0.0291970802919708	11.9528354856822	9.02963146749693	3.13470123601597e-07	2.51671727805854e-05	2.15422325542752e-05	NDUFA8/NDUFA1/COX7B/COA6/CYC1/NDUFA6/COX3/ATP5MF	8
GO:0022900	GO:0022900	electron transport chain	7/52	194/21288	0.0360824742268041	14.7716098334655	9.53517455428448	4.42988717368979e-07	3.11199573951708e-05	2.66376110312662e-05	NDUFA8/NDUFA1/COX7B/COA6/CYC1/NDUFA6/COX3	7
GO:0015980	GO:0015980	energy derivation by oxidation of organic compounds	8/52	370/21288	0.0216216216216216	8.85155925155925	7.53909539593903	2.98111935572903e-06	0.000186154341991079	0.000159341701236043	NDUFA8/NDUFA1/COX7B/COA6/CYC1/NDUFA6/COX3/ATP5MF	8
GO:0009142	GO:0009142	nucleoside triphosphate biosynthetic process	5/52	141/21288	0.0354609929078014	14.5171849427169	7.96881919338525	2.40213160753079e-05	0.0013499979634323	0.00115555173120165	AK1/NDUFA8/NDUFA1/NDUFA6/ATP5MF	5
GO:0046034	GO:0046034	ATP metabolic process	6/52	256/21288	0.0234375	9.59495192307692	6.84613866685631	3.65335794161602e-05	0.00186653378471655	0.0015976885926493	AK1/NDUFA8/NDUFA1/NDUFA6/FIS1/ATP5MF	6
GO:0042776	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	4/52	82/21288	0.0487804878048781	19.9699812382739	8.51661455878044	4.80887568697884e-05	0.00225215678006842	0.00192776858679766	NDUFA8/NDUFA1/NDUFA6/ATP5MF	4
GO:0009205	GO:0009205	purine ribonucleoside triphosphate metabolic process	6/52	279/21288	0.021505376344086	8.80397022332506	6.49288271940042	5.8949752153139e-05	0.00239020561577935	0.00204593363253636	AK1/NDUFA8/NDUFA1/NDUFA6/FIS1/ATP5MF	6
GO:0009144	GO:0009144	purine nucleoside triphosphate metabolic process	6/52	285/21288	0.0210526315789474	8.61862348178138	6.40738497234651	6.63120055111523e-05	0.00239020561577935	0.00204593363253636	AK1/NDUFA8/NDUFA1/NDUFA6/FIS1/ATP5MF	6
GO:0009199	GO:0009199	ribonucleoside triphosphate metabolic process	6/52	286/21288	0.020979020979021	8.58848843464228	6.39337987471962	6.7607499199299e-05	0.00239020561577935	0.00204593363253636	AK1/NDUFA8/NDUFA1/NDUFA6/FIS1/ATP5MF	6
GO:1902600	GO:1902600	proton transmembrane transport	5/52	177/21288	0.0282485875706215	11.5645371577575	6.98401637282707	7.11246964418446e-05	0.00239020561577935	0.00204593363253636	ATP6V1F/COX7B/CYC1/COX3/ATP5MF	5
GO:0015986	GO:0015986	proton motive force-driven ATP synthesis	4/52	91/21288	0.043956043956044	17.9949281487743	8.03943211963648	7.23015933598736e-05	0.00239020561577935	0.00204593363253636	NDUFA8/NDUFA1/NDUFA6/ATP5MF	4
GO:0009141	GO:0009141	nucleoside triphosphate metabolic process	6/52	301/21288	0.0199335548172757	8.16049067211858	6.19117946850972	8.95917578874634e-05	0.00279725377404191	0.00239435282775268	AK1/NDUFA8/NDUFA1/NDUFA6/FIS1/ATP5MF	6
GO:0006754	GO:0006754	ATP biosynthetic process	4/52	117/21288	0.0341880341880342	13.9960552268245	6.97519473066282	0.000191392537306657	0.00566118978770218	0.00484578335452313	NDUFA8/NDUFA1/NDUFA6/ATP5MF	4
GO:0009206	GO:0009206	purine ribonucleoside triphosphate biosynthetic process	4/52	127/21288	0.031496062992126	12.8940036341611	6.65249225035809	0.000262046004070384	0.00710665114381396	0.00608304845986698	NDUFA8/NDUFA1/NDUFA6/ATP5MF	4
GO:0009145	GO:0009145	purine nucleoside triphosphate biosynthetic process	4/52	128/21288	0.03125	12.7932692307692	6.62222465655851	0.000270013399036451	0.00710665114381396	0.00608304845986698	NDUFA8/NDUFA1/NDUFA6/ATP5MF	4
GO:0009152	GO:0009152	purine ribonucleotide biosynthetic process	5/52	237/21288	0.0210970464135021	8.63680623174294	5.85021897809825	0.000278196308120831	0.00710665114381396	0.00608304845986698	AK1/NDUFA8/NDUFA1/NDUFA6/ATP5MF	5
GO:0009201	GO:0009201	ribonucleoside triphosphate biosynthetic process	4/52	133/21288	0.0300751879699248	12.3123192596877	6.47580112106516	0.00031248503585344	0.00763550391954926	0.00653572820984082	NDUFA8/NDUFA1/NDUFA6/ATP5MF	4
