ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0098803	GO:0098803	respiratory chain complex	7/53	110/22585	0.0636363636363636	27.1174957118353	13.3173103427686	6.86883830972213e-09	1.19517786589165e-06	8.24260597166655e-07	NDUFA8/NDUFA1/COX7B/COA6/CYC1/NDUFA6/COX3	7
GO:0070469	GO:0070469	respirasome	7/53	122/22585	0.0573770491803279	24.4502010516548	12.5959550861142	1.41520033304104e-08	1.23122428974571e-06	8.49120199824627e-07	NDUFA8/NDUFA1/COX7B/COA6/CYC1/NDUFA6/COX3	7
GO:0098800	GO:0098800	inner mitochondrial membrane protein complex	7/53	187/22585	0.0374331550802139	15.9514680657855	9.95722949239016	2.66390969357015e-07	1.19222923063678e-05	8.22227055611569e-06	NDUFA8/NDUFA1/COX7B/CYC1/NDUFA6/COX3/ATP5MF	7
GO:0005746	GO:0005746	mitochondrial respirasome	6/53	114/22585	0.0526315789473684	22.4280039721946	11.124011779963	2.74075685203856e-07	1.19222923063678e-05	8.22227055611569e-06	NDUFA8/NDUFA1/COX7B/CYC1/NDUFA6/COX3	6
GO:0098798	GO:0098798	mitochondrial protein-containing complex	8/53	342/22585	0.0233918128654971	9.96800176541984	8.10495398018183	1.24743679272612e-06	4.34108003868689e-05	2.99384830254268e-05	NDUFA8/NDUFA1/COX7B/CYC1/NDUFA6/COX3/ATP5MF/MRPS21	8
GO:0070069	GO:0070069	cytochrome complex	4/53	43/22585	0.0930232558139535	39.6401930671347	12.3003024077796	3.11599214197249e-06	9.03637721172023e-05	6.23198428394499e-05	COX7B/COA6/CYC1/COX3	4
GO:0045277	GO:0045277	respiratory chain complex IV	3/53	29/22585	0.103448275862069	44.0826284970722	11.2592287873987	4.27037970135597e-05	0.00106149438290848	0.000732065091661024	COX7B/COA6/COX3	3
GO:1990204	GO:1990204	oxidoreductase complex	4/53	158/22585	0.0253164556962025	10.7881538094101	5.98800608779211	0.000517112410299676	0.00831574166005029	0.00573499424831054	NDUFA8/NDUFA1/CYC1/NDUFA6	4
GO:0005747	GO:0005747	mitochondrial respiratory chain complex I	3/53	67/22585	0.0447761194029851	19.0805406927626	7.18823726842502	0.000525707806095133	0.00831574166005029	0.00573499424831054	NDUFA8/NDUFA1/NDUFA6	3
GO:0030964	GO:0030964	NADH dehydrogenase complex	3/53	67/22585	0.0447761194029851	19.0805406927626	7.18823726842502	0.000525707806095133	0.00831574166005029	0.00573499424831054	NDUFA8/NDUFA1/NDUFA6	3
GO:0045271	GO:0045271	respiratory chain complex I	3/53	67/22585	0.0447761194029851	19.0805406927626	7.18823726842502	0.000525707806095133	0.00831574166005029	0.00573499424831054	NDUFA8/NDUFA1/NDUFA6	3
GO:0005751	GO:0005751	mitochondrial respiratory chain complex IV	2/53	26/22585	0.0769230769230769	32.7793904208999	7.86340800789057	0.0016938129251889	0.0245602874152391	0.016938129251889	COX7B/COX3	2
GO:0005834	GO:0005834	heterotrimeric G-protein complex	2/53	35/22585	0.0571428571428571	24.3504043126685	6.70492076455832	0.00305939626071112	0.0409488422587488	0.0282405808681026	GNAS/GNB2	2
