Gene	mirnaTG
ENSG00000011304.22	yes
ENSG00000141867.19	yes
ENSG00000118518.17	yes
ENSG00000110955.9	no
ENSG00000161021.13	no
ENSG00000215301.11	yes
ENSG00000056050.7	no
ENSG00000145782.13	yes
ENSG00000124380.11	no
ENSG00000100888.15	no
ENSG00000122965.11	no
ENSG00000198841.4	no
ENSG00000123737.13	no
ENSG00000129197.15	no
ENSG00000111877.18	no
ENSG00000107862.7	no
ENSG00000092330.19	no
ENSG00000084112.15	yes
ENSG00000165861.14	no
ENSG00000089876.12	no
ENSG00000103642.12	no
ENSG00000139921.13	no
ENSG00000112640.16	no
ENSG00000107651.15	no
ENSG00000126464.15	no
ENSG00000100528.12	yes
ENSG00000225663.8	no
ENSG00000187164.20	no
ENSG00000169635.10	no
ENSG00000159348.13	no
ENSG00000125166.13	no
ENSG00000205208.5	yes
ENSG00000112309.11	no
ENSG00000069998.12	no
ENSG00000161813.23	yes
ENSG00000167083.7	no
ENSG00000182400.15	no
ENSG00000160818.17	no
ENSG00000242616.4	no
ENSG00000130881.14	no
ENSG00000117262.19	no
ENSG00000197355.11	no
ENSG00000273447.1	no
ENSG00000166411.14	no
ENSG00000187498.16	yes
ENSG00000279227.2	no
ENSG00000175455.16	no
ENSG00000154589.7	no
ENSG00000100142.16	yes
ENSG00000108798.9	no
ENSG00000219986.2	no
ENSG00000196954.14	no
ENSG00000178202.14	no
ENSG00000105383.15	no
ENSG00000100379.18	no
ENSG00000197279.5	no
ENSG00000072840.13	no
ENSG00000281207.1	no
ENSG00000213397.12	no
ENSG00000172167.8	no
ENSG00000208772.1	no
ENSG00000110077.15	no
ENSG00000100599.16	no
ENSG00000134871.19	no
ENSG00000152939.17	no
ENSG00000176171.12	yes
ENSG00000130755.13	no
ENSG00000186074.19	no
ENSG00000160145.16	no
ENSG00000112667.13	no
ENSG00000204257.15	no
ENSG00000037965.6	no
ENSG00000133943.21	no
ENSG00000260081.2	no
ENSG00000272677.3	no
ENSG00000100365.16	no
ENSG00000225643.1	no
ENSG00000166681.14	no
ENSG00000228817.4	no
ENSG00000019582.17	no
ENSG00000163412.13	no
ENSG00000167555.14	no
ENSG00000102302.8	yes
ENSG00000221923.9	no
ENSG00000015285.12	no
ENSG00000010671.18	no
ENSG00000250848.1	no
ENSG00000229931.3	no
ENSG00000180353.11	no
ENSG00000197753.11	no
ENSG00000185862.7	no
ENSG00000223865.11	no
ENSG00000174564.13	no
ENSG00000242574.9	no
ENSG00000169385.3	no
ENSG00000185065.6	no
ENSG00000231389.8	no
ENSG00000012779.12	yes
ENSG00000067141.17	no
ENSG00000185339.10	no
ENSG00000167895.16	no
ENSG00000093072.19	no
ENSG00000147485.13	no
ENSG00000213280.2	no
ENSG00000123329.20	no
ENSG00000256633.1	no
ENSG00000184293.9	no
ENSG00000145423.5	no
ENSG00000165821.12	no
ENSG00000102879.17	no
ENSG00000167208.16	no
ENSG00000096996.16	no
ENSG00000110002.16	no
ENSG00000204791.12	no
ENSG00000205363.7	no
ENSG00000087085.16	no
ENSG00000170689.10	no
ENSG00000007312.14	no
ENSG00000167618.10	no
ENSG00000120659.16	no
ENSG00000154310.17	no
ENSG00000150594.7	no
ENSG00000238121.7	no
ENSG00000145703.17	no
ENSG00000226979.9	no
ENSG00000211448.14	no
ENSG00000137078.10	no
ENSG00000154277.13	no
ENSG00000117090.16	no
ENSG00000227097.5	no
ENSG00000274525.1	no
ENSG00000109758.9	no
ENSG00000168243.11	no
ENSG00000289444.1	no
ENSG00000205105.6	no
ENSG00000187908.20	no
ENSG00000263080.1	no
ENSG00000287463.1	no
ENSG00000286375.1	no
ENSG00000282420.1	no
ENSG00000276651.1	no
ENSG00000230387.5	no
ENSG00000173212.5	no
ENSG00000224796.1	no
ENSG00000272973.2	no
ENSG00000275833.1	no
ENSG00000260581.1	no
ENSG00000287236.1	no
ENSG00000107295.10	no
ENSG00000236939.4	no
ENSG00000100721.11	no
ENSG00000288964.1	no
ENSG00000229106.1	no
ENSG00000239862.1	no
ENSG00000233873.1	no
ENSG00000008196.13	no
ENSG00000253545.1	no
ENSG00000151834.16	no
ENSG00000249961.10	no
ENSG00000277883.1	no
ENSG00000287069.1	no
ENSG00000178795.10	no
ENSG00000288903.1	no
ENSG00000253632.1	no
ENSG00000279694.1	no
ENSG00000253742.1	no
ENSG00000174145.8	no
ENSG00000138684.9	no
ENSG00000186191.9	no
ENSG00000260592.3	no
ENSG00000256084.1	no
ENSG00000253660.1	no
ENSG00000248245.1	no
ENSG00000166351.11	no
ENSG00000280274.1	no
ENSG00000253479.6	no
ENSG00000233639.9	no
ENSG00000251258.2	no
