Gene	mirnaTG
ENSG00000145817.17	yes
ENSG00000168066.22	no
ENSG00000009954.11	no
ENSG00000101337.16	yes
ENSG00000154814.14	no
ENSG00000077147.16	no
ENSG00000113643.9	yes
ENSG00000160633.13	no
ENSG00000129515.20	no
ENSG00000161021.13	no
ENSG00000111737.12	yes
ENSG00000157538.14	no
ENSG00000187555.17	no
ENSG00000116350.18	no
ENSG00000291078.1	no
ENSG00000176182.6	no
ENSG00000031823.14	no
ENSG00000174780.17	yes
ENSG00000119242.9	no
ENSG00000105705.16	no
ENSG00000107566.14	no
ENSG00000124214.21	no
ENSG00000138138.14	no
ENSG00000147140.17	yes
ENSG00000126698.11	no
ENSG00000164011.18	no
ENSG00000204138.13	yes
ENSG00000160679.14	no
ENSG00000157895.11	no
ENSG00000138303.19	no
ENSG00000104904.12	yes
ENSG00000176946.13	no
ENSG00000127452.9	no
ENSG00000166847.10	no
ENSG00000157014.11	no
ENSG00000115661.14	no
ENSG00000182872.16	no
ENSG00000043093.15	no
ENSG00000169221.14	no
ENSG00000138663.9	no
ENSG00000100982.12	no
ENSG00000087338.5	yes
ENSG00000106635.8	no
ENSG00000071626.17	no
ENSG00000087087.20	no
ENSG00000110321.19	no
ENSG00000090060.19	no
ENSG00000144524.18	no
ENSG00000077454.17	no
ENSG00000047315.17	no
ENSG00000099381.20	no
ENSG00000148331.12	no
ENSG00000176087.16	no
ENSG00000186660.15	no
ENSG00000062650.20	no
ENSG00000158773.14	no
ENSG00000116698.22	yes
ENSG00000086589.12	no
ENSG00000135372.10	no
ENSG00000152422.16	no
ENSG00000196455.8	no
ENSG00000062485.19	no
ENSG00000107882.12	no
ENSG00000160087.21	yes
ENSG00000164244.21	no
ENSG00000136381.13	yes
ENSG00000005007.14	no
ENSG00000159256.13	yes
ENSG00000183864.5	no
ENSG00000115816.15	no
ENSG00000114209.15	yes
ENSG00000131871.15	no
ENSG00000165782.11	no
ENSG00000008294.22	yes
ENSG00000175826.12	no
ENSG00000105397.15	no
ENSG00000136021.19	no
ENSG00000119396.12	yes
ENSG00000133243.10	no
ENSG00000130254.12	no
ENSG00000132394.11	no
ENSG00000140157.16	no
ENSG00000185359.14	no
ENSG00000013503.10	no
ENSG00000079134.13	no
ENSG00000114742.14	no
ENSG00000138668.20	yes
ENSG00000184056.15	no
ENSG00000144320.14	no
ENSG00000138757.15	yes
ENSG00000131061.15	no
ENSG00000197976.12	no
ENSG00000085433.17	no
ENSG00000180182.11	yes
ENSG00000100823.12	no
ENSG00000143337.19	yes
ENSG00000143761.17	no
ENSG00000111540.16	yes
ENSG00000184967.7	no
ENSG00000181904.9	yes
ENSG00000141084.12	no
ENSG00000204256.14	no
ENSG00000086200.17	no
ENSG00000133703.14	yes
ENSG00000249936.3	no
ENSG00000113161.17	yes
ENSG00000178028.14	no
ENSG00000182087.14	no
ENSG00000040487.13	no
ENSG00000178951.9	yes
ENSG00000166197.17	no
ENSG00000169118.18	no
ENSG00000072803.18	yes
ENSG00000100034.14	yes
ENSG00000166908.18	no
ENSG00000176101.12	no
ENSG00000104885.19	no
ENSG00000103496.15	no
ENSG00000185722.18	no
ENSG00000100083.19	no
ENSG00000103111.15	no
ENSG00000160993.4	no
ENSG00000234518.2	no
ENSG00000148824.19	no
ENSG00000146067.17	no
ENSG00000133612.20	no
ENSG00000157778.9	no
ENSG00000146826.17	no
ENSG00000103148.17	no
ENSG00000103342.13	yes
ENSG00000197969.14	no
ENSG00000159352.16	no
ENSG00000148399.13	no
ENSG00000123064.13	no
ENSG00000116161.18	no
ENSG00000129968.17	no
ENSG00000126214.22	yes
ENSG00000110107.9	no
ENSG00000149499.12	no
ENSG00000065613.15	no
ENSG00000112511.18	no
ENSG00000139324.12	yes
ENSG00000204348.10	no
ENSG00000248333.9	no
ENSG00000137161.18	no
ENSG00000291171.1	no
ENSG00000160551.12	yes
ENSG00000050748.18	yes
ENSG00000180879.14	no
ENSG00000112658.8	yes
ENSG00000163463.13	no
ENSG00000157426.14	no
ENSG00000198824.8	no
ENSG00000103353.16	yes
ENSG00000135924.17	yes
ENSG00000198218.12	no
ENSG00000146083.12	no
ENSG00000099821.14	no
ENSG00000105248.16	no
ENSG00000146828.18	no
ENSG00000186166.9	no
ENSG00000096070.19	yes
ENSG00000116604.19	no
ENSG00000176018.13	no
ENSG00000106246.18	no
ENSG00000187609.16	no
ENSG00000154370.16	no
ENSG00000168884.15	no
ENSG00000063241.8	no
ENSG00000012174.12	yes
ENSG00000201302.1	no
ENSG00000162783.11	no
ENSG00000105325.15	no
ENSG00000122390.19	yes
ENSG00000127191.18	no
ENSG00000139133.7	no
ENSG00000204438.11	no
ENSG00000140367.12	no
ENSG00000163795.14	no
ENSG00000113615.13	yes
ENSG00000262246.6	no
ENSG00000108588.15	no
ENSG00000099999.15	no
ENSG00000242802.9	no
ENSG00000131368.9	no
ENSG00000133316.16	no
ENSG00000133250.14	no
ENSG00000160799.12	no
ENSG00000105701.16	no
ENSG00000111679.17	no
ENSG00000140691.18	no
ENSG00000166925.9	no
ENSG00000167962.15	no
ENSG00000126934.15	no
ENSG00000007392.17	no
ENSG00000206053.13	no
ENSG00000173153.17	no
ENSG00000115274.15	no
ENSG00000115687.14	no
ENSG00000183751.16	yes
ENSG00000103326.12	no
ENSG00000116809.12	yes
ENSG00000269958.1	no
ENSG00000125846.17	no
ENSG00000099992.16	no
ENSG00000162585.17	no
ENSG00000185252.19	no
ENSG00000130731.16	no
ENSG00000177674.16	no
ENSG00000141873.11	no
ENSG00000128050.9	yes
ENSG00000086504.18	no
ENSG00000104973.19	no
ENSG00000288663.1	no
ENSG00000182979.18	no
ENSG00000228242.6	no
ENSG00000106692.15	no
ENSG00000178127.13	no
ENSG00000104859.15	no
ENSG00000203879.12	no
ENSG00000130479.11	no
ENSG00000263001.8	yes
ENSG00000132199.20	no
ENSG00000182768.9	yes
ENSG00000071889.17	no
ENSG00000039523.20	no
ENSG00000102977.18	no
ENSG00000146830.11	yes
ENSG00000136938.9	no
ENSG00000174886.14	no
ENSG00000131652.14	no
ENSG00000167657.14	no
ENSG00000167685.15	no
ENSG00000080824.19	yes
ENSG00000105643.11	no
ENSG00000063176.16	no
ENSG00000129911.9	no
ENSG00000074660.17	no
ENSG00000136451.9	yes
ENSG00000279738.1	no
ENSG00000138172.11	no
ENSG00000107404.21	no
ENSG00000125901.6	no
ENSG00000176472.11	no
ENSG00000064961.19	no
ENSG00000104897.10	no
ENSG00000138448.13	no
ENSG00000198931.11	no
ENSG00000099899.16	no
ENSG00000182774.13	no
ENSG00000007376.8	no
ENSG00000100359.21	no
ENSG00000068120.15	no
ENSG00000291118.1	no
ENSG00000162191.14	no
ENSG00000217930.8	no
ENSG00000142675.18	no
ENSG00000130332.15	no
ENSG00000285728.3	no
ENSG00000159459.12	no
ENSG00000104852.15	yes
ENSG00000105662.16	no
ENSG00000107872.14	no
ENSG00000014164.7	no
ENSG00000175756.14	no
ENSG00000142330.20	no
ENSG00000165240.22	no
ENSG00000131591.18	no
ENSG00000225855.7	no
ENSG00000008128.23	no
ENSG00000122386.11	no
ENSG00000005206.17	no
ENSG00000104825.17	no
ENSG00000224411.3	no
ENSG00000175467.15	no
ENSG00000167705.12	no
ENSG00000224699.11	no
ENSG00000149091.15	no
ENSG00000141994.16	no
ENSG00000177600.9	no
ENSG00000247092.9	no
ENSG00000166839.18	no
ENSG00000273142.1	no
ENSG00000095906.17	no
ENSG00000223522.2	no
ENSG00000105321.14	no
ENSG00000166965.13	no
ENSG00000168061.17	no
ENSG00000071794.16	no
ENSG00000125458.7	no
ENSG00000283632.4	no
ENSG00000127580.17	no
ENSG00000167470.14	no
ENSG00000168802.14	no
ENSG00000187051.9	no
ENSG00000229419.1	no
ENSG00000169136.13	yes
ENSG00000245112.2	no
ENSG00000177374.13	no
ENSG00000234769.7	no
ENSG00000136630.13	no
ENSG00000128159.12	no
ENSG00000185614.7	no
ENSG00000131584.19	no
ENSG00000291134.1	no
ENSG00000143418.20	yes
ENSG00000204316.13	no
ENSG00000226084.5	no
ENSG00000186654.21	no
ENSG00000239697.12	yes
ENSG00000105373.19	no
ENSG00000275888.1	no
ENSG00000184897.7	no
ENSG00000197714.9	yes
ENSG00000104903.5	no
ENSG00000108798.9	no
ENSG00000240053.9	no
ENSG00000137411.19	no
ENSG00000126215.14	no
ENSG00000291208.1	no
ENSG00000157873.18	no
ENSG00000103145.11	no
ENSG00000123154.12	no
ENSG00000167674.15	no
ENSG00000258526.8	no
ENSG00000261326.4	no
ENSG00000099904.16	no
ENSG00000111671.10	no
ENSG00000256944.1	no
ENSG00000142046.15	no
ENSG00000149929.16	no
ENSG00000272084.1	no
ENSG00000187961.15	no
ENSG00000177595.19	no
ENSG00000291092.1	no
ENSG00000240288.8	no
ENSG00000124074.12	no
ENSG00000171222.11	no
ENSG00000184381.20	no
ENSG00000212443.1	no
ENSG00000286223.1	no
ENSG00000162062.15	no
ENSG00000180089.6	no
ENSG00000179085.8	no
ENSG00000268189.2	no
ENSG00000286977.1	no
ENSG00000137166.18	yes
ENSG00000197530.13	no
ENSG00000166676.17	no
ENSG00000165752.17	no
ENSG00000256028.2	no
ENSG00000263990.1	no
ENSG00000225224.1	no
ENSG00000129932.10	no
ENSG00000272153.1	no
ENSG00000291299.2	no
ENSG00000007080.11	no
ENSG00000260257.2	no
ENSG00000197114.12	no
ENSG00000108465.15	no
ENSG00000244879.10	no
ENSG00000242612.7	no
ENSG00000198840.2	no
ENSG00000213654.10	no
ENSG00000100092.24	no
ENSG00000273055.1	no
ENSG00000173166.18	no
ENSG00000260136.6	no
ENSG00000180448.11	no
ENSG00000212125.2	no
ENSG00000272871.1	no
ENSG00000198712.1	no
ENSG00000127774.7	no
ENSG00000160888.7	no
ENSG00000272141.1	no
ENSG00000286181.1	no
ENSG00000267062.1	no
ENSG00000212607.1	no
ENSG00000261408.7	no
ENSG00000137070.19	no
ENSG00000285725.1	no
ENSG00000142552.8	no
ENSG00000128408.9	no
ENSG00000196843.17	no
ENSG00000213203.3	no
ENSG00000157017.16	no
ENSG00000139574.9	no
ENSG00000261067.7	no
ENSG00000182196.14	no
ENSG00000273137.1	no
ENSG00000140403.13	no
ENSG00000166492.9	no
ENSG00000239569.5	no
ENSG00000260368.1	no
ENSG00000267322.4	no
ENSG00000105327.18	no
ENSG00000089820.17	no
ENSG00000128298.18	no
ENSG00000127586.17	no
ENSG00000205702.12	no
ENSG00000278831.1	no
ENSG00000169994.20	no
ENSG00000276168.1	no
ENSG00000162882.15	no
ENSG00000185838.14	no
ENSG00000072818.12	no
ENSG00000103254.10	no
ENSG00000273449.1	no
ENSG00000241404.7	no
ENSG00000106211.10	no
ENSG00000175602.4	no
ENSG00000225889.10	no
ENSG00000279605.1	no
ENSG00000198888.2	no
ENSG00000182685.8	no
ENSG00000139725.8	no
ENSG00000272669.1	no
ENSG00000271795.1	no
ENSG00000230216.1	no
ENSG00000176855.11	no
ENSG00000286835.1	no
ENSG00000271781.1	no
ENSG00000104814.13	no
ENSG00000290958.1	no
ENSG00000140368.14	no
ENSG00000215417.14	no
ENSG00000068831.19	no
ENSG00000240972.2	no
ENSG00000105639.21	no
ENSG00000239636.3	no
ENSG00000244459.4	no
ENSG00000231105.2	no
ENSG00000141933.9	no
ENSG00000203896.10	no
ENSG00000198695.2	no
ENSG00000167617.3	no
ENSG00000266402.5	no
ENSG00000162572.21	no
ENSG00000196118.12	no
ENSG00000130203.10	no
ENSG00000120949.15	no
ENSG00000115085.15	no
ENSG00000103253.19	no
ENSG00000138378.19	yes
ENSG00000173486.14	no
ENSG00000233966.1	no
ENSG00000279432.1	no
ENSG00000259605.3	no
ENSG00000234409.7	no
ENSG00000272610.1	no
ENSG00000224520.2	no
ENSG00000270127.2	no
ENSG00000241269.1	no
ENSG00000167483.19	no
ENSG00000188389.11	no
ENSG00000007312.14	no
ENSG00000180549.8	no
ENSG00000265206.6	no
ENSG00000198851.10	no
ENSG00000245954.10	no
ENSG00000213068.3	no
ENSG00000224796.1	no
ENSG00000254910.1	no
ENSG00000118137.10	no
ENSG00000280163.1	no
ENSG00000211891.6	no
ENSG00000270240.2	no
ENSG00000272839.1	no
ENSG00000233609.3	no
ENSG00000237624.1	no
ENSG00000273139.2	no
ENSG00000198868.3	no
ENSG00000287067.1	no
ENSG00000224763.1	no
ENSG00000234354.3	no
ENSG00000211800.3	no
ENSG00000235663.1	no
ENSG00000219773.1	no
ENSG00000215097.3	no
ENSG00000234665.9	no
ENSG00000279246.1	no
ENSG00000238110.1	no
ENSG00000211957.2	no
ENSG00000211820.1	no
ENSG00000271856.1	no
ENSG00000246084.7	no
ENSG00000122133.17	no
ENSG00000233665.8	no
ENSG00000158077.5	no
