Gene	mirnaTG
ENSG00000120948.19	no
ENSG00000135829.17	yes
ENSG00000138107.13	yes
ENSG00000176087.16	no
ENSG00000135966.14	no
ENSG00000076201.16	no
ENSG00000107882.12	no
ENSG00000087302.9	no
ENSG00000180228.14	no
ENSG00000133884.11	no
ENSG00000196072.12	no
ENSG00000156697.13	no
ENSG00000163950.13	yes
ENSG00000125352.6	no
ENSG00000170855.4	no
ENSG00000081019.14	no
ENSG00000115827.14	no
ENSG00000139579.13	no
ENSG00000101972.20	yes
ENSG00000134987.13	no
ENSG00000146463.12	yes
ENSG00000029363.17	no
ENSG00000082516.9	yes
ENSG00000240682.10	no
ENSG00000166783.22	no
ENSG00000102119.12	no
ENSG00000106803.10	yes
ENSG00000023318.9	yes
ENSG00000148308.18	no
ENSG00000166716.10	yes
ENSG00000167118.11	no
ENSG00000186063.13	no
ENSG00000114956.20	no
ENSG00000129084.18	no
ENSG00000107874.11	no
ENSG00000172586.8	no
ENSG00000228474.6	no
ENSG00000088179.9	yes
ENSG00000027847.14	no
ENSG00000111832.13	no
ENSG00000100632.11	no
ENSG00000165494.12	no
ENSG00000204304.12	no
ENSG00000159140.23	no
ENSG00000221983.8	no
ENSG00000100567.13	no
ENSG00000218283.2	no
ENSG00000110046.14	no
ENSG00000187147.19	no
ENSG00000160014.17	no
ENSG00000137337.16	no
ENSG00000180398.13	yes
ENSG00000011451.21	no
ENSG00000162378.13	yes
ENSG00000070061.16	no
ENSG00000083093.11	no
ENSG00000099817.12	no
ENSG00000077312.9	no
ENSG00000148358.21	no
ENSG00000058272.19	yes
ENSG00000232388.5	no
ENSG00000125970.12	no
ENSG00000102977.18	no
ENSG00000114933.16	yes
ENSG00000256053.9	no
ENSG00000107021.16	no
ENSG00000072803.18	yes
ENSG00000116580.20	no
ENSG00000100211.12	no
ENSG00000090905.19	no
ENSG00000173141.5	no
ENSG00000108055.11	yes
ENSG00000090266.13	no
ENSG00000231043.3	no
ENSG00000204576.12	no
ENSG00000165671.22	no
ENSG00000103653.17	no
ENSG00000156411.10	no
ENSG00000145050.19	no
ENSG00000087086.15	no
ENSG00000124486.15	yes
ENSG00000115816.15	no
ENSG00000116685.17	no
ENSG00000004766.17	no
ENSG00000165060.15	no
ENSG00000187514.17	no
ENSG00000120071.15	no
ENSG00000167562.14	no
ENSG00000156860.16	no
ENSG00000138081.22	no
ENSG00000204435.15	no
ENSG00000137942.18	yes
ENSG00000125633.11	no
ENSG00000126267.11	yes
