Gene	Model	Statistic
ENSG00000268836.1	LM	0.480256021077768
ENSG00000234080.3	LM	0.464779940835501
ENSG00000270906.1	LM	0.463534594111576
ENSG00000279307.2	LM	0.444513136614289
ENSG00000267523.1	LM	0.433270324933017
ENSG00000261594.4	LM	0.426409304072359
ENSG00000249780.1	LM	0.408277792235162
ENSG00000226038.5	LM	0.397148546383577
ENSG00000253605.1	LM	0.357470830297641
ENSG00000274383.1	LM	0.329487289097696
ENSG00000139914.7	LM	0.317763056230134
ENSG00000240409.1	LM	0.309892327644694
ENSG00000249119.1	LM	0.295365823507828
ENSG00000237080.3	LM	0.288044076792029
ENSG00000137225.13	LM	0.282355133270883
ENSG00000279759.1	LM	0.264977365621187
ENSG00000278864.1	LM	0.263566548953472
ENSG00000280063.1	LM	0.26210300055096
ENSG00000188305.6	LM	0.259109807750323
ENSG00000077312.9	LM	0.258840139413153
ENSG00000244161.1	LM	0.258763033944434
ENSG00000198886.2	LM	0.254949488321703
ENSG00000230084.8	LM	0.254329789279941
ENSG00000146414.17	LM	0.25323729482212
ENSG00000178502.6	LM	0.252831746099398
ENSG00000198899.2	LM	0.249013141129924
ENSG00000265511.1	LM	0.247927480852303
ENSG00000177105.10	LM	0.247640138623652
ENSG00000136938.9	LM	0.246112958129311
ENSG00000236565.3	LM	0.245639888709002
ENSG00000106803.10	LM	0.244509223157715
ENSG00000198763.3	LM	0.244456713808409
ENSG00000289443.1	LM	0.243291519068709
ENSG00000015479.20	LM	0.242852698836336
ENSG00000166046.11	LM	0.241229174637517
ENSG00000228253.1	LM	0.241057709891762
ENSG00000105856.14	LM	0.241035294220966
ENSG00000289043.1	LM	0.238501961933765
ENSG00000070366.14	LM	0.237936749218681
ENSG00000280927.1	LM	0.23752080215425
ENSG00000135913.11	LM	0.237428874966166
ENSG00000198146.4	LM	0.236986647342355
ENSG00000138688.17	LM	0.236494823555409
ENSG00000254966.1	LM	0.236247883927277
ENSG00000038219.13	LM	0.236049740669304
ENSG00000116539.14	LM	0.235957182346653
ENSG00000115464.15	LM	0.235436605228529
ENSG00000103657.14	LM	0.23487369754614
ENSG00000198888.2	LM	0.234601504130224
ENSG00000120948.19	LM	0.234568402805349
ENSG00000168066.22	LM	0.233796495640572
ENSG00000176994.11	LM	0.232431187968318
ENSG00000008869.12	LM	0.232131664259342
ENSG00000132405.19	LM	0.231757900697809
ENSG00000136925.15	LM	0.230717465149746
ENSG00000157999.6	LM	0.229986402369774
ENSG00000181817.6	LM	0.229128748620536
ENSG00000114742.14	LM	0.229093616720466
ENSG00000185278.16	LM	0.228525935299502
ENSG00000255423.1	LM	0.227266076757121
