Gene	Model	Statistic
ENSG00000249859.14	LM	1
ENSG00000245149.6	LM	0.354808124377899
ENSG00000183665.5	LM	0.313692013475697
ENSG00000180921.7	LM	0.311890381486797
ENSG00000156795.8	LM	0.297185161520675
ENSG00000167702.13	LM	0.273589519543086
ENSG00000147789.16	LM	0.272444833249267
ENSG00000164934.15	LM	0.268062522613392
ENSG00000245970.2	LM	0.26792561596526
ENSG00000158106.14	LM	0.266092283939215
ENSG00000160957.15	LM	0.26236974042817
ENSG00000104524.14	LM	0.261987772072293
ENSG00000076554.16	LM	0.260255604085842
ENSG00000156831.8	LM	0.260137628789487
ENSG00000182325.11	LM	0.241210543527319
ENSG00000189376.12	LM	0.240620898493047
ENSG00000147799.12	LM	0.240412921693206
ENSG00000103253.19	LM	0.238074298983634
ENSG00000178896.9	LM	0.237719177635716
ENSG00000156170.14	LM	0.237024209511866
ENSG00000197275.14	LM	0.236673496770012
ENSG00000181085.15	LM	0.234909482109236
ENSG00000253438.5	LM	0.234232380264181
ENSG00000104413.18	LM	0.234133524132956
ENSG00000261220.3	LM	0.233478172734083
ENSG00000179041.4	LM	0.229423713245609
ENSG00000104549.12	LM	0.228095756134601
ENSG00000132749.11	LM	0.227195517712683
ENSG00000147684.10	LM	0.22677105377047
ENSG00000172172.8	LM	0.22618347815166
ENSG00000235173.7	LM	0.225337382343826
ENSG00000160959.8	LM	0.222486022237464
ENSG00000083307.12	LM	0.218161294460697
ENSG00000122729.19	LM	0.217867968631483
ENSG00000027697.16	LM	0.216291894670372
ENSG00000147687.19	LM	0.214660036174075
ENSG00000197702.14	LM	0.213886087752138
ENSG00000197774.14	LM	0.211709834906285
ENSG00000255182.2	LM	0.211330247787515
ENSG00000196497.17	LM	0.210118796946018
ENSG00000288945.1	LM	0.209673588282136
ENSG00000134815.19	LM	0.209436918268902
ENSG00000156469.9	LM	0.207471059820808
ENSG00000154582.18	LM	0.207199090640579
ENSG00000203499.12	LM	0.206246607340173
ENSG00000185101.13	LM	0.204602805664816
ENSG00000162004.19	LM	0.203594523438153
ENSG00000156802.13	LM	0.203168899636381
ENSG00000160949.18	LM	0.202794563016216
ENSG00000090863.12	LM	0.202589067741874
ENSG00000160948.14	LM	0.201463599929072
ENSG00000108773.11	LM	0.201055246492845
ENSG00000133401.16	LM	0.200603484453281
ENSG00000179091.5	LM	0.199811489737334
ENSG00000185122.11	LM	0.199525971359112
ENSG00000147669.11	LM	0.19899568323691
ENSG00000265688.2	LM	0.198748110934908
ENSG00000164754.16	LM	0.198174540693755
ENSG00000185697.17	LM	0.197099558735967
ENSG00000133740.11	LM	0.196964180007906
ENSG00000120963.12	LM	0.196597479049048
ENSG00000181135.16	LM	0.196397468066619
ENSG00000014164.7	LM	0.196263851580074
ENSG00000185730.8	LM	0.196171284289335
ENSG00000261236.8	LM	0.19558363013443
ENSG00000121022.14	LM	0.195566023533772
ENSG00000179832.18	LM	0.195479020690915
ENSG00000004478.8	LM	0.194211282606672
ENSG00000147408.16	LM	0.193707367055765
ENSG00000169764.16	LM	0.192289146097596
ENSG00000167700.9	LM	0.191738078121799
ENSG00000170145.5	LM	0.191323885366225
ENSG00000171055.15	LM	0.190662148814027
ENSG00000163297.18	LM	0.190637521369692
ENSG00000148180.22	LM	0.190520984625677
ENSG00000081377.17	LM	0.189622881866873
ENSG00000182173.14	LM	0.18871170989454
ENSG00000140092.16	LM	0.188635919133604
ENSG00000198169.9	LM	0.187379496742698
ENSG00000179526.17	LM	0.186503160270017
ENSG00000211454.16	LM	0.186382990810081
ENSG00000182272.12	LM	0.18528599173557
ENSG00000179886.6	LM	0.184147029979685
ENSG00000261663.1	LM	0.183431143486267
ENSG00000163513.19	LM	0.183170860050898
ENSG00000289161.2	LM	0.182897584386733
ENSG00000162733.19	LM	0.182607985883172
ENSG00000178773.15	LM	0.182391529880387
ENSG00000130299.17	LM	0.182354504705927
ENSG00000136271.11	LM	0.182227502242977
ENSG00000255717.9	LM	0.182223901366096
ENSG00000179950.15	LM	0.181245158218168
