Gene	mirnaTG
ENSG00000165119.22	no
ENSG00000129351.18	yes
ENSG00000167491.18	no
ENSG00000105700.11	no
ENSG00000099783.13	no
ENSG00000125734.16	no
ENSG00000066136.21	yes
ENSG00000126698.11	no
ENSG00000113141.19	no
ENSG00000168286.3	no
ENSG00000104904.12	yes
ENSG00000179134.16	yes
ENSG00000126756.12	no
ENSG00000132323.9	no
ENSG00000125651.14	no
ENSG00000116350.18	no
ENSG00000130640.15	no
ENSG00000136930.13	no
ENSG00000099995.19	yes
ENSG00000198356.12	no
ENSG00000115204.15	no
ENSG00000144043.13	no
ENSG00000160633.13	no
ENSG00000114353.17	no
ENSG00000096401.8	no
ENSG00000176261.16	no
ENSG00000160445.11	no
ENSG00000163481.8	no
ENSG00000130717.13	no
ENSG00000160563.14	no
ENSG00000146576.13	no
ENSG00000171148.14	no
ENSG00000171960.12	no
ENSG00000140497.16	no
ENSG00000187713.7	no
ENSG00000188986.9	no
ENSG00000105401.9	no
ENSG00000167118.11	no
ENSG00000196235.14	no
ENSG00000170855.4	no
ENSG00000178982.10	no
ENSG00000178951.9	yes
ENSG00000148308.18	no
ENSG00000182872.16	no
ENSG00000139579.13	no
ENSG00000171853.16	no
ENSG00000077312.9	no
ENSG00000006712.15	no
ENSG00000148300.12	no
ENSG00000175826.12	no
ENSG00000068400.14	no
ENSG00000101972.20	yes
ENSG00000147123.12	no
ENSG00000176946.13	no
ENSG00000115307.17	no
ENSG00000105393.16	no
ENSG00000168397.17	no
ENSG00000100823.12	no
ENSG00000244038.11	yes
ENSG00000172586.8	no
ENSG00000159692.18	no
ENSG00000105568.19	no
ENSG00000160075.12	no
ENSG00000131408.15	no
ENSG00000163870.16	no
ENSG00000105732.13	no
ENSG00000174437.18	yes
ENSG00000084623.12	no
ENSG00000198258.11	no
ENSG00000172732.12	no
ENSG00000155827.12	no
ENSG00000075407.19	no
ENSG00000183624.14	no
ENSG00000130165.11	no
ENSG00000088179.9	yes
ENSG00000101940.18	no
ENSG00000168806.8	yes
ENSG00000126088.14	no
ENSG00000130254.12	no
ENSG00000140259.7	no
ENSG00000172757.13	no
ENSG00000121775.18	no
ENSG00000100591.8	no
ENSG00000119242.9	no
ENSG00000126247.11	no
ENSG00000104969.11	no
ENSG00000076984.18	yes
ENSG00000167515.11	no
ENSG00000167182.16	no
ENSG00000204308.8	no
ENSG00000221983.8	no
ENSG00000123144.11	no
ENSG00000182150.19	no
ENSG00000101363.13	yes
ENSG00000104946.14	no
ENSG00000205352.11	no
ENSG00000186063.13	no
ENSG00000088986.11	no
ENSG00000170473.17	no
ENSG00000140521.18	no
ENSG00000248333.9	no
ENSG00000103653.17	no
ENSG00000127184.13	no
ENSG00000089009.16	no
ENSG00000125743.11	no
ENSG00000167004.14	no
ENSG00000177868.12	no
ENSG00000175573.7	yes
ENSG00000167770.13	no
ENSG00000085872.15	no
ENSG00000129559.13	no
ENSG00000067182.9	no
ENSG00000140265.14	no
ENSG00000162852.14	no
ENSG00000272333.8	no
ENSG00000163882.10	no
ENSG00000092841.19	no
ENSG00000148335.15	no
ENSG00000100106.22	no
ENSG00000105705.16	no
ENSG00000143761.17	no
ENSG00000135924.17	yes
ENSG00000134825.16	no
ENSG00000198858.10	no
ENSG00000125755.19	no
ENSG00000100949.15	no
ENSG00000169976.7	yes
ENSG00000167522.17	no
ENSG00000144591.20	no
ENSG00000182117.7	no
ENSG00000148296.7	no
ENSG00000090273.14	no
ENSG00000160570.14	no
ENSG00000136280.17	no
ENSG00000119421.7	no
ENSG00000182087.14	no
ENSG00000188807.13	no
ENSG00000108518.8	yes
ENSG00000135390.21	no
ENSG00000173660.12	no
ENSG00000088038.20	no
ENSG00000168159.15	no
ENSG00000104960.15	no
ENSG00000117448.14	no
ENSG00000130332.15	no
ENSG00000167985.7	no
ENSG00000134248.14	no
ENSG00000136908.18	no
ENSG00000131467.12	no
ENSG00000161914.10	no
ENSG00000127540.12	no
ENSG00000167397.15	no
ENSG00000105063.19	yes
ENSG00000105618.14	no
ENSG00000100243.22	no
ENSG00000126267.11	yes
ENSG00000130175.10	no
ENSG00000163041.13	no
ENSG00000181817.6	no
ENSG00000176108.9	no
ENSG00000116127.20	yes
ENSG00000112695.13	no
ENSG00000174917.9	no
ENSG00000126254.12	no
ENSG00000087088.21	no
ENSG00000127054.22	no
ENSG00000184009.13	no
ENSG00000104979.9	no
ENSG00000078808.20	no
ENSG00000122140.13	no
ENSG00000119574.13	no
ENSG00000141076.18	no
ENSG00000198546.15	no
ENSG00000112514.18	no
ENSG00000124177.16	no
ENSG00000173812.11	no
ENSG00000170043.12	no
ENSG00000167283.9	no
ENSG00000108826.16	no
ENSG00000130724.10	no
ENSG00000107140.17	no
ENSG00000103043.15	yes
ENSG00000107669.19	no
ENSG00000109390.13	no
ENSG00000125656.11	no
ENSG00000084693.16	no
ENSG00000081014.11	no
ENSG00000107223.13	no
ENSG00000101945.17	no
ENSG00000185236.12	no
ENSG00000100056.12	no
ENSG00000053501.14	no
ENSG00000128585.18	yes
ENSG00000204435.15	no
ENSG00000159377.11	no
ENSG00000162734.13	yes
ENSG00000107874.11	no
ENSG00000011009.11	no
ENSG00000102103.18	no
ENSG00000158545.16	no
ENSG00000112651.12	no
ENSG00000167113.11	no
ENSG00000137161.18	no
ENSG00000140264.22	yes
ENSG00000116871.16	yes
ENSG00000130725.8	no
ENSG00000066739.12	no
ENSG00000089248.7	no
ENSG00000055609.21	yes
ENSG00000178307.10	no
ENSG00000135441.8	no
ENSG00000186577.14	no
ENSG00000160710.18	yes
ENSG00000132024.18	no
ENSG00000065978.19	no
ENSG00000128524.5	no
ENSG00000167173.19	yes
ENSG00000100227.19	no
ENSG00000170889.14	no
ENSG00000104897.10	no
ENSG00000211584.14	no
ENSG00000188229.6	yes
ENSG00000137312.15	yes
ENSG00000137145.21	yes
ENSG00000205155.8	no
ENSG00000130770.18	no
ENSG00000105254.12	no
ENSG00000142534.7	no
ENSG00000105204.14	no
ENSG00000077463.15	no
ENSG00000131143.10	no
ENSG00000133275.16	no
ENSG00000243199.1	no
ENSG00000130520.11	no
ENSG00000068120.15	no
ENSG00000184967.7	no
ENSG00000198324.14	no
ENSG00000253341.1	no
ENSG00000159069.14	no
ENSG00000063245.15	yes
ENSG00000099797.15	no
ENSG00000133265.11	no
ENSG00000105193.9	no
ENSG00000167470.14	no
ENSG00000070423.18	no
ENSG00000228300.14	no
ENSG00000157216.17	no
ENSG00000126461.15	no
ENSG00000106400.12	no
ENSG00000170604.5	no
ENSG00000160410.15	no
ENSG00000177303.10	no
ENSG00000160799.12	no
ENSG00000100084.14	no
ENSG00000102898.13	no
ENSG00000011405.14	yes
ENSG00000089157.16	no
ENSG00000167523.15	no
ENSG00000168393.13	no
ENSG00000213465.8	no
ENSG00000232112.3	no
ENSG00000105722.10	no
ENSG00000223546.9	no
ENSG00000005075.16	no
ENSG00000163382.13	no
ENSG00000171425.10	no
ENSG00000283390.1	no
ENSG00000143774.18	no
ENSG00000176973.8	no
ENSG00000174177.13	no
ENSG00000127922.10	no
ENSG00000198690.10	no
ENSG00000185043.13	no
ENSG00000104825.17	no
ENSG00000110921.14	no
ENSG00000112787.14	no
ENSG00000171729.14	no
ENSG00000105662.16	no
ENSG00000162191.14	no
ENSG00000090097.22	no
ENSG00000115268.10	no
ENSG00000149806.11	no
ENSG00000153774.9	no
ENSG00000176101.12	no
ENSG00000116586.12	no
ENSG00000196642.19	no
ENSG00000183172.9	no
ENSG00000136942.15	no
ENSG00000116691.11	no
ENSG00000177954.14	no
ENSG00000125611.16	no
ENSG00000166228.9	no
ENSG00000105701.16	no
ENSG00000105321.14	no
ENSG00000179922.6	no
ENSG00000143314.12	no
ENSG00000114779.20	no
ENSG00000158710.15	no
