"Target","Evidence"
"A1BG","predicted (union)"
"A1CF","predicted (intersection) + predicted (union)"
"A2ML1","predicted (intersection) + predicted (union)"
"AAGAB","predicted (union)"
"AAK1","predicted (intersection) + predicted (union)"
"AARD","predicted (union)"
"AARS2","predicted (intersection) + predicted (union)"
"AASDH","predicted (union)"
"AASDHPPT","predicted (intersection) + predicted (union)"
"ABAT","predicted (union)"
"ABCA10","predicted (union)"
"ABCA12","predicted (union)"
"ABCA5","predicted (union)"
"ABCA6","predicted (union)"
"ABCB10","predicted (intersection) + predicted (union)"
"ABCB11","predicted (intersection) + predicted (union)"
"ABCC1","predicted (union)"
"ABCC12","experimental (all) + predicted (union)"
"ABCC3","predicted (intersection) + predicted (union)"
"ABCC5","predicted (union)"
"ABCC9","predicted (intersection) + predicted (union)"
"ABCD2","predicted (union)"
"ABCD4","predicted (union)"
"ABCE1","predicted (intersection) + predicted (union)"
"ABCF2","predicted (union)"
"ABCF3","predicted (union)"
"ABCG1","predicted (intersection) + predicted (union)"
"ABCG2","predicted (intersection) + predicted (union)"
"ABHD10","predicted (union)"
"ABHD11","predicted (union)"
"ABHD13","predicted (union)"
"ABHD5","predicted (intersection) + predicted (union)"
"ABHD8","predicted (intersection) + predicted (union)"
"ABITRAM","predicted (union)"
"ABL2","predicted (intersection) + predicted (union)"
"ABLIM1","predicted (intersection) + predicted (union)"
"ABLIM3","predicted (intersection) + predicted (union)"
"ABRACL","predicted (intersection) + predicted (union)"
"ABRAXAS1","predicted (intersection) + predicted (union)"
"ABRAXAS2","predicted (intersection) + predicted (union)"
"ABTB2","predicted (union)"
"ACACB","predicted (union)"
"ACAD8","predicted (intersection) + predicted (union)"
"ACADSB","predicted (union)"
"ACAN","predicted (union)"
"ACBD3","predicted (union)"
"ACBD4","predicted (union)"
"ACBD5","predicted (union)"
"ACBD7","predicted (union)"
"ACER1","predicted (union)"
"ACER2","predicted (intersection) + predicted (union)"
"ACER3","predicted (union)"
"ACHE","predicted (union)"
"ACO1","predicted (union)"
"ACOT11","predicted (intersection) + predicted (union)"
"ACOT4","predicted (union)"
"ACOT9","predicted (intersection) + predicted (union)"
"ACOX1","predicted (intersection) + predicted (union)"
"ACP1","predicted (union)"
"ACSBG1","predicted (union)"
"ACSL3","predicted (union)"
"ACSL6","predicted (intersection) + predicted (union)"
"ACSM2A","predicted (intersection) + predicted (union)"
"ACSM2B","predicted (intersection) + predicted (union)"
"ACSM3","predicted (union)"
"ACTC1","predicted (intersection) + predicted (union)"
"ACTG2","predicted (union)"
"ACTN4","predicted (intersection) + predicted (union)"
"ACTR3","predicted (union)"
"ACTR3B","predicted (union)"
"ACTR3C","predicted (union)"
"ACTR8","predicted (union)"
"ACTRT3","predicted (union)"
"ACVR1","predicted (intersection) + predicted (union)"
"ACVR1B","predicted (intersection) + predicted (union)"
"ACVR1C","predicted (intersection) + predicted (union)"
"ACVR2A","predicted (union)"
"ACVR2B","predicted (intersection) + predicted (union)"
"ACVRL1","predicted (intersection) + predicted (union)"
"ACY3","predicted (intersection) + predicted (union)"
"ADA2","predicted (intersection) + predicted (union)"
"ADAL","predicted (union)"
"ADAM12","predicted (union)"
"ADAM19","predicted (intersection) + predicted (union)"
"ADAM22","predicted (intersection) + predicted (union)"
"ADAM23","predicted (union)"
"ADAM28","predicted (intersection) + predicted (union)"
"ADAMTS1","predicted (union)"
"ADAMTS12","predicted (union)"
"ADAMTS14","predicted (union)"
"ADAMTS15","predicted (union)"
"ADAMTS19","predicted (intersection) + predicted (union)"
"ADAMTS2","predicted (intersection) + predicted (union)"
"ADAMTS20","predicted (union)"
"ADAMTS3","predicted (intersection) + predicted (union)"
"ADAMTS4","predicted (intersection) + predicted (union)"
"ADAMTS5","predicted (intersection) + predicted (union)"
"ADAMTS9","predicted (union)"
"ADAMTSL3","predicted (intersection) + predicted (union)"
"ADARB2","predicted (intersection) + predicted (union)"
"ADAT2","predicted (union)"
"ADCY1","predicted (intersection) + predicted (union)"
"ADCY2","predicted (union)"
"ADCYAP1","predicted (intersection) + predicted (union)"
"ADCYAP1R1","predicted (intersection) + predicted (union)"
"ADD1","predicted (union)"
"ADD2","predicted (intersection) + predicted (union)"
"ADD3","predicted (intersection) + predicted (union)"
"ADGRA3","predicted (intersection) + predicted (union)"
"ADGRE2","predicted (union)"
"ADGRF1","predicted (intersection) + predicted (union)"
"ADGRF3","predicted (intersection) + predicted (union)"
"ADGRG3","predicted (union)"
"ADGRG6","predicted (intersection) + predicted (union)"
"ADGRL1","predicted (intersection) + predicted (union)"
"ADGRL2","predicted (intersection) + predicted (union)"
"ADGRL3","predicted (intersection) + predicted (union)"
"ADGRV1","predicted (union)"
"ADH5","predicted (union)"
"ADH6","predicted (intersection) + predicted (union)"
"ADI1","predicted (union)"
"ADIPOR2","predicted (union)"
"ADM2","predicted (union)"
"ADNP","predicted (union)"
"ADO","predicted (intersection) + predicted (union)"
"ADORA2B","predicted (union)"
"ADORA3","predicted (union)"
"ADRA1A","predicted (intersection) + predicted (union)"
"ADRB1","experimental (all) + predicted (intersection) + predicted (union)"
"ADTRP","predicted (union)"
"AEN","predicted (intersection) + predicted (union)"
"AFAP1L1","predicted (intersection) + predicted (union)"
"AFAP1L2","predicted (intersection) + predicted (union)"
"AFDN","predicted (union)"
"AFF1","predicted (intersection) + predicted (union)"
"AFF2","predicted (intersection) + predicted (union)"
"AFF3","predicted (intersection) + predicted (union)"
"AFF4","predicted (intersection) + predicted (union)"
"AFG1L","predicted (intersection) + predicted (union)"
"AFTPH","predicted (union)"
"AGA","predicted (intersection) + predicted (union)"
"AGAP1","predicted (intersection) + predicted (union)"
"AGAP2","predicted (intersection) + predicted (union)"
"AGBL4","predicted (intersection) + predicted (union)"
"AGFG1","predicted (intersection) + predicted (union)"
"AGK","predicted (intersection) + predicted (union)"
"AGL","predicted (intersection) + predicted (union)"
"AGMO","predicted (intersection) + predicted (union)"
"AGO1","predicted (intersection) + predicted (union)"
"AGO2","predicted (intersection) + predicted (union)"
"AGO3","predicted (intersection) + predicted (union)"
"AGO4","predicted (intersection) + predicted (union)"
"AGPAT2","predicted (union)"
"AGPAT3","predicted (union)"
"AGPAT4","experimental (all) + predicted (intersection) + predicted (union)"
"AGPAT5","predicted (union)"
"AGPS","predicted (intersection) + predicted (union)"
"AGR2","predicted (union)"
"AGTPBP1","predicted (union)"
"AGTRAP","predicted (intersection) + predicted (union)"
"AGXT2","predicted (intersection) + predicted (union)"
"AHCTF1","predicted (union)"
"AHCY","experimental (all) + predicted (intersection) + predicted (union)"
"AHCYL2","predicted (intersection) + predicted (union)"
"AHI1","predicted (intersection) + predicted (union)"
"AHRR","predicted (union)"
"AICDA","predicted (union)"
"AIF1L","predicted (intersection) + predicted (union)"
"AIFM1","predicted (intersection) + predicted (union)"
"AIFM2","predicted (union)"
"AIFM3","predicted (union)"
"AIG1","predicted (intersection) + predicted (union)"
"AJAP1","predicted (intersection) + predicted (union)"
"AK4","predicted (intersection) + predicted (union)"
"AK5","predicted (union)"
"AK6","predicted (union)"
"AKAP11","predicted (intersection) + predicted (union)"
"AKAP2","predicted (union)"
"AKAP6","predicted (intersection) + predicted (union)"
"AKAP7","predicted (union)"
"AKAP8","predicted (intersection) + predicted (union)"
"AKIRIN1","predicted (intersection) + predicted (union)"
"AKNAD1","predicted (intersection) + predicted (union)"
"AKR1B1","predicted (union)"
"AKR1C1","predicted (intersection) + predicted (union)"
"AKR1C2","predicted (intersection) + predicted (union)"
"AKT2","predicted (intersection) + predicted (union)"
"AKTIP","predicted (intersection) + predicted (union)"
"ALB","predicted (union)"
"ALCAM","predicted (intersection) + predicted (union)"
"ALDH18A1","predicted (intersection) + predicted (union)"
"ALDH1A2","predicted (union)"
"ALDH1L1","predicted (intersection) + predicted (union)"
"ALDH1L2","predicted (union)"
"ALDH3A2","predicted (union)"
"ALDH6A1","predicted (union)"
"ALDH8A1","predicted (intersection) + predicted (union)"
"ALG11","predicted (intersection) + predicted (union)"
"ALG14","predicted (intersection) + predicted (union)"
"ALG6","predicted (intersection) + predicted (union)"
"ALG9","predicted (intersection) + predicted (union)"
"ALKBH1","predicted (intersection) + predicted (union)"
"ALKBH3","predicted (intersection) + predicted (union)"
"ALKBH4","predicted (union)"
"ALKBH8","predicted (intersection) + predicted (union)"
"ALOX15B","predicted (union)"
"ALOX5AP","predicted (union)"
"ALPK3","predicted (union)"
"ALS2","predicted (intersection) + predicted (union)"
"ALS2CL","predicted (intersection) + predicted (union)"
"ALX1","predicted (intersection) + predicted (union)"
"AMACR","predicted (intersection) + predicted (union)"
"AMBRA1","predicted (intersection) + predicted (union)"
"AMER2","predicted (intersection) + predicted (union)"
"AMIGO1","predicted (intersection) + predicted (union)"
"AMIGO2","predicted (union)"
"AMIGO3","predicted (intersection) + predicted (union)"
"AMMECR1","predicted (intersection) + predicted (union)"
"AMMECR1L","predicted (intersection) + predicted (union)"
"AMOT","predicted (intersection) + predicted (union)"
"AMPD3","predicted (union)"
"AMPH","predicted (intersection) + predicted (union)"
"AMZ1","predicted (intersection) + predicted (union)"
"ANAPC1","predicted (union)"
"ANAPC10","predicted (union)"
"ANG","predicted (union)"
"ANGEL2","predicted (intersection) + predicted (union)"
"ANGPTL1","predicted (union)"
"ANGPTL3","predicted (union)"
"ANK2","predicted (union)"
"ANKDD1A","predicted (union)"
"ANKDD1B","predicted (union)"
"ANKEF1","predicted (union)"
"ANKFY1","predicted (intersection) + predicted (union)"
"ANKH","predicted (intersection) + predicted (union)"
"ANKMY1","predicted (intersection) + predicted (union)"
"ANKMY2","predicted (union)"
"ANKRD1","predicted (union)"
"ANKRD10","predicted (union)"
"ANKRD12","predicted (union)"
"ANKRD13C","predicted (union)"
"ANKRD16","predicted (union)"
"ANKRD17","predicted (union)"
"ANKRD20A2","predicted (union)"
"ANKRD20A4","predicted (union)"
"ANKRD22","predicted (union)"
"ANKRD29","predicted (union)"
"ANKRD30BL","predicted (intersection) + predicted (union)"
"ANKRD33","predicted (intersection) + predicted (union)"
"ANKRD34B","predicted (union)"
"ANKRD34C","predicted (union)"
"ANKRD37","predicted (union)"
"ANKRD40","predicted (intersection) + predicted (union)"
"ANKRD44","predicted (intersection) + predicted (union)"
"ANKRD45","predicted (union)"
"ANKRD46","predicted (intersection) + predicted (union)"
"ANKRD49","predicted (union)"
"ANKRD50","predicted (intersection) + predicted (union)"
"ANKRD52","predicted (union)"
"ANKRD54","predicted (intersection) + predicted (union)"
"ANKRD6","predicted (union)"
"ANKS1A","predicted (union)"
"ANKS4B","predicted (intersection) + predicted (union)"
"ANKZF1","predicted (intersection) + predicted (union)"
"ANO1","predicted (union)"
"ANO4","predicted (union)"
"ANO5","predicted (union)"
"ANO6","predicted (union)"
"ANOS1","predicted (union)"
"ANP32B","predicted (intersection) + predicted (union)"
"ANP32E","predicted (union)"
"ANTXR1","predicted (intersection) + predicted (union)"
"ANTXR2","predicted (union)"
"ANXA11","predicted (intersection) + predicted (union)"
"ANXA4","predicted (union)"
"ANXA5","predicted (union)"
"AOPEP","predicted (intersection) + predicted (union)"
"AOX1","predicted (intersection) + predicted (union)"
"AP1AR","experimental (all) + predicted (union)"
"AP1S2","predicted (intersection) + predicted (union)"
"AP3M1","predicted (intersection) + predicted (union)"
"AP3S2","predicted (union)"
"AP4S1","predicted (intersection) + predicted (union)"
"AP5B1","predicted (union)"
"AP5M1","predicted (union)"
"APAF1","predicted (union)"
"APBA1","predicted (union)"
"APBB2","predicted (union)"
"APC2","predicted (union)"
"API5","predicted (union)"
"APLF","predicted (intersection) + predicted (union)"
"APLN","predicted (union)"
"APLP2","predicted (intersection) + predicted (union)"
"APOBEC3C","predicted (union)"
"APOBEC3F","predicted (union)"
"APOBEC4","predicted (union)"
"APOC3","predicted (union)"
"APOL2","predicted (union)"
"APOL3","predicted (union)"
"APOL4","predicted (union)"
"APOL6","predicted (union)"
"APOOL","predicted (intersection) + predicted (union)"
"APP","predicted (union)"
"APPBP2","predicted (intersection) + predicted (union)"
