Gene	mean_raw_r_sq	best_raw_r_sq	mean_rmse	min_rmse	cor_value_R2_RMSE	cor_pvalue	cor_padj_BH
ENST00000671092.1	0.0479253522723376	0.126881050001241	0.652607006454315	0.493418639130523	-0.591066680497265	0.293894194443627	0.74943019583125
ENST00000658840.1	-0.000525219307149527	0	0.673288070561685	0.560114812987057	-0.0964597248246153	0.877374387575226	0.952313328922476
ENST00000667630.1	0.051596667882605	0.0421021866234749	0.666701127016876	0.607033416927672	-0.505576973879843	0.384864213943298	0.84038010400564
ENST00000653853.1	-0.0304738556010086	-0.186583042997519	1.86367964811834	0.839358251648881	0.706848191282406	0.181922969085687	0.639866994715175
ENST00000665175.1	0.0208300846283464	-0.0269863166440429	1.89816203418389	0.86215572877346	0.255496349662985	0.678266698348853	0.898438895168153
ENST00000666076.1	-0.0648389894012492	0.198531194095451	1.9316232571911	0.910542113770194	0.307573003102076	0.614651135711585	0.887495999933798
ENST00000670626.1	-0.0613708698524411	-0.107855651248814	2.83007398722064	1.27194278035099	0.558578983288849	0.327738628447233	0.777426513991111
ENST00000656999.1	-0.0111104318222178	-0.0207879862499134	3.21567452468188	1.28036667578102	0.875230576573051	0.0519034815158135	0.321428793156736
ENST00000667418.1	-0.0243226412241167	0	2.94298061650654	1.32090968422005	-0.205758065488467	0.739881157342049	0.920339976205964
ENST00000656693.1	-0.0484578957513958	-0.444746500141195	2.5325147369783	1.51035898555236	0.691907770529417	0.195519022294915	0.664764675802712
ENST00000523427.2	-0.0528575261777012	-0.161496384567913	3.62703520042637	1.61567818491164	0.955118087992121	0.0113369257100264	0.165195203203243
ENST00000652492.1	0.0172063544871159	0.068803317329983	3.84564280176689	1.65195516422805	-0.642562432425453	0.242301167322385	0.718206919249577
ENST00000651587.1	0.039698232549742	0.0920541269346173	3.19775924525823	2.15965432959809	-0.948607588002521	0.0138773273497948	0.176935923709884
ENST00000523068.2	0	0	3.22145202246567	2.48411256060469	NA	NA	NA
ENST00000654324.1	-0.0111206973911861	-0.031396657106139	3.26014541021741	2.61245564429063	0.387910353359285	0.518779632361251	0.849961464795223
