Subtype	Gene	Metric	P_value	File
Tumor	TEC	DFI	0.0357	DFI/Tumor/DFI_TEC_KaplanMeier.pdf
Tumor	KLHL11	DFI	0.0378	DFI/Tumor/DFI_KLHL11_KaplanMeier.pdf
Tumor	TEC	PFI	0.0619	PFI/Tumor/PFI_TEC_KaplanMeier.pdf
Tumor	MATR3	OS	0.1245	OS/Tumor/OS_MATR3_KaplanMeier.pdf
Tumor	MYC	OS	0.1953	OS/Tumor/OS_MYC_KaplanMeier.pdf
Tumor	SEC61B	DFI	0.206	DFI/Tumor/DFI_SEC61B_KaplanMeier.pdf
Tumor	MALAT1	OS	0.2176	OS/Tumor/OS_MALAT1_KaplanMeier.pdf
Tumor	KLHL11	PFI	0.2544	PFI/Tumor/PFI_KLHL11_KaplanMeier.pdf
Tumor	MALAT1	DFI	0.2698	DFI/Tumor/DFI_MALAT1_KaplanMeier.pdf
Tumor	MATR3	DFI	0.3416	DFI/Tumor/DFI_MATR3_KaplanMeier.pdf
Tumor	MYC	PFI	0.3604	PFI/Tumor/PFI_MYC_KaplanMeier.pdf
Tumor	KLHL11	OS	0.3813	OS/Tumor/OS_KLHL11_KaplanMeier.pdf
Tumor	KLHL11	DSS	0.384	DSS/Tumor/DSS_KLHL11_KaplanMeier.pdf
Tumor	PVT1	PFI	0.3892	PFI/Tumor/PFI_PVT1_KaplanMeier.pdf
Tumor	GAPDH	PFI	0.4229	PFI/Tumor/PFI_GAPDH_KaplanMeier.pdf
Tumor	SEC61B	OS	0.4265	OS/Tumor/OS_SEC61B_KaplanMeier.pdf
Tumor	PVT1	DSS	0.4596	DSS/Tumor/DSS_PVT1_KaplanMeier.pdf
Tumor	MALAT1	DSS	0.4722	DSS/Tumor/DSS_MALAT1_KaplanMeier.pdf
Tumor	SNRPA	OS	0.4897	OS/Tumor/OS_SNRPA_KaplanMeier.pdf
Tumor	SNRPA	DSS	0.5264	DSS/Tumor/DSS_SNRPA_KaplanMeier.pdf
Tumor	SNRPA	DFI	0.5414	DFI/Tumor/DFI_SNRPA_KaplanMeier.pdf
Tumor	USP34	DFI	0.5599	DFI/Tumor/DFI_USP34_KaplanMeier.pdf
Tumor	TEC	DSS	0.5774	DSS/Tumor/DSS_TEC_KaplanMeier.pdf
Tumor	PVT1	OS	0.5836	OS/Tumor/OS_PVT1_KaplanMeier.pdf
Tumor	MALAT1	PFI	0.5863	PFI/Tumor/PFI_MALAT1_KaplanMeier.pdf
Tumor	USP34	OS	0.592	OS/Tumor/OS_USP34_KaplanMeier.pdf
Tumor	USP34	PFI	0.6403	PFI/Tumor/PFI_USP34_KaplanMeier.pdf
Tumor	PVT1	DFI	0.6473	DFI/Tumor/DFI_PVT1_KaplanMeier.pdf
Tumor	MATR3	PFI	0.6493	PFI/Tumor/PFI_MATR3_KaplanMeier.pdf
Tumor	MYC	DSS	0.6737	DSS/Tumor/DSS_MYC_KaplanMeier.pdf
Tumor	MATR3	DSS	0.6819	DSS/Tumor/DSS_MATR3_KaplanMeier.pdf
Tumor	GAPDH	DFI	0.7331	DFI/Tumor/DFI_GAPDH_KaplanMeier.pdf
Tumor	MYC	DFI	0.7435	DFI/Tumor/DFI_MYC_KaplanMeier.pdf
Tumor	TEC	OS	0.7699	OS/Tumor/OS_TEC_KaplanMeier.pdf
Tumor	SEC61B	PFI	0.8215	PFI/Tumor/PFI_SEC61B_KaplanMeier.pdf
Tumor	GAPDH	DSS	0.8239	DSS/Tumor/DSS_GAPDH_KaplanMeier.pdf
Tumor	GAPDH	OS	0.8436	OS/Tumor/OS_GAPDH_KaplanMeier.pdf
Tumor	SEC61B	DSS	0.8906	DSS/Tumor/DSS_SEC61B_KaplanMeier.pdf
Tumor	USP34	DSS	0.9266	DSS/Tumor/DSS_USP34_KaplanMeier.pdf
Tumor	SNRPA	PFI	0.9458	PFI/Tumor/PFI_SNRPA_KaplanMeier.pdf
