ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0044391	GO:0044391	ribosomal subunit	20/299	220/22585	0.0909090909090909	6.86682882335056	10.1286198124301	1.59931491780665e-11	7.56475956122546e-09	6.36358988348331e-09	CHCHD1/UBA52/MRPL57/RPL35A/RPS14/RPS29/RPL14/RPL31/RPL34/MRPL23/RPLP1/RPS24/RPL38/RPL37/RPL18/RPS3/RPL28/AURKAIP1/RPL13/MRPL41	20
GO:0005840	GO:0005840	ribosome	21/299	274/22585	0.0766423357664234	5.78918780362766	9.23841771092425	1.23373121579843e-10	2.9177743253633e-08	2.45447578722004e-08	CHCHD1/UBA52/MRPL57/RPL35A/RPS14/RPS29/RPL14/RPL31/RPL34/MRPL23/RPLP1/RPS24/MTG1/RPL38/RPL37/RPL18/RPS3/RPL28/AURKAIP1/RPL13/MRPL41	21
GO:0022625	GO:0022625	cytosolic large ribosomal subunit	11/299	60/22585	0.183333333333333	13.848104793757	11.5425631483718	3.51094280509663e-10	5.53558648936901e-08	4.65661887833868e-08	UBA52/RPL35A/RPL14/RPL31/RPL34/RPLP1/RPL38/RPL37/RPL18/RPL28/RPL13	11
GO:0015934	GO:0015934	large ribosomal subunit	14/299	120/22585	0.116666666666667	8.81243032329989	9.9390192609724	7.14200315854152e-10	6.78615662491779e-08	5.70861734554117e-08	UBA52/MRPL57/RPL35A/RPL14/RPL31/RPL34/MRPL23/RPLP1/RPL38/RPL37/RPL18/RPL28/RPL13/MRPL41	14
GO:0022626	GO:0022626	cytosolic ribosome	15/299	142/22585	0.105633802816901	7.97906166093551	9.66319439811546	7.17352708765094e-10	6.78615662491779e-08	5.70861734554117e-08	UBA52/RPL35A/RPS14/RPS29/RPL14/RPL31/RPL34/RPLP1/RPS24/RPL38/RPL37/RPL18/RPS3/RPL28/RPL13	15
GO:0098798	GO:0098798	mitochondrial protein-containing complex	17/299	342/22585	0.0497076023391813	3.75466956130572	5.94573906610145	3.54207989770971e-06	0.000279233965269448	0.000234895824795486	CHCHD1/MRPL57/NDUFB2/ATP5MJ/FXN/COX6B1/ATP5MK/BAX/NDUFB1/ATP5MF/MRPL23/NDUFA3/COX1/UQCRH/MICOS13/AURKAIP1/MRPL41	17
GO:0016607	GO:0016607	nuclear speck	19/299	499/22585	0.0380761523046092	2.87608662140334	4.90867850700502	4.14749560356115e-05	0.00263741673150009	0.00221863474909766	TARDBP/RNF113A/BCLAF1/SON/PALB2/CBY1/CDC40/BAZ2A/CXXC1/NXT1/KMT2E/PRPF31/NDUFB1/GPATCH2/HBP1/ZNF106/CSNK1A1/TUT1/DDX39A	19
GO:0030892	GO:0030892	mitotic cohesin complex	3/299	6/22585	0.5	37.7675585284281	10.4329717032214	4.4607471145879e-05	0.00263741673150009	0.00221863474909766	STAG2/SMC3/SMC1A	3
GO:0019773	GO:0019773	proteasome core complex, alpha-subunit complex	3/299	8/22585	0.375	28.3256688963211	8.95370213182002	0.000122462578588287	0.00643608885247328	0.00541413505337688	PSMA1/PSMA3/PSMA2	3
GO:0098800	GO:0098800	inner mitochondrial membrane protein complex	10/299	187/22585	0.053475935828877	4.03931107255915	4.83405179078775	0.000204775609378038	0.00968588632358119	0.00814791372051561	NDUFB2/ATP5MJ/COX6B1/ATP5MK/NDUFB1/ATP5MF/NDUFA3/COX1/UQCRH/MICOS13	10
GO:0008278	GO:0008278	cohesin complex	3/299	11/22585	0.272727272727273	20.6004864700517	7.53145518520962	0.000350329288471891	0.0139047790085434	0.011696909903704	STAG2/SMC3/SMC1A	3
GO:0005925	GO:0005925	focal adhesion	17/299	495/22585	0.0343434343434343	2.59413533326577	4.15384123266079	0.000352763949476787	0.0139047790085434	0.011696909903704	MDC1/PPP1R12A/CTNNB1/ARPC5L/PFN1/RPS14/RPS29/CBL/IGF2R/CDC42/RPL31/RPLP1/RPL38/RPL18/ARL2/RPS3/AHNAK	17
GO:0031970	GO:0031970	organelle envelope lumen	7/299	102/22585	0.0686274509803922	5.18378254311758	4.90525989793018	0.000419685531630019	0.0152700966508461	0.0128454357049512	TRIAP1/UQCC2/TUBB/IGF2R/ARL2/NME4/SORL1	7
GO:0015935	GO:0015935	small ribosomal subunit	7/299	104/22585	0.0673076923076923	5.0840944172884	4.83531302263568	0.000472085131009501	0.015949733354821	0.0134171563550069	CHCHD1/UBA52/RPS14/RPS29/RPS24/RPS3/AURKAIP1	7
GO:0036064	GO:0036064	ciliary basal body	9/299	180/22585	0.05	3.77675585284281	4.33232908170617	0.000687408581672297	0.0216762839420665	0.0182344171138336	PTPN23/CBY1/ERC1/SSNA1/NEK4/CSNK1A1/ARHGAP35/INTU/TOGARAM1	9
GO:0034708	GO:0034708	methyltransferase complex	7/299	116/22585	0.0603448275862069	4.55815361549994	4.45022306192427	0.000906003090115355	0.0267837163515352	0.022530866319974	ERH/KANSL1/CXXC1/BOD1L1/KDM6A/PRPF31/SNRPB	7
GO:0034399	GO:0034399	nuclear periphery	8/299	159/22585	0.050314465408805	3.80050903430723	4.10468273754387	0.00129867519853587	0.0361337275827922	0.0303962368449882	STAG2/RNF220/SMC3/CXXC1/ATXN7/SMC1A/MATR3/HLTF	8
GO:0022627	GO:0022627	cytosolic small ribosomal subunit	5/299	63/22585	0.0793650793650794	5.99485056006795	4.59842661916562	0.0014764300404856	0.0387973005083162	0.0326368745791555	UBA52/RPS14/RPS29/RPS24/RPS3	5
GO:0005641	GO:0005641	nuclear envelope lumen	3/299	18/22585	0.166666666666667	12.5891861761427	5.69734136220123	0.00161755539150812	0.0402380011570399	0.0338488137028176	TUBB/IGF2R/SORL1	3
GO:0071159	GO:0071159	NF-kappaB complex	2/299	5/22585	0.4	30.2140468227425	7.56719138462948	0.00170139539776067	0.0402380011570399	0.0338488137028176	RPS3/REL	2
GO:0000313	GO:0000313	organellar ribosome	6/299	98/22585	0.0612244897959184	4.62459900348099	4.16511702696109	0.00194617815298547	0.0411190124975965	0.0345899337355991	CHCHD1/MRPL57/MRPL23/MTG1/AURKAIP1/MRPL41	6
GO:0005761	GO:0005761	mitochondrial ribosome	6/299	98/22585	0.0612244897959184	4.62459900348099	4.16511702696109	0.00194617815298547	0.0411190124975965	0.0345899337355991	CHCHD1/MRPL57/MRPL23/MTG1/AURKAIP1/MRPL41	6
GO:0036464	GO:0036464	cytoplasmic ribonucleoprotein granule	11/299	295/22585	0.0372881355932203	2.81656368686582	3.63769736741892	0.00202514835421923	0.0411190124975965	0.0345899337355991	TARDBP/DHX9/TNRC6A/TNRC6B/SMG1/TUBB/LSM4/CDC42/CNOT1/RPL28/PSMA2	11
GO:0016363	GO:0016363	nuclear matrix	7/299	134/22585	0.0522388059701493	3.94586432386562	3.96156931192171	0.00208637695548058	0.0411190124975965	0.0345899337355991	STAG2/SMC3/CXXC1/ATXN7/SMC1A/MATR3/HLTF	7
GO:0005726	GO:0005726	perichromatin fibrils	2/299	6/22585	0.333333333333333	25.1783723522854	6.86072953107035	0.00252978936106806	0.0448516402383351	0.0377298765107169	TARDBP/DHX9	2
GO:0044613	GO:0044613	nuclear pore central transport channel	2/299	6/22585	0.333333333333333	25.1783723522854	6.86072953107035	0.00252978936106806	0.0448516402383351	0.0377298765107169	NXT1/NUTF2	2
GO:0005753	GO:0005753	mitochondrial proton-transporting ATP synthase complex	3/299	21/22585	0.142857142857143	10.7907310081223	5.19920192009286	0.00256024162037008	0.0448516402383351	0.0377298765107169	ATP5MJ/ATP5MK/ATP5MF	3
GO:0045259	GO:0045259	proton-transporting ATP synthase complex	3/299	22/22585	0.136363636363636	10.3002432350258	5.05507018127142	0.00293568256814593	0.0492820136158629	0.0414567734434097	ATP5MJ/ATP5MK/ATP5MF	3
GO:1904949	GO:1904949	ATPase complex	8/299	182/22585	0.043956043956044	3.3202249255761	3.64026211740305	0.0030215188052009	0.0492820136158629	0.0414567734434097	DPF2/INO80D/ATP5MJ/BICRAL/BAZ2A/ATP5MK/ATP5MF/CDK2AP2	8
