ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0098798	GO:0098798	mitochondrial protein-containing complex	32/487	342/22585	0.0935672514619883	4.33925333525463	9.2374939949767	3.84996193940675e-12	2.05587967564321e-09	1.58861587394468e-09	HSD17B10/MRPS34/HADHA/MRPL28/BAX/NDUFB2/TOMM22/SAMM50/IDH3B/BCKDK/TIMM50/DMAC2/MRPL4/MRPL27/MRPL2/MRPL37/ATP5PB/MRPS7/COX6B1/MRPS12/TIMM10/MRPL49/ATP5PF/NDUFB6/UQCRFS1/COX5A/CYC1/SDHD/NDUFS3/MRPS17/MPV17L2/MRPL45	32
GO:1905369	GO:1905369	endopeptidase complex	17/487	105/22585	0.161904761904762	7.50845800332453	9.92345789875474	1.0214369037713e-10	2.72723653306937e-08	2.10738561199131e-08	PSMB1/PSMA4/PSMC5/PSMB5/PSMA2/PSMD9/HTRA2/PSMF1/CAPNS1/PSMA1/ADRM1/PSMB7/PSMB6/PSMD6/PSMC3/RAD23A/GPAA1	17
GO:1905368	GO:1905368	peptidase complex	18/487	142/22585	0.126760563380282	5.87861873499725	8.65743072815799	1.77166264833351e-09	2.53711481038835e-07	1.96047507524588e-07	PSMB1/PSMA4/PSMC5/PSMB5/PSMA2/PSMD9/HTRA2/PSMF1/CAPNS1/PSMA1/ADRM1/PSMB7/PSMB6/PSMD6/PSMC3/SGF29/RAD23A/GPAA1	18
GO:0000502	GO:0000502	proteasome complex	14/487	81/22585	0.172839506172839	8.01556518873425	9.3899600138246	1.90046053212611e-09	2.53711481038835e-07	1.96047507524588e-07	PSMB1/PSMA4/PSMC5/PSMB5/PSMA2/PSMD9/PSMF1/PSMA1/ADRM1/PSMB7/PSMB6/PSMD6/PSMC3/RAD23A	14
GO:0005681	GO:0005681	spliceosomal complex	21/487	245/22585	0.0857142857142857	3.97506600176005	6.95066714356218	9.27444181514743e-08	9.90510385857745e-06	7.65385514007956e-06	U2AF2/YBX1/GPKOW/HNRNPM/PRPF6/DNAJC17/SF3A2/YJU2B/PRPF31/BUD31/IK/NCL/RNF113A/ARMC7/RALY/CTNNBL1/HNRNPA1/TXNL4A/U2AF1L4/DDX41/DDX39B	21
GO:0005758	GO:0005758	mitochondrial intermembrane space	12/487	84/22585	0.142857142857143	6.62511000293341	7.66757762799117	2.44345211971919e-07	2.17467238655008e-05	1.68040917707004e-05	CHCHD2/HTRA2/GFER/TIMM10/UQCC2/SOD1/AIFM1/CHCHD4/STOML2/TRIAP1/COX19/STMP1	12
GO:0005839	GO:0005839	proteasome core complex	8/487	36/22585	0.222222222222222	10.3057266712298	8.29518980821427	7.85452200319938e-07	5.99187821386924e-05	4.63003402293858e-05	PSMB1/PSMA4/PSMB5/PSMA2/PSMF1/PSMA1/PSMB7/PSMB6	8
GO:0000313	GO:0000313	organellar ribosome	12/487	98/22585	0.122448979591837	5.67866571680007	6.89061084138666	1.33742496476145e-06	7.93538812425129e-05	6.13181972147941e-05	MRPS34/MRPL28/MRPL4/MRPL27/MRPL2/MRPL37/MRPS7/MRPS12/MRPL49/MRPS17/MPV17L2/MRPL45	12
GO:0005761	GO:0005761	mitochondrial ribosome	12/487	98/22585	0.122448979591837	5.67866571680007	6.89061084138666	1.33742496476145e-06	7.93538812425129e-05	6.13181972147941e-05	MRPS34/MRPL28/MRPL4/MRPL27/MRPL2/MRPL37/MRPS7/MRPS12/MRPL49/MRPS17/MPV17L2/MRPL45	12
GO:0031970	GO:0031970	organelle envelope lumen	12/487	102/22585	0.117647058823529	5.45597294359222	6.69582245321068	2.05774728269892e-06	0.000109883704896122	8.49091510334713e-05	CHCHD2/HTRA2/GFER/TIMM10/UQCC2/SOD1/AIFM1/CHCHD4/STOML2/TRIAP1/COX19/STMP1	12
GO:0030684	GO:0030684	preribosome	13/487	130/22585	0.1	4.63757700205339	6.17469869728236	4.9063763445793e-06	0.000238182269818668	0.00018404780163398	MRTO4/PES1/FBL/KRI1/IMP4/RRP1/SLX9/ZNF622/TBL3/NOC4L/NOL7/WDR46/BOP1	13
GO:0030686	GO:0030686	90S preribosome	7/487	33/22585	0.212121212121212	9.83728454981022	7.54174260354271	5.45614253826427e-06	0.00024279834295276	0.000187614725877157	PES1/KRI1/IMP4/SLX9/TBL3/NOC4L/BOP1	7
