ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0015453	GO:0015453	oxidoreduction-driven active transmembrane transporter activity	6/53	84/21092	0.0714285714285714	28.4258760107817	12.6410098802937	6.57832899200104e-08	8.94652742912142e-06	6.43983785532734e-06	NDUFA8/NDUFA1/COX7B/CYC1/NDUFA6/COX3	6
GO:0015399	GO:0015399	primary active transmembrane transporter activity	7/53	205/21092	0.0341463414634146	13.5889553612517	9.09080965638591	7.80475025472745e-07	4.78592167680607e-05	3.44497458160189e-05	NDUFA8/NDUFA1/ATP6V1F/COX7B/CYC1/NDUFA6/COX3	7
GO:0009055	GO:0009055	electron transfer activity	6/53	134/21092	0.0447761194029851	17.8192058575049	9.80295346718792	1.05571801694251e-06	4.78592167680607e-05	3.44497458160189e-05	NDUFA8/NDUFA1/COX7B/CYC1/NDUFA6/COX3	6
GO:0015078	GO:0015078	proton transmembrane transporter activity	5/53	158/21092	0.0316455696202532	12.5937425364223	7.34175789821257	4.75299274737928e-05	0.00161601753410896	0.00116323243554282	ATP6V1F/COX7B/CYC1/COX3/ATP5MF	5
GO:0008137	GO:0008137	NADH dehydrogenase (ubiquinone) activity	3/53	56/21092	0.0535714285714286	21.3194070080863	7.64183112028514	0.000377983335421767	0.0078764501369768	0.0056695809809508	NDUFA8/NDUFA1/NDUFA6	3
GO:0050136	GO:0050136	NADH dehydrogenase (quinone) activity	3/53	57/21092	0.0526315789473684	20.9453823237339	7.56802414571653	0.000398276052946778	0.0078764501369768	0.0056695809809508	NDUFA8/NDUFA1/NDUFA6	3
GO:0003954	GO:0003954	NADH dehydrogenase activity	3/53	59/21092	0.0508474576271186	20.2353693636073	7.42591371951276	0.000440934997144502	0.0078764501369768	0.0056695809809508	NDUFA8/NDUFA1/NDUFA6	3
GO:0003955	GO:0003955	NAD(P)H dehydrogenase (quinone) activity	3/53	60/21092	0.05	19.8981132075472	7.35745744317155	0.000463320596292753	0.0078764501369768	0.0056695809809508	NDUFA8/NDUFA1/NDUFA6	3
GO:0016655	GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	3/53	73/21092	0.0410958904109589	16.3546135952442	6.595812031111	0.000822940378519736	0.0124355434976316	0.00895128131021468	NDUFA8/NDUFA1/NDUFA6	3
GO:0004129	GO:0004129	cytochrome-c oxidase activity	2/53	18/21092	0.111111111111111	44.2180293501048	9.20665138429699	0.000923758437195931	0.0125631147458647	0.00904310891149701	COX7B/COX3	2
GO:0016675	GO:0016675	oxidoreductase activity, acting on a heme group of donors	2/53	19/21092	0.105263157894737	41.8907646474677	8.94978953673743	0.00103077591902476	0.0127441386352152	0.00917341248510076	COX7B/COX3	2
GO:0016651	GO:0016651	oxidoreductase activity, acting on NAD(P)H	3/53	103/21092	0.029126213592233	11.591133907309	5.40803098765491	0.00221916358683251	0.0251505206507685	0.0181037029452126	NDUFA8/NDUFA1/NDUFA6	3
GO:0022853	GO:0022853	active monoatomic ion transmembrane transporter activity	4/53	262/21092	0.0152671755725191	6.07575975802967	4.14935929990189	0.00422787853689224	0.0442301139244112	0.0318374659053424	ATP6V1F/COX7B/CYC1/COX3	4
