Gene	Term	GLMNET_coefficients	lambda_min
ENST00000504719.7	(Intercept)	-10.5002319240969	1.57800916722653
ENST00000504719.7	127818899:127818901	0	1.57800916722653
ENST00000504719.7	127882061:127882063	0	1.57800916722653
ENST00000504719.7	128100979:128100981	0	1.57800916722653
ENST00000504719.7	127803149:127803151	0	1.57800916722653
ENST00000504719.7	128082752:128082754	0	1.57800916722653
ENST00000504719.7	127854727:127854729	0	1.57800916722653
ENST00000504719.7	128069068:128069070	0	1.57800916722653
ENST00000504719.7	128099369:128099371	0	1.57800916722653
ENST00000504719.7	128031057:128031059	0	1.57800916722653
ENST00000504719.7	127855154:127855156	0	1.57800916722653
ENST00000504719.7	128031958:128031960	0	1.57800916722653
ENST00000504719.7	128074072:128074074	0	1.57800916722653
ENST00000504719.7	127816827:127816829	0	1.57800916722653
ENST00000504719.7	127851933:127851935	0	1.57800916722653
ENST00000504719.7	127932464:127932466	0	1.57800916722653
ENST00000504719.7	128070161:128070163	0	1.57800916722653
ENST00000504719.7	128070159:128070161	0	1.57800916722653
ENST00000504719.7	127890588:127890590	0	1.57800916722653
ENST00000504719.7	128049584:128049586	-5.48410413592267e-15	1.57800916722653
ENST00000504719.7	128096517:128096519	0	1.57800916722653
ENST00000504719.7	127932052:127932054	0	1.57800916722653
ENST00000504719.7	127855162:127855164	0	1.57800916722653
ENST00000504719.7	127932027:127932029	0	1.57800916722653
ENST00000504719.7	128038916:128038918	0	1.57800916722653
ENST00000504719.7	127881800:127881802	0	1.57800916722653
ENST00000504719.7	128080302:128080304	0	1.57800916722653
ENST00000504719.7	128049587:128049589	0	1.57800916722653
ENST00000504719.7	128048447:128048449	0	1.57800916722653
ENST00000504719.7	127989161:127989163	0	1.57800916722653
ENST00000504719.7	127902455:127902457	0	1.57800916722653
ENST00000504719.7	127819908:127819910	0	1.57800916722653
ENST00000504719.7	127996560:127996562	0	1.57800916722653
ENST00000504719.7	128096520:128096522	0	1.57800916722653
ENST00000504719.7	128074069:128074071	0	1.57800916722653
ENST00000512617.7	(Intercept)	-10.9366926659839	0.644692003593211
ENST00000512617.7	127818899:127818901	0	0.644692003593211
ENST00000512617.7	127882061:127882063	0	0.644692003593211
ENST00000512617.7	128100979:128100981	0	0.644692003593211
ENST00000512617.7	127803149:127803151	0	0.644692003593211
ENST00000512617.7	128082752:128082754	0	0.644692003593211
ENST00000512617.7	127854727:127854729	0	0.644692003593211
ENST00000512617.7	128069068:128069070	0	0.644692003593211
ENST00000512617.7	128099369:128099371	0	0.644692003593211
ENST00000512617.7	128031057:128031059	0	0.644692003593211
ENST00000512617.7	127855154:127855156	0	0.644692003593211
ENST00000512617.7	128031958:128031960	0	0.644692003593211
ENST00000512617.7	128074072:128074074	0	0.644692003593211
ENST00000512617.7	127816827:127816829	0	0.644692003593211
ENST00000512617.7	127851933:127851935	0	0.644692003593211
ENST00000512617.7	127932464:127932466	0	0.644692003593211
ENST00000512617.7	128070161:128070163	0	0.644692003593211
ENST00000512617.7	128070159:128070161	0	0.644692003593211
ENST00000512617.7	127890588:127890590	0	0.644692003593211
ENST00000512617.7	128049584:128049586	0	0.644692003593211
ENST00000512617.7	128096517:128096519	0	0.644692003593211
ENST00000512617.7	127932052:127932054	0	0.644692003593211
ENST00000512617.7	127855162:127855164	0	0.644692003593211
ENST00000512617.7	127932027:127932029	0	0.644692003593211
ENST00000512617.7	128038916:128038918	0	0.644692003593211
ENST00000512617.7	127881800:127881802	0	0.644692003593211
ENST00000512617.7	128080302:128080304	0	0.644692003593211
ENST00000512617.7	128049587:128049589	0	0.644692003593211
ENST00000512617.7	128048447:128048449	0	0.644692003593211
ENST00000512617.7	127989161:127989163	0	0.644692003593211
ENST00000512617.7	127902455:127902457	0	0.644692003593211
ENST00000512617.7	127819908:127819910	0	0.644692003593211
ENST00000512617.7	127996560:127996562	0	0.644692003593211
ENST00000512617.7	128096520:128096522	0	0.644692003593211
ENST00000512617.7	128074069:128074071	0	0.644692003593211
ENST00000513868.6	(Intercept)	-0.863191557907461	2.19998815867067
ENST00000513868.6	127818899:127818901	0	2.19998815867067
ENST00000513868.6	127882061:127882063	0	2.19998815867067
ENST00000513868.6	128100979:128100981	0	2.19998815867067
ENST00000513868.6	127803149:127803151	0	2.19998815867067
ENST00000513868.6	128082752:128082754	0	2.19998815867067
ENST00000513868.6	127854727:127854729	0	2.19998815867067
ENST00000513868.6	128069068:128069070	0	2.19998815867067
ENST00000513868.6	128099369:128099371	0	2.19998815867067
ENST00000513868.6	128031057:128031059	0	2.19998815867067
ENST00000513868.6	127855154:127855156	0	2.19998815867067
ENST00000513868.6	128031958:128031960	0	2.19998815867067
ENST00000513868.6	128074072:128074074	0	2.19998815867067
ENST00000513868.6	127816827:127816829	0	2.19998815867067
ENST00000513868.6	127851933:127851935	0	2.19998815867067
ENST00000513868.6	127932464:127932466	5.68997345605768e-15	2.19998815867067
ENST00000513868.6	128070161:128070163	0	2.19998815867067
ENST00000513868.6	128070159:128070161	0	2.19998815867067
ENST00000513868.6	127890588:127890590	0	2.19998815867067
ENST00000513868.6	128049584:128049586	0	2.19998815867067
ENST00000513868.6	128096517:128096519	0	2.19998815867067
ENST00000513868.6	127932052:127932054	0	2.19998815867067
ENST00000513868.6	127855162:127855164	0	2.19998815867067
ENST00000513868.6	127932027:127932029	0	2.19998815867067
ENST00000513868.6	128038916:128038918	0	2.19998815867067
ENST00000513868.6	127881800:127881802	0	2.19998815867067
ENST00000513868.6	128080302:128080304	0	2.19998815867067
ENST00000513868.6	128049587:128049589	0	2.19998815867067
ENST00000513868.6	128048447:128048449	0	2.19998815867067
ENST00000513868.6	127989161:127989163	0	2.19998815867067
ENST00000513868.6	127902455:127902457	0	2.19998815867067
ENST00000513868.6	127819908:127819910	0	2.19998815867067
ENST00000513868.6	127996560:127996562	0	2.19998815867067
ENST00000513868.6	128096520:128096522	0	2.19998815867067
ENST00000513868.6	128074069:128074071	0	2.19998815867067
ENST00000517790.2	(Intercept)	-8.06073336264653	2.0210406501448
ENST00000517790.2	127818899:127818901	0	2.0210406501448
ENST00000517790.2	127882061:127882063	0	2.0210406501448
ENST00000517790.2	128100979:128100981	0	2.0210406501448
ENST00000517790.2	127803149:127803151	0	2.0210406501448
ENST00000517790.2	128082752:128082754	0	2.0210406501448
ENST00000517790.2	127854727:127854729	0	2.0210406501448
ENST00000517790.2	128069068:128069070	0	2.0210406501448
ENST00000517790.2	128099369:128099371	0	2.0210406501448
ENST00000517790.2	128031057:128031059	0	2.0210406501448
ENST00000517790.2	127855154:127855156	0	2.0210406501448
ENST00000517790.2	128031958:128031960	0	2.0210406501448
ENST00000517790.2	128074072:128074074	0	2.0210406501448
ENST00000517790.2	127816827:127816829	0	2.0210406501448
ENST00000517790.2	127851933:127851935	0	2.0210406501448
ENST00000517790.2	127932464:127932466	0	2.0210406501448
ENST00000517790.2	128070161:128070163	0	2.0210406501448
ENST00000517790.2	128070159:128070161	0	2.0210406501448
ENST00000517790.2	127890588:127890590	0	2.0210406501448
ENST00000517790.2	128049584:128049586	0	2.0210406501448
ENST00000517790.2	128096517:128096519	0	2.0210406501448
ENST00000517790.2	127932052:127932054	0	2.0210406501448
ENST00000517790.2	127855162:127855164	0	2.0210406501448
ENST00000517790.2	127932027:127932029	0	2.0210406501448
ENST00000517790.2	128038916:128038918	0	2.0210406501448
ENST00000517790.2	127881800:127881802	0	2.0210406501448
ENST00000517790.2	128080302:128080304	0	2.0210406501448
ENST00000517790.2	128049587:128049589	0	2.0210406501448
ENST00000517790.2	128048447:128048449	0	2.0210406501448
ENST00000517790.2	127989161:127989163	0	2.0210406501448
ENST00000517790.2	127902455:127902457	0	2.0210406501448
ENST00000517790.2	127819908:127819910	0	2.0210406501448
ENST00000517790.2	127996560:127996562	0	2.0210406501448
ENST00000517790.2	128096520:128096522	0	2.0210406501448
ENST00000517790.2	128074069:128074071	0	2.0210406501448
ENST00000517838.6	(Intercept)	13.231494614613	2.08854813051326
ENST00000517838.6	127818899:127818901	0	2.08854813051326
ENST00000517838.6	127882061:127882063	0	2.08854813051326
ENST00000517838.6	128100979:128100981	0	2.08854813051326
ENST00000517838.6	127803149:127803151	0	2.08854813051326
ENST00000517838.6	128082752:128082754	0	2.08854813051326
ENST00000517838.6	127854727:127854729	0	2.08854813051326
ENST00000517838.6	128069068:128069070	-11.401327579592	2.08854813051326
ENST00000517838.6	128099369:128099371	0	2.08854813051326
ENST00000517838.6	128031057:128031059	0	2.08854813051326
