Subtype	SpliceSite	Metric	P_value	File
Her2	ENST00000656999:1	PFI	0.0044	salmon/PFI/Her2/0_5/PFI_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000662766:1	PFI	0.0072	salmon/PFI/LumA/0_5/PFI_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000662766:1	DSS	0.01	salmon/DSS/LumA/0_5/DSS_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000656999:1	DFI	0.0146	salmon/DFI/Her2/0_5/DFI_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000662766:1	OS	0.0159	salmon/OS/LumA/0_5/OS_ENST00000662766:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000656999:1	DSS	0.034	salmon/DSS/Her2/0_5/DSS_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000671092:1	PFI	0.0344	salmon/PFI/LumB/0_5/PFI_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000671092:1	DSS	0.04	salmon/DSS/LumB/0_5/DSS_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000664214:1	OS	0.0531	salmon/OS/LumA/0_5/OS_ENST00000664214:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000656999:1	DSS	0.0583	salmon/DSS/LumA/0_5/DSS_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000671092:1	PFI	0.0615	salmon/PFI/LumA/0_5/PFI_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000657289:1	DSS	0.0631	salmon/DSS/Her2/0_5/DSS_ENST00000657289:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000668098:1	DFI	0.0633	salmon/DFI/LumA/0_5/DFI_ENST00000668098:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000690350:1	PFI	0.0679	salmon/PFI/Her2/0_5/PFI_ENST00000690350:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000671092:1	DSS	0.0731	salmon/DSS/Her2/0_5/DSS_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
LumA	ENST00000671092:1	DSS	0.0771	salmon/DSS/LumA/0_5/DSS_ENST00000671092:1_SalmonTPM_KaplanMeier.pdf
Her2	ENST00000658305:1	PFI	0.0841	salmon/PFI/Her2/0_5/PFI_ENST00000658305:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000667630:1	DFI	0.0844	salmon/DFI/LumB/0_5/DFI_ENST00000667630:1_SalmonTPM_KaplanMeier.pdf
LumB	ENST00000656999:1	DFI	0.0851	salmon/DFI/LumB/0_5/DFI_ENST00000656999:1_SalmonTPM_KaplanMeier.pdf
