Gene	Term	GLMNET_coefficients	lambda_min
ENST00000504719.7	(Intercept)	-20.2639355743454	0.557296362597468
ENST00000504719.7	127818899:127818901	0	0.557296362597468
ENST00000504719.7	127882061:127882063	0	0.557296362597468
ENST00000504719.7	128100979:128100981	0.253994225481363	0.557296362597468
ENST00000504719.7	127803149:127803151	0	0.557296362597468
ENST00000504719.7	128082752:128082754	0	0.557296362597468
ENST00000504719.7	127854727:127854729	0	0.557296362597468
ENST00000504719.7	128069068:128069070	0	0.557296362597468
ENST00000504719.7	128099369:128099371	0	0.557296362597468
ENST00000504719.7	128031057:128031059	0	0.557296362597468
ENST00000504719.7	127855154:127855156	0	0.557296362597468
ENST00000504719.7	128031958:128031960	0	0.557296362597468
ENST00000504719.7	128074072:128074074	0	0.557296362597468
ENST00000504719.7	127816827:127816829	0	0.557296362597468
ENST00000504719.7	127851933:127851935	0	0.557296362597468
ENST00000504719.7	127932464:127932466	0	0.557296362597468
ENST00000504719.7	128070161:128070163	-3.28485007642124	0.557296362597468
ENST00000504719.7	128070159:128070161	0	0.557296362597468
ENST00000504719.7	127890588:127890590	0	0.557296362597468
ENST00000504719.7	128049584:128049586	-1.53518963602075	0.557296362597468
ENST00000504719.7	128096517:128096519	0	0.557296362597468
ENST00000504719.7	127932052:127932054	0	0.557296362597468
ENST00000504719.7	127855162:127855164	-1.29458336935378	0.557296362597468
ENST00000504719.7	127932027:127932029	0	0.557296362597468
ENST00000504719.7	128038916:128038918	0	0.557296362597468
ENST00000504719.7	127881800:127881802	13.2263786060043	0.557296362597468
ENST00000504719.7	128080302:128080304	-1.04546914810582	0.557296362597468
ENST00000504719.7	128049587:128049589	0	0.557296362597468
ENST00000504719.7	128048447:128048449	0	0.557296362597468
ENST00000504719.7	127989161:127989163	0	0.557296362597468
ENST00000504719.7	127902455:127902457	5.11185623002615	0.557296362597468
ENST00000504719.7	127819908:127819910	0	0.557296362597468
ENST00000504719.7	127996560:127996562	0	0.557296362597468
ENST00000504719.7	128096520:128096522	-1.57925940140156	0.557296362597468
ENST00000504719.7	128074069:128074071	0	0.557296362597468
ENST00000512617.7	(Intercept)	-14.9174309164376	0.328772698097777
ENST00000512617.7	127818899:127818901	0	0.328772698097777
ENST00000512617.7	127882061:127882063	0	0.328772698097777
ENST00000512617.7	128100979:128100981	0	0.328772698097777
ENST00000512617.7	127803149:127803151	0	0.328772698097777
ENST00000512617.7	128082752:128082754	0	0.328772698097777
ENST00000512617.7	127854727:127854729	0	0.328772698097777
ENST00000512617.7	128069068:128069070	0	0.328772698097777
ENST00000512617.7	128099369:128099371	0	0.328772698097777
ENST00000512617.7	128031057:128031059	0	0.328772698097777
ENST00000512617.7	127855154:127855156	0	0.328772698097777
ENST00000512617.7	128031958:128031960	0	0.328772698097777
ENST00000512617.7	128074072:128074074	0	0.328772698097777
ENST00000512617.7	127816827:127816829	0	0.328772698097777
ENST00000512617.7	127851933:127851935	0	0.328772698097777
ENST00000512617.7	127932464:127932466	0	0.328772698097777
ENST00000512617.7	128070161:128070163	0	0.328772698097777
ENST00000512617.7	128070159:128070161	0	0.328772698097777
ENST00000512617.7	127890588:127890590	0	0.328772698097777
ENST00000512617.7	128049584:128049586	0	0.328772698097777
ENST00000512617.7	128096517:128096519	0	0.328772698097777
ENST00000512617.7	127932052:127932054	0	0.328772698097777
ENST00000512617.7	127855162:127855164	0	0.328772698097777
ENST00000512617.7	127932027:127932029	0	0.328772698097777
ENST00000512617.7	128038916:128038918	0	0.328772698097777
ENST00000512617.7	127881800:127881802	0	0.328772698097777
ENST00000512617.7	128080302:128080304	0	0.328772698097777
ENST00000512617.7	128049587:128049589	0	0.328772698097777
ENST00000512617.7	128048447:128048449	0	0.328772698097777
ENST00000512617.7	127989161:127989163	3.98415885806284	0.328772698097777
ENST00000512617.7	127902455:127902457	0	0.328772698097777
ENST00000512617.7	127819908:127819910	0	0.328772698097777
ENST00000512617.7	127996560:127996562	0	0.328772698097777
ENST00000512617.7	128096520:128096522	0	0.328772698097777
ENST00000512617.7	128074069:128074071	0	0.328772698097777
ENST00000513868.6	(Intercept)	-2.9842550857421	1.35221120604266
ENST00000513868.6	127818899:127818901	0	1.35221120604266
ENST00000513868.6	127882061:127882063	0	1.35221120604266
ENST00000513868.6	128100979:128100981	0	1.35221120604266
ENST00000513868.6	127803149:127803151	0	1.35221120604266
ENST00000513868.6	128082752:128082754	0	1.35221120604266
ENST00000513868.6	127854727:127854729	0	1.35221120604266
ENST00000513868.6	128069068:128069070	0	1.35221120604266
ENST00000513868.6	128099369:128099371	0	1.35221120604266
ENST00000513868.6	128031057:128031059	0	1.35221120604266
ENST00000513868.6	127855154:127855156	0	1.35221120604266
ENST00000513868.6	128031958:128031960	0	1.35221120604266
ENST00000513868.6	128074072:128074074	0	1.35221120604266
ENST00000513868.6	127816827:127816829	0	1.35221120604266
ENST00000513868.6	127851933:127851935	0	1.35221120604266
ENST00000513868.6	127932464:127932466	0	1.35221120604266
ENST00000513868.6	128070161:128070163	0	1.35221120604266
ENST00000513868.6	128070159:128070161	0	1.35221120604266
ENST00000513868.6	127890588:127890590	0	1.35221120604266
ENST00000513868.6	128049584:128049586	0	1.35221120604266
ENST00000513868.6	128096517:128096519	0	1.35221120604266
ENST00000513868.6	127932052:127932054	0	1.35221120604266
ENST00000513868.6	127855162:127855164	0	1.35221120604266
ENST00000513868.6	127932027:127932029	0	1.35221120604266
ENST00000513868.6	128038916:128038918	0	1.35221120604266
ENST00000513868.6	127881800:127881802	0	1.35221120604266
ENST00000513868.6	128080302:128080304	0	1.35221120604266
ENST00000513868.6	128049587:128049589	0	1.35221120604266
ENST00000513868.6	128048447:128048449	0	1.35221120604266
ENST00000513868.6	127989161:127989163	0	1.35221120604266
ENST00000513868.6	127902455:127902457	0	1.35221120604266
ENST00000513868.6	127819908:127819910	0	1.35221120604266
ENST00000513868.6	127996560:127996562	0	1.35221120604266
ENST00000513868.6	128096520:128096522	0	1.35221120604266
ENST00000513868.6	128074069:128074071	0	1.35221120604266
ENST00000517790.2	(Intercept)	-6.04108989181317	0.519599929091019
ENST00000517790.2	127818899:127818901	0	0.519599929091019
ENST00000517790.2	127882061:127882063	0	0.519599929091019
ENST00000517790.2	128100979:128100981	5.16985834811238	0.519599929091019
ENST00000517790.2	127803149:127803151	11.581606244554	0.519599929091019
ENST00000517790.2	128082752:128082754	0	0.519599929091019
ENST00000517790.2	127854727:127854729	0	0.519599929091019
ENST00000517790.2	128069068:128069070	0	0.519599929091019
ENST00000517790.2	128099369:128099371	0	0.519599929091019
ENST00000517790.2	128031057:128031059	-0.980362942314004	0.519599929091019
ENST00000517790.2	127855154:127855156	0	0.519599929091019
ENST00000517790.2	128031958:128031960	0	0.519599929091019
ENST00000517790.2	128074072:128074074	0	0.519599929091019
ENST00000517790.2	127816827:127816829	0	0.519599929091019
ENST00000517790.2	127851933:127851935	0	0.519599929091019
ENST00000517790.2	127932464:127932466	2.16114219685939	0.519599929091019
ENST00000517790.2	128070161:128070163	0	0.519599929091019
ENST00000517790.2	128070159:128070161	0	0.519599929091019
ENST00000517790.2	127890588:127890590	0	0.519599929091019
ENST00000517790.2	128049584:128049586	0	0.519599929091019
ENST00000517790.2	128096517:128096519	0	0.519599929091019
ENST00000517790.2	127932052:127932054	0	0.519599929091019
ENST00000517790.2	127855162:127855164	0	0.519599929091019
ENST00000517790.2	127932027:127932029	0	0.519599929091019
ENST00000517790.2	128038916:128038918	-1.05510063645199	0.519599929091019
ENST00000517790.2	127881800:127881802	-10.3293550315955	0.519599929091019
ENST00000517790.2	128080302:128080304	-8.18906956219612	0.519599929091019
ENST00000517790.2	128049587:128049589	0	0.519599929091019
ENST00000517790.2	128048447:128048449	0	0.519599929091019
ENST00000517790.2	127989161:127989163	0	0.519599929091019
ENST00000517790.2	127902455:127902457	0	0.519599929091019
ENST00000517790.2	127819908:127819910	0	0.519599929091019
ENST00000517790.2	127996560:127996562	0	0.519599929091019
ENST00000517790.2	128096520:128096522	0	0.519599929091019
ENST00000517790.2	128074069:128074071	0	0.519599929091019
ENST00000517838.6	(Intercept)	-90.5867922337579	0.601451953765781
ENST00000517838.6	127818899:127818901	0	0.601451953765781
ENST00000517838.6	127882061:127882063	25.8336831533431	0.601451953765781
ENST00000517838.6	128100979:128100981	-0.107524278992404	0.601451953765781
ENST00000517838.6	127803149:127803151	0	0.601451953765781
ENST00000517838.6	128082752:128082754	0	0.601451953765781
ENST00000517838.6	127854727:127854729	27.1987976139492	0.601451953765781
ENST00000517838.6	128069068:128069070	-7.80482881749655	0.601451953765781
ENST00000517838.6	128099369:128099371	0	0.601451953765781
ENST00000517838.6	128031057:128031059	0	0.601451953765781
ENST00000517838.6	127855154:127855156	0	0.601451953765781
ENST00000517838.6	128031958:128031960	0	0.601451953765781
ENST00000517838.6	128074072:128074074	0	0.601451953765781
ENST00000517838.6	127816827:127816829	0	0.601451953765781
ENST00000517838.6	127851933:127851935	0	0.601451953765781
ENST00000517838.6	127932464:127932466	35.6286839560258	0.601451953765781
ENST00000517838.6	128070161:128070163	0	0.601451953765781
ENST00000517838.6	128070159:128070161	0	0.601451953765781
ENST00000517838.6	127890588:127890590	-2.36666828780267	0.601451953765781
ENST00000517838.6	128049584:128049586	0	0.601451953765781
ENST00000517838.6	128096517:128096519	0	0.601451953765781
ENST00000517838.6	127932052:127932054	0	0.601451953765781
ENST00000517838.6	127855162:127855164	0	0.601451953765781
ENST00000517838.6	127932027:127932029	0	0.601451953765781
ENST00000517838.6	128038916:128038918	0	0.601451953765781
ENST00000517838.6	127881800:127881802	0	0.601451953765781
ENST00000517838.6	128080302:128080304	6.79412416133817	0.601451953765781
ENST00000517838.6	128049587:128049589	6.99307002057422	0.601451953765781
ENST00000517838.6	128048447:128048449	0	0.601451953765781
ENST00000517838.6	127989161:127989163	0	0.601451953765781
ENST00000517838.6	127902455:127902457	5.42531649623382	0.601451953765781
ENST00000517838.6	127819908:127819910	0.798344513488005	0.601451953765781
ENST00000517838.6	127996560:127996562	-3.84753561553165	0.601451953765781
ENST00000517838.6	128096520:128096522	-5.78145212539361	0.601451953765781
ENST00000517838.6	128074069:128074071	0	0.601451953765781
ENST00000518528.2	(Intercept)	32.3605082179919	0.712240414374427
ENST00000518528.2	127818899:127818901	7.06056864390654	0.712240414374427
ENST00000518528.2	127882061:127882063	0	0.712240414374427
ENST00000518528.2	128100979:128100981	-3.02947339252634	0.712240414374427
ENST00000518528.2	127803149:127803151	0	0.712240414374427
ENST00000518528.2	128082752:128082754	0	0.712240414374427
ENST00000518528.2	127854727:127854729	6.96590093783636	0.712240414374427
ENST00000518528.2	128069068:128069070	0	0.712240414374427
ENST00000518528.2	128099369:128099371	4.57385531349291	0.712240414374427
ENST00000518528.2	128031057:128031059	0.229982858374781	0.712240414374427
ENST00000518528.2	127855154:127855156	0	0.712240414374427
ENST00000518528.2	128031958:128031960	0	0.712240414374427
ENST00000518528.2	128074072:128074074	7.91351115217094	0.712240414374427
ENST00000518528.2	127816827:127816829	0	0.712240414374427
ENST00000518528.2	127851933:127851935	0	0.712240414374427
ENST00000518528.2	127932464:127932466	-1.11989035383345	0.712240414374427
ENST00000518528.2	128070161:128070163	2.85508111285214	0.712240414374427
ENST00000518528.2	128070159:128070161	0	0.712240414374427
ENST00000518528.2	127890588:127890590	-3.44784728889539	0.712240414374427
ENST00000518528.2	128049584:128049586	0	0.712240414374427
ENST00000518528.2	128096517:128096519	0	0.712240414374427
ENST00000518528.2	127932052:127932054	0	0.712240414374427
ENST00000518528.2	127855162:127855164	0	0.712240414374427
ENST00000518528.2	127932027:127932029	0	0.712240414374427
ENST00000518528.2	128038916:128038918	0	0.712240414374427
ENST00000518528.2	127881800:127881802	-61.2218386478338	0.712240414374427
ENST00000518528.2	128080302:128080304	0	0.712240414374427
ENST00000518528.2	128049587:128049589	0	0.712240414374427
ENST00000518528.2	128048447:128048449	0	0.712240414374427
ENST00000518528.2	127989161:127989163	0	0.712240414374427
ENST00000518528.2	127902455:127902457	0	0.712240414374427
ENST00000518528.2	127819908:127819910	0	0.712240414374427
ENST00000518528.2	127996560:127996562	0	0.712240414374427
ENST00000518528.2	128096520:128096522	0	0.712240414374427
ENST00000518528.2	128074069:128074071	0	0.712240414374427
ENST00000520913.2	(Intercept)	-8.94943032796104	0.960199563823156
ENST00000520913.2	127818899:127818901	0	0.960199563823156
ENST00000520913.2	127882061:127882063	0	0.960199563823156
ENST00000520913.2	128100979:128100981	0	0.960199563823156
ENST00000520913.2	127803149:127803151	0	0.960199563823156
ENST00000520913.2	128082752:128082754	0	0.960199563823156
ENST00000520913.2	127854727:127854729	11.0068862848903	0.960199563823156
ENST00000520913.2	128069068:128069070	0	0.960199563823156
ENST00000520913.2	128099369:128099371	0	0.960199563823156
ENST00000520913.2	128031057:128031059	0.737389014655338	0.960199563823156
ENST00000520913.2	127855154:127855156	0	0.960199563823156
ENST00000520913.2	128031958:128031960	0	0.960199563823156
ENST00000520913.2	128074072:128074074	0	0.960199563823156
ENST00000520913.2	127816827:127816829	0	0.960199563823156
ENST00000520913.2	127851933:127851935	0	0.960199563823156
ENST00000520913.2	127932464:127932466	-11.2515385047799	0.960199563823156
ENST00000520913.2	128070161:128070163	0	0.960199563823156
ENST00000520913.2	128070159:128070161	0	0.960199563823156
ENST00000520913.2	127890588:127890590	0	0.960199563823156
ENST00000520913.2	128049584:128049586	0	0.960199563823156
ENST00000520913.2	128096517:128096519	0	0.960199563823156
ENST00000520913.2	127932052:127932054	0	0.960199563823156
ENST00000520913.2	127855162:127855164	0	0.960199563823156
ENST00000520913.2	127932027:127932029	0	0.960199563823156
ENST00000520913.2	128038916:128038918	0	0.960199563823156
ENST00000520913.2	127881800:127881802	0	0.960199563823156
ENST00000520913.2	128080302:128080304	0	0.960199563823156
ENST00000520913.2	128049587:128049589	0	0.960199563823156
ENST00000520913.2	128048447:128048449	0	0.960199563823156
ENST00000520913.2	127989161:127989163	0	0.960199563823156
ENST00000520913.2	127902455:127902457	0	0.960199563823156
ENST00000520913.2	127819908:127819910	0	0.960199563823156
ENST00000520913.2	127996560:127996562	0	0.960199563823156
ENST00000520913.2	128096520:128096522	0	0.960199563823156
ENST00000520913.2	128074069:128074071	1.58656212347351	0.960199563823156
ENST00000521122.2	(Intercept)	76.6530915182605	0.818889943988014
ENST00000521122.2	127818899:127818901	0	0.818889943988014
ENST00000521122.2	127882061:127882063	0	0.818889943988014
ENST00000521122.2	128100979:128100981	0	0.818889943988014
ENST00000521122.2	127803149:127803151	0	0.818889943988014
ENST00000521122.2	128082752:128082754	0	0.818889943988014
ENST00000521122.2	127854727:127854729	-18.6889103562717	0.818889943988014
ENST00000521122.2	128069068:128069070	0	0.818889943988014
ENST00000521122.2	128099369:128099371	0	0.818889943988014
ENST00000521122.2	128031057:128031059	0	0.818889943988014
ENST00000521122.2	127855154:127855156	-49.0417139976646	0.818889943988014
ENST00000521122.2	128031958:128031960	-7.03552570070872	0.818889943988014
ENST00000521122.2	128074072:128074074	0	0.818889943988014
ENST00000521122.2	127816827:127816829	-5.34174909313837	0.818889943988014
ENST00000521122.2	127851933:127851935	0	0.818889943988014
ENST00000521122.2	127932464:127932466	0	0.818889943988014
ENST00000521122.2	128070161:128070163	0	0.818889943988014
ENST00000521122.2	128070159:128070161	0	0.818889943988014
ENST00000521122.2	127890588:127890590	0	0.818889943988014
ENST00000521122.2	128049584:128049586	0	0.818889943988014
ENST00000521122.2	128096517:128096519	0	0.818889943988014
ENST00000521122.2	127932052:127932054	-1.93424369340444	0.818889943988014
ENST00000521122.2	127855162:127855164	0	0.818889943988014
ENST00000521122.2	127932027:127932029	0	0.818889943988014
ENST00000521122.2	128038916:128038918	0	0.818889943988014
ENST00000521122.2	127881800:127881802	0	0.818889943988014
ENST00000521122.2	128080302:128080304	0	0.818889943988014
ENST00000521122.2	128049587:128049589	0	0.818889943988014
ENST00000521122.2	128048447:128048449	0	0.818889943988014
ENST00000521122.2	127989161:127989163	0	0.818889943988014
ENST00000521122.2	127902455:127902457	0	0.818889943988014
ENST00000521122.2	127819908:127819910	0	0.818889943988014
ENST00000521122.2	127996560:127996562	0	0.818889943988014
ENST00000521122.2	128096520:128096522	0	0.818889943988014
ENST00000521122.2	128074069:128074071	0	0.818889943988014
ENST00000521600.5	(Intercept)	-10.6953745510896	0.393266893773035
ENST00000521600.5	127818899:127818901	0	0.393266893773035
ENST00000521600.5	127882061:127882063	0	0.393266893773035
ENST00000521600.5	128100979:128100981	0	0.393266893773035
ENST00000521600.5	127803149:127803151	0	0.393266893773035
ENST00000521600.5	128082752:128082754	0	0.393266893773035
ENST00000521600.5	127854727:127854729	-2.74860355410026e-15	0.393266893773035
ENST00000521600.5	128069068:128069070	0	0.393266893773035
ENST00000521600.5	128099369:128099371	0	0.393266893773035
ENST00000521600.5	128031057:128031059	0	0.393266893773035
ENST00000521600.5	127855154:127855156	0	0.393266893773035
ENST00000521600.5	128031958:128031960	0	0.393266893773035
ENST00000521600.5	128074072:128074074	0	0.393266893773035
ENST00000521600.5	127816827:127816829	0	0.393266893773035
ENST00000521600.5	127851933:127851935	0	0.393266893773035
ENST00000521600.5	127932464:127932466	0	0.393266893773035
ENST00000521600.5	128070161:128070163	0	0.393266893773035
ENST00000521600.5	128070159:128070161	0	0.393266893773035
ENST00000521600.5	127890588:127890590	0	0.393266893773035
ENST00000521600.5	128049584:128049586	0	0.393266893773035
ENST00000521600.5	128096517:128096519	0	0.393266893773035
ENST00000521600.5	127932052:127932054	0	0.393266893773035
ENST00000521600.5	127855162:127855164	0	0.393266893773035
ENST00000521600.5	127932027:127932029	0	0.393266893773035
ENST00000521600.5	128038916:128038918	0	0.393266893773035
ENST00000521600.5	127881800:127881802	0	0.393266893773035
ENST00000521600.5	128080302:128080304	0	0.393266893773035
ENST00000521600.5	128049587:128049589	0	0.393266893773035
ENST00000521600.5	128048447:128048449	0	0.393266893773035
ENST00000521600.5	127989161:127989163	0	0.393266893773035
ENST00000521600.5	127902455:127902457	0	0.393266893773035
ENST00000521600.5	127819908:127819910	0	0.393266893773035
ENST00000521600.5	127996560:127996562	0	0.393266893773035
ENST00000521600.5	128096520:128096522	0	0.393266893773035
ENST00000521600.5	128074069:128074071	0	0.393266893773035
ENST00000521951.1	(Intercept)	39.6108728282015	0.402321902456677
ENST00000521951.1	127818899:127818901	0	0.402321902456677
ENST00000521951.1	127882061:127882063	29.0598423711372	0.402321902456677
ENST00000521951.1	128100979:128100981	0	0.402321902456677
ENST00000521951.1	127803149:127803151	0	0.402321902456677
ENST00000521951.1	128082752:128082754	0	0.402321902456677
ENST00000521951.1	127854727:127854729	0	0.402321902456677
ENST00000521951.1	128069068:128069070	0	0.402321902456677
ENST00000521951.1	128099369:128099371	-1.50009974056552	0.402321902456677
ENST00000521951.1	128031057:128031059	0	0.402321902456677
ENST00000521951.1	127855154:127855156	-5.46832423092803	0.402321902456677
ENST00000521951.1	128031958:128031960	-0.660880923386698	0.402321902456677
ENST00000521951.1	128074072:128074074	-7.67761302286397	0.402321902456677
ENST00000521951.1	127816827:127816829	-30.0020047842799	0.402321902456677
ENST00000521951.1	127851933:127851935	0	0.402321902456677
ENST00000521951.1	127932464:127932466	10.975291971531	0.402321902456677
ENST00000521951.1	128070161:128070163	0	0.402321902456677
ENST00000521951.1	128070159:128070161	0	0.402321902456677
ENST00000521951.1	127890588:127890590	0	0.402321902456677
ENST00000521951.1	128049584:128049586	1.11176472403428	0.402321902456677
ENST00000521951.1	128096517:128096519	-3.29313279118475	0.402321902456677
ENST00000521951.1	127932052:127932054	0	0.402321902456677
ENST00000521951.1	127855162:127855164	0	0.402321902456677
