Gene	Term	GLMNET_coefficients	lambda_min
ENST00000504719.7	(Intercept)	3.30262071295221	1.50369319250214
ENST00000504719.7	127818899:127818901	0	1.50369319250214
ENST00000504719.7	127882061:127882063	0	1.50369319250214
ENST00000504719.7	128100979:128100981	0	1.50369319250214
ENST00000504719.7	127803149:127803151	0	1.50369319250214
ENST00000504719.7	128082752:128082754	0	1.50369319250214
ENST00000504719.7	127854727:127854729	0	1.50369319250214
ENST00000504719.7	128069068:128069070	0	1.50369319250214
ENST00000504719.7	128099369:128099371	0	1.50369319250214
ENST00000504719.7	128031057:128031059	0	1.50369319250214
ENST00000504719.7	127855154:127855156	0	1.50369319250214
ENST00000504719.7	128031958:128031960	0	1.50369319250214
ENST00000504719.7	128074072:128074074	0	1.50369319250214
ENST00000504719.7	127816827:127816829	0	1.50369319250214
ENST00000504719.7	127851933:127851935	0	1.50369319250214
ENST00000504719.7	127932464:127932466	0	1.50369319250214
ENST00000504719.7	128070161:128070163	0	1.50369319250214
ENST00000504719.7	128070159:128070161	0	1.50369319250214
ENST00000504719.7	127890588:127890590	0	1.50369319250214
ENST00000504719.7	128049584:128049586	0	1.50369319250214
ENST00000504719.7	128096517:128096519	0	1.50369319250214
ENST00000504719.7	127932052:127932054	0	1.50369319250214
ENST00000504719.7	127855162:127855164	-13.3789926349444	1.50369319250214
ENST00000504719.7	127932027:127932029	0	1.50369319250214
ENST00000504719.7	128038916:128038918	0	1.50369319250214
ENST00000504719.7	127881800:127881802	0	1.50369319250214
ENST00000504719.7	128080302:128080304	0	1.50369319250214
ENST00000504719.7	128049587:128049589	0	1.50369319250214
ENST00000504719.7	128048447:128048449	0	1.50369319250214
ENST00000504719.7	127989161:127989163	0	1.50369319250214
ENST00000504719.7	127902455:127902457	0	1.50369319250214
ENST00000504719.7	127819908:127819910	0	1.50369319250214
ENST00000504719.7	127996560:127996562	0	1.50369319250214
ENST00000504719.7	128096520:128096522	0	1.50369319250214
ENST00000504719.7	128074069:128074071	0	1.50369319250214
ENST00000512617.7	(Intercept)	-21.0109198772667	0.249146013065547
ENST00000512617.7	127818899:127818901	0	0.249146013065547
ENST00000512617.7	127882061:127882063	0	0.249146013065547
ENST00000512617.7	128100979:128100981	2.66777684715361	0.249146013065547
ENST00000512617.7	127803149:127803151	0	0.249146013065547
ENST00000512617.7	128082752:128082754	0	0.249146013065547
ENST00000512617.7	127854727:127854729	0	0.249146013065547
ENST00000512617.7	128069068:128069070	0	0.249146013065547
ENST00000512617.7	128099369:128099371	1.65921193404688	0.249146013065547
ENST00000512617.7	128031057:128031059	0	0.249146013065547
ENST00000512617.7	127855154:127855156	0	0.249146013065547
ENST00000512617.7	128031958:128031960	0	0.249146013065547
ENST00000512617.7	128074072:128074074	0	0.249146013065547
ENST00000512617.7	127816827:127816829	0	0.249146013065547
ENST00000512617.7	127851933:127851935	0	0.249146013065547
ENST00000512617.7	127932464:127932466	2.47641065593665	0.249146013065547
ENST00000512617.7	128070161:128070163	0	0.249146013065547
ENST00000512617.7	128070159:128070161	0	0.249146013065547
ENST00000512617.7	127890588:127890590	0	0.249146013065547
ENST00000512617.7	128049584:128049586	0	0.249146013065547
ENST00000512617.7	128096517:128096519	1.89972542810094	0.249146013065547
ENST00000512617.7	127932052:127932054	2.32936439405712	0.249146013065547
ENST00000512617.7	127855162:127855164	0	0.249146013065547
ENST00000512617.7	127932027:127932029	0	0.249146013065547
ENST00000512617.7	128038916:128038918	0	0.249146013065547
ENST00000512617.7	127881800:127881802	0	0.249146013065547
ENST00000512617.7	128080302:128080304	0	0.249146013065547
ENST00000512617.7	128049587:128049589	0	0.249146013065547
ENST00000512617.7	128048447:128048449	0	0.249146013065547
ENST00000512617.7	127989161:127989163	0	0.249146013065547
ENST00000512617.7	127902455:127902457	0	0.249146013065547
ENST00000512617.7	127819908:127819910	0	0.249146013065547
ENST00000512617.7	127996560:127996562	0	0.249146013065547
ENST00000512617.7	128096520:128096522	0	0.249146013065547
ENST00000512617.7	128074069:128074071	0	0.249146013065547
ENST00000513868.6	(Intercept)	-47.5587593204643	1.4613744101662
ENST00000513868.6	127818899:127818901	0	1.4613744101662
ENST00000513868.6	127882061:127882063	0	1.4613744101662
ENST00000513868.6	128100979:128100981	0	1.4613744101662
ENST00000513868.6	127803149:127803151	0	1.4613744101662
ENST00000513868.6	128082752:128082754	0	1.4613744101662
ENST00000513868.6	127854727:127854729	0	1.4613744101662
ENST00000513868.6	128069068:128069070	0	1.4613744101662
ENST00000513868.6	128099369:128099371	0	1.4613744101662
ENST00000513868.6	128031057:128031059	0	1.4613744101662
ENST00000513868.6	127855154:127855156	0	1.4613744101662
ENST00000513868.6	128031958:128031960	0	1.4613744101662
ENST00000513868.6	128074072:128074074	0	1.4613744101662
ENST00000513868.6	127816827:127816829	35.087118608149	1.4613744101662
ENST00000513868.6	127851933:127851935	10.9996353941942	1.4613744101662
ENST00000513868.6	127932464:127932466	2.86839442525757	1.4613744101662
ENST00000513868.6	128070161:128070163	0	1.4613744101662
ENST00000513868.6	128070159:128070161	6.13109790417193	1.4613744101662
ENST00000513868.6	127890588:127890590	-12.8443418496555	1.4613744101662
ENST00000513868.6	128049584:128049586	0	1.4613744101662
ENST00000513868.6	128096517:128096519	0	1.4613744101662
