Subtype	SpliceSite	Metric	P_value	File
Tumor	128074072:128074074	DFI	0.0035	DFI/Tumor/DFI_128074072:128074074_KaplanMeier.pdf
Tumor	127855154:127855156	DFI	0.004	DFI/Tumor/DFI_127855154:127855156_KaplanMeier.pdf
Tumor	128074069:128074071	DFI	0.0056	DFI/Tumor/DFI_128074069:128074071_KaplanMeier.pdf
Tumor	128074069:128074071	PFI	0.006	PFI/Tumor/PFI_128074069:128074071_KaplanMeier.pdf
Tumor	128074072:128074074	PFI	0.0131	PFI/Tumor/PFI_128074072:128074074_KaplanMeier.pdf
Tumor	127902455:127902457	OS	0.0213	OS/Tumor/OS_127902455:127902457_KaplanMeier.pdf
Tumor	127996560:127996562	OS	0.0262	OS/Tumor/OS_127996560:127996562_KaplanMeier.pdf
Tumor	127996560:127996562	DSS	0.0358	DSS/Tumor/DSS_127996560:127996562_KaplanMeier.pdf
Tumor	128080302:128080304	DFI	0.0478	DFI/Tumor/DFI_128080302:128080304_KaplanMeier.pdf
Tumor	127902455:127902457	DSS	0.0537	DSS/Tumor/DSS_127902455:127902457_KaplanMeier.pdf
Tumor	127855154:127855156	PFI	0.0709	PFI/Tumor/PFI_127855154:127855156_KaplanMeier.pdf
Tumor	127996560:127996562	DFI	0.0819	DFI/Tumor/DFI_127996560:127996562_KaplanMeier.pdf
Tumor	128048447:128048449	DFI	0.1173	DFI/Tumor/DFI_128048447:128048449_KaplanMeier.pdf
Tumor	128031958:128031960	DSS	0.1179	DSS/Tumor/DSS_128031958:128031960_KaplanMeier.pdf
Tumor	128074069:128074071	OS	0.1257	OS/Tumor/OS_128074069:128074071_KaplanMeier.pdf
Tumor	128080302:128080304	PFI	0.1408	PFI/Tumor/PFI_128080302:128080304_KaplanMeier.pdf
Tumor	127818899:127818901	DSS	0.1441	DSS/Tumor/DSS_127818899:127818901_KaplanMeier.pdf
Tumor	127932464:127932466	OS	0.1465	OS/Tumor/OS_127932464:127932466_KaplanMeier.pdf
Tumor	128095691:128095693	DFI	0.1484	DFI/Tumor/DFI_128095691:128095693_KaplanMeier.pdf
Tumor	127996560:127996562	PFI	0.1541	PFI/Tumor/PFI_127996560:127996562_KaplanMeier.pdf
Tumor	127818899:127818901	OS	0.1673	OS/Tumor/OS_127818899:127818901_KaplanMeier.pdf
Tumor	128070159:128070161	PFI	0.1874	PFI/Tumor/PFI_128070159:128070161_KaplanMeier.pdf
Tumor	128074069:128074071	DSS	0.1965	DSS/Tumor/DSS_128074069:128074071_KaplanMeier.pdf
Tumor	127881800:127881802	PFI	0.2014	PFI/Tumor/PFI_127881800:127881802_KaplanMeier.pdf
Tumor	127851933:127851935	PFI	0.2119	PFI/Tumor/PFI_127851933:127851935_KaplanMeier.pdf
Tumor	128096517:128096519	DSS	0.2204	DSS/Tumor/DSS_128096517:128096519_KaplanMeier.pdf
Tumor	128031958:128031960	PFI	0.2293	PFI/Tumor/PFI_128031958:128031960_KaplanMeier.pdf
Tumor	127818899:127818901	DFI	0.2478	DFI/Tumor/DFI_127818899:127818901_KaplanMeier.pdf
Tumor	128069068:128069070	OS	0.2608	OS/Tumor/OS_128069068:128069070_KaplanMeier.pdf
Tumor	127998911:127998913	DFI	0.261	DFI/Tumor/DFI_127998911:127998913_KaplanMeier.pdf
Tumor	127851933:127851935	OS	0.2655	OS/Tumor/OS_127851933:127851935_KaplanMeier.pdf
Tumor	127932052:127932054	OS	0.2754	OS/Tumor/OS_127932052:127932054_KaplanMeier.pdf
Tumor	128099369:128099371	DFI	0.276	DFI/Tumor/DFI_128099369:128099371_KaplanMeier.pdf
Tumor	127902455:127902457	DFI	0.2947	DFI/Tumor/DFI_127902455:127902457_KaplanMeier.pdf
Tumor	127890588:127890590	DSS	0.3064	DSS/Tumor/DSS_127890588:127890590_KaplanMeier.pdf
Tumor	128096520:128096522	DFI	0.3208	DFI/Tumor/DFI_128096520:128096522_KaplanMeier.pdf
Tumor	128095691:128095693	PFI	0.3319	PFI/Tumor/PFI_128095691:128095693_KaplanMeier.pdf
Tumor	128038916:128038918	DSS	0.3323	DSS/Tumor/DSS_128038916:128038918_KaplanMeier.pdf
Tumor	128080302:128080304	DSS	0.3334	DSS/Tumor/DSS_128080302:128080304_KaplanMeier.pdf
Tumor	127816827:127816829	DSS	0.3345	DSS/Tumor/DSS_127816827:127816829_KaplanMeier.pdf
Tumor	128090247:128090249	OS	0.3382	OS/Tumor/OS_128090247:128090249_KaplanMeier.pdf
Tumor	128070161:128070163	DSS	0.3394	DSS/Tumor/DSS_128070161:128070163_KaplanMeier.pdf
Tumor	128070161:128070163	OS	0.3416	OS/Tumor/OS_128070161:128070163_KaplanMeier.pdf
Tumor	128070159:128070161	DFI	0.3498	DFI/Tumor/DFI_128070159:128070161_KaplanMeier.pdf
Tumor	127816827:127816829	PFI	0.3549	PFI/Tumor/PFI_127816827:127816829_KaplanMeier.pdf
Tumor	128100979:128100981	PFI	0.3695	PFI/Tumor/PFI_128100979:128100981_KaplanMeier.pdf
Tumor	128096517:128096519	PFI	0.3732	PFI/Tumor/PFI_128096517:128096519_KaplanMeier.pdf
Tumor	128099369:128099371	PFI	0.3789	PFI/Tumor/PFI_128099369:128099371_KaplanMeier.pdf
Tumor	128096517:128096519	OS	0.3805	OS/Tumor/OS_128096517:128096519_KaplanMeier.pdf
Tumor	127851933:127851935	DSS	0.3828	DSS/Tumor/DSS_127851933:127851935_KaplanMeier.pdf
Tumor	128080302:128080304	OS	0.3833	OS/Tumor/OS_128080302:128080304_KaplanMeier.pdf
Tumor	128090247:128090249	DFI	0.3849	DFI/Tumor/DFI_128090247:128090249_KaplanMeier.pdf
Tumor	127890588:127890590	DFI	0.388	DFI/Tumor/DFI_127890588:127890590_KaplanMeier.pdf
Tumor	128074072:128074074	DSS	0.3928	DSS/Tumor/DSS_128074072:128074074_KaplanMeier.pdf
Tumor	128074072:128074074	OS	0.3981	OS/Tumor/OS_128074072:128074074_KaplanMeier.pdf
Tumor	128095691:128095693	OS	0.4101	OS/Tumor/OS_128095691:128095693_KaplanMeier.pdf
Tumor	127855154:127855156	OS	0.4118	OS/Tumor/OS_127855154:127855156_KaplanMeier.pdf
Tumor	127881800:127881802	DSS	0.4201	DSS/Tumor/DSS_127881800:127881802_KaplanMeier.pdf
Tumor	127855162:127855164	OS	0.4202	OS/Tumor/OS_127855162:127855164_KaplanMeier.pdf
Tumor	128049587:128049589	DSS	0.4263	DSS/Tumor/DSS_128049587:128049589_KaplanMeier.pdf
Tumor	128096517:128096519	DFI	0.4342	DFI/Tumor/DFI_128096517:128096519_KaplanMeier.pdf
Tumor	127998911:127998913	PFI	0.4344	PFI/Tumor/PFI_127998911:127998913_KaplanMeier.pdf
Tumor	128090247:128090249	PFI	0.4385	PFI/Tumor/PFI_128090247:128090249_KaplanMeier.pdf
Tumor	127882061:127882063	OS	0.4477	OS/Tumor/OS_127882061:127882063_KaplanMeier.pdf
Tumor	128090247:128090249	DSS	0.4642	DSS/Tumor/DSS_128090247:128090249_KaplanMeier.pdf
Tumor	127855162:127855164	DFI	0.4698	DFI/Tumor/DFI_127855162:127855164_KaplanMeier.pdf
Tumor	128048447:128048449	PFI	0.4812	PFI/Tumor/PFI_128048447:128048449_KaplanMeier.pdf
Tumor	127855154:127855156	DSS	0.4843	DSS/Tumor/DSS_127855154:127855156_KaplanMeier.pdf
Tumor	128031958:128031960	DFI	0.4972	DFI/Tumor/DFI_128031958:128031960_KaplanMeier.pdf
Tumor	128049587:128049589	OS	0.4979	OS/Tumor/OS_128049587:128049589_KaplanMeier.pdf
Tumor	128069068:128069070	DSS	0.5021	DSS/Tumor/DSS_128069068:128069070_KaplanMeier.pdf
Tumor	127882061:127882063	PFI	0.5108	PFI/Tumor/PFI_127882061:127882063_KaplanMeier.pdf
Tumor	127998911:127998913	DSS	0.5121	DSS/Tumor/DSS_127998911:127998913_KaplanMeier.pdf
Tumor	128031958:128031960	OS	0.5177	OS/Tumor/OS_128031958:128031960_KaplanMeier.pdf
Tumor	128048447:128048449	OS	0.5449	OS/Tumor/OS_128048447:128048449_KaplanMeier.pdf
Tumor	127819908:127819910	DSS	0.5483	DSS/Tumor/DSS_127819908:127819910_KaplanMeier.pdf
Tumor	128031057:128031059	OS	0.5534	OS/Tumor/OS_128031057:128031059_KaplanMeier.pdf
Tumor	128070159:128070161	OS	0.5537	OS/Tumor/OS_128070159:128070161_KaplanMeier.pdf
Tumor	127816827:127816829	DFI	0.5596	DFI/Tumor/DFI_127816827:127816829_KaplanMeier.pdf
Tumor	128070161:128070163	PFI	0.561	PFI/Tumor/PFI_128070161:128070163_KaplanMeier.pdf
Tumor	127882061:127882063	DFI	0.5637	DFI/Tumor/DFI_127882061:127882063_KaplanMeier.pdf
Tumor	128096520:128096522	OS	0.5675	OS/Tumor/OS_128096520:128096522_KaplanMeier.pdf
Tumor	128049584:128049586	OS	0.5692	OS/Tumor/OS_128049584:128049586_KaplanMeier.pdf
Tumor	127854727:127854729	DFI	0.5754	DFI/Tumor/DFI_127854727:127854729_KaplanMeier.pdf
Tumor	128070159:128070161	DSS	0.5791	DSS/Tumor/DSS_128070159:128070161_KaplanMeier.pdf
Tumor	127854727:127854729	OS	0.581	OS/Tumor/OS_127854727:127854729_KaplanMeier.pdf
Tumor	127932027:127932029	DFI	0.5845	DFI/Tumor/DFI_127932027:127932029_KaplanMeier.pdf
Tumor	127816827:127816829	OS	0.5953	OS/Tumor/OS_127816827:127816829_KaplanMeier.pdf
Tumor	127855162:127855164	DSS	0.6007	DSS/Tumor/DSS_127855162:127855164_KaplanMeier.pdf
Tumor	128038916:128038918	DFI	0.6007	DFI/Tumor/DFI_128038916:128038918_KaplanMeier.pdf
Tumor	128100979:128100981	DFI	0.6048	DFI/Tumor/DFI_128100979:128100981_KaplanMeier.pdf
Tumor	128099369:128099371	OS	0.6099	OS/Tumor/OS_128099369:128099371_KaplanMeier.pdf
Tumor	128049584:128049586	DSS	0.628	DSS/Tumor/DSS_128049584:128049586_KaplanMeier.pdf
Tumor	127989161:127989163	DFI	0.6307	DFI/Tumor/DFI_127989161:127989163_KaplanMeier.pdf
Tumor	127854727:127854729	PFI	0.6341	PFI/Tumor/PFI_127854727:127854729_KaplanMeier.pdf
Tumor	127932052:127932054	PFI	0.6422	PFI/Tumor/PFI_127932052:127932054_KaplanMeier.pdf
Tumor	127819908:127819910	OS	0.6433	OS/Tumor/OS_127819908:127819910_KaplanMeier.pdf
Tumor	127855162:127855164	PFI	0.6451	PFI/Tumor/PFI_127855162:127855164_KaplanMeier.pdf
Tumor	127932027:127932029	DSS	0.6594	DSS/Tumor/DSS_127932027:127932029_KaplanMeier.pdf
Tumor	128031057:128031059	DFI	0.6687	DFI/Tumor/DFI_128031057:128031059_KaplanMeier.pdf
Tumor	127851933:127851935	DFI	0.6732	DFI/Tumor/DFI_127851933:127851935_KaplanMeier.pdf
Tumor	128031057:128031059	DSS	0.6791	DSS/Tumor/DSS_128031057:128031059_KaplanMeier.pdf
Tumor	128082752:128082754	DSS	0.6802	DSS/Tumor/DSS_128082752:128082754_KaplanMeier.pdf
Tumor	128069068:128069070	PFI	0.6813	PFI/Tumor/PFI_128069068:128069070_KaplanMeier.pdf
Tumor	127818899:127818901	PFI	0.6998	PFI/Tumor/PFI_127818899:127818901_KaplanMeier.pdf
Tumor	127932027:127932029	PFI	0.7105	PFI/Tumor/PFI_127932027:127932029_KaplanMeier.pdf
Tumor	127881800:127881802	DFI	0.7107	DFI/Tumor/DFI_127881800:127881802_KaplanMeier.pdf
Tumor	128069068:128069070	DFI	0.7165	DFI/Tumor/DFI_128069068:128069070_KaplanMeier.pdf
Tumor	128049584:128049586	PFI	0.7225	PFI/Tumor/PFI_128049584:128049586_KaplanMeier.pdf
Tumor	127803149:127803151	DFI	0.7396	DFI/Tumor/DFI_127803149:127803151_KaplanMeier.pdf
Tumor	128100979:128100981	DSS	0.7462	DSS/Tumor/DSS_128100979:128100981_KaplanMeier.pdf
Tumor	128096520:128096522	PFI	0.7477	PFI/Tumor/PFI_128096520:128096522_KaplanMeier.pdf
Tumor	128070161:128070163	DFI	0.7546	DFI/Tumor/DFI_128070161:128070163_KaplanMeier.pdf
Tumor	127803149:127803151	PFI	0.7551	PFI/Tumor/PFI_127803149:127803151_KaplanMeier.pdf
Tumor	128031057:128031059	PFI	0.7568	PFI/Tumor/PFI_128031057:128031059_KaplanMeier.pdf
Tumor	128049584:128049586	DFI	0.7617	DFI/Tumor/DFI_128049584:128049586_KaplanMeier.pdf
Tumor	128082752:128082754	OS	0.7747	OS/Tumor/OS_128082752:128082754_KaplanMeier.pdf
Tumor	127989161:127989163	DSS	0.7783	DSS/Tumor/DSS_127989161:127989163_KaplanMeier.pdf
Tumor	127854727:127854729	DSS	0.7929	DSS/Tumor/DSS_127854727:127854729_KaplanMeier.pdf
Tumor	127803149:127803151	OS	0.7946	OS/Tumor/OS_127803149:127803151_KaplanMeier.pdf
Tumor	128082752:128082754	DFI	0.7951	DFI/Tumor/DFI_128082752:128082754_KaplanMeier.pdf
Tumor	128082752:128082754	PFI	0.7953	PFI/Tumor/PFI_128082752:128082754_KaplanMeier.pdf
Tumor	127932464:127932466	DSS	0.8062	DSS/Tumor/DSS_127932464:127932466_KaplanMeier.pdf
Tumor	127932052:127932054	DSS	0.8095	DSS/Tumor/DSS_127932052:127932054_KaplanMeier.pdf
Tumor	127932464:127932466	PFI	0.8195	PFI/Tumor/PFI_127932464:127932466_KaplanMeier.pdf
Tumor	128099369:128099371	DSS	0.8574	DSS/Tumor/DSS_128099369:128099371_KaplanMeier.pdf
Tumor	127882061:127882063	DSS	0.8602	DSS/Tumor/DSS_127882061:127882063_KaplanMeier.pdf
Tumor	128038916:128038918	PFI	0.8629	PFI/Tumor/PFI_128038916:128038918_KaplanMeier.pdf
Tumor	128049587:128049589	DFI	0.8843	DFI/Tumor/DFI_128049587:128049589_KaplanMeier.pdf
Tumor	127819908:127819910	DFI	0.8889	DFI/Tumor/DFI_127819908:127819910_KaplanMeier.pdf
Tumor	127902455:127902457	PFI	0.9126	PFI/Tumor/PFI_127902455:127902457_KaplanMeier.pdf
Tumor	128095691:128095693	DSS	0.9317	DSS/Tumor/DSS_128095691:128095693_KaplanMeier.pdf
Tumor	127890588:127890590	PFI	0.934	PFI/Tumor/PFI_127890588:127890590_KaplanMeier.pdf
Tumor	127932027:127932029	OS	0.9388	OS/Tumor/OS_127932027:127932029_KaplanMeier.pdf
Tumor	128038916:128038918	OS	0.9401	OS/Tumor/OS_128038916:128038918_KaplanMeier.pdf
Tumor	127932464:127932466	DFI	0.9442	DFI/Tumor/DFI_127932464:127932466_KaplanMeier.pdf
Tumor	127881800:127881802	OS	0.9564	OS/Tumor/OS_127881800:127881802_KaplanMeier.pdf
Tumor	127932052:127932054	DFI	0.9623	DFI/Tumor/DFI_127932052:127932054_KaplanMeier.pdf
Tumor	127803149:127803151	DSS	0.9636	DSS/Tumor/DSS_127803149:127803151_KaplanMeier.pdf
Tumor	128048447:128048449	DSS	0.9659	DSS/Tumor/DSS_128048447:128048449_KaplanMeier.pdf
Tumor	127989161:127989163	PFI	0.97	PFI/Tumor/PFI_127989161:127989163_KaplanMeier.pdf
Tumor	127989161:127989163	OS	0.971	OS/Tumor/OS_127989161:127989163_KaplanMeier.pdf
Tumor	127998911:127998913	OS	0.9716	OS/Tumor/OS_127998911:127998913_KaplanMeier.pdf
Tumor	127819908:127819910	PFI	0.9791	PFI/Tumor/PFI_127819908:127819910_KaplanMeier.pdf
Tumor	128100979:128100981	OS	0.9803	OS/Tumor/OS_128100979:128100981_KaplanMeier.pdf
Tumor	128049587:128049589	PFI	0.9814	PFI/Tumor/PFI_128049587:128049589_KaplanMeier.pdf
Tumor	127890588:127890590	OS	0.9818	OS/Tumor/OS_127890588:127890590_KaplanMeier.pdf
Tumor	128096520:128096522	DSS	0.9894	DSS/Tumor/DSS_128096520:128096522_KaplanMeier.pdf
