Gene	Term	GLMNET_coefficients	lambda_min
ENST00000504719.7	(Intercept)	-9.65731674579822	1.46392369552553
ENST00000504719.7	127818899:127818901	0	1.46392369552553
ENST00000504719.7	127882061:127882063	0	1.46392369552553
ENST00000504719.7	128100979:128100981	0	1.46392369552553
ENST00000504719.7	127803149:127803151	0	1.46392369552553
ENST00000504719.7	128082752:128082754	0	1.46392369552553
ENST00000504719.7	127854727:127854729	0	1.46392369552553
ENST00000504719.7	128069068:128069070	0	1.46392369552553
ENST00000504719.7	128099369:128099371	0	1.46392369552553
ENST00000504719.7	128031057:128031059	0	1.46392369552553
ENST00000504719.7	127855154:127855156	0	1.46392369552553
ENST00000504719.7	128031958:128031960	0	1.46392369552553
ENST00000504719.7	128074072:128074074	0	1.46392369552553
ENST00000504719.7	127816827:127816829	0	1.46392369552553
ENST00000504719.7	127851933:127851935	0	1.46392369552553
ENST00000504719.7	127932464:127932466	0	1.46392369552553
ENST00000504719.7	128070161:128070163	-1.81020806451819e-15	1.46392369552553
ENST00000504719.7	128070159:128070161	0	1.46392369552553
ENST00000504719.7	127890588:127890590	0	1.46392369552553
ENST00000504719.7	128049584:128049586	0	1.46392369552553
ENST00000504719.7	128096517:128096519	0	1.46392369552553
ENST00000504719.7	127932052:127932054	0	1.46392369552553
ENST00000504719.7	127855162:127855164	0	1.46392369552553
ENST00000504719.7	127932027:127932029	0	1.46392369552553
ENST00000504719.7	128038916:128038918	0	1.46392369552553
ENST00000504719.7	127881800:127881802	0	1.46392369552553
ENST00000504719.7	128080302:128080304	0	1.46392369552553
ENST00000504719.7	128049587:128049589	0	1.46392369552553
ENST00000504719.7	128048447:128048449	0	1.46392369552553
ENST00000504719.7	127989161:127989163	0	1.46392369552553
ENST00000504719.7	127902455:127902457	0	1.46392369552553
ENST00000504719.7	127819908:127819910	0	1.46392369552553
ENST00000504719.7	127996560:127996562	0	1.46392369552553
ENST00000504719.7	128096520:128096522	0	1.46392369552553
ENST00000504719.7	128074069:128074071	0	1.46392369552553
ENST00000512617.7	(Intercept)	-11.2554796171887	0.54454270173949
ENST00000512617.7	127818899:127818901	0	0.54454270173949
ENST00000512617.7	127882061:127882063	0	0.54454270173949
ENST00000512617.7	128100979:128100981	0	0.54454270173949
ENST00000512617.7	127803149:127803151	0	0.54454270173949
ENST00000512617.7	128082752:128082754	0	0.54454270173949
ENST00000512617.7	127854727:127854729	0	0.54454270173949
ENST00000512617.7	128069068:128069070	0	0.54454270173949
ENST00000512617.7	128099369:128099371	0	0.54454270173949
ENST00000512617.7	128031057:128031059	0	0.54454270173949
ENST00000512617.7	127855154:127855156	0	0.54454270173949
ENST00000512617.7	128031958:128031960	0	0.54454270173949
ENST00000512617.7	128074072:128074074	0	0.54454270173949
ENST00000512617.7	127816827:127816829	0	0.54454270173949
ENST00000512617.7	127851933:127851935	0	0.54454270173949
ENST00000512617.7	127932464:127932466	0	0.54454270173949
ENST00000512617.7	128070161:128070163	0	0.54454270173949
