Gene	Term	GLMNET_coefficients	lambda_min
ENST00000504719.7	(Intercept)	207.583976507978	0.94325996746489
ENST00000504719.7	127818899:127818901	-87.4036944344274	0.94325996746489
ENST00000504719.7	127882061:127882063	0	0.94325996746489
ENST00000504719.7	128100979:128100981	0	0.94325996746489
ENST00000504719.7	127803149:127803151	-64.4422251306324	0.94325996746489
ENST00000504719.7	128082752:128082754	3.93694390200912	0.94325996746489
ENST00000504719.7	127854727:127854729	-22.3928835700743	0.94325996746489
ENST00000504719.7	128069068:128069070	0	0.94325996746489
ENST00000504719.7	128099369:128099371	0	0.94325996746489
ENST00000504719.7	128031057:128031059	0	0.94325996746489
ENST00000504719.7	127855154:127855156	0	0.94325996746489
ENST00000504719.7	128031958:128031960	-4.74323569167448	0.94325996746489
ENST00000504719.7	128074072:128074074	0	0.94325996746489
ENST00000504719.7	127816827:127816829	10.9137071771025	0.94325996746489
ENST00000504719.7	127851933:127851935	0	0.94325996746489
ENST00000504719.7	127932464:127932466	0	0.94325996746489
ENST00000504719.7	128070161:128070163	0	0.94325996746489
ENST00000504719.7	128070159:128070161	-0.766460362558283	0.94325996746489
ENST00000504719.7	127890588:127890590	0	0.94325996746489
ENST00000504719.7	128049584:128049586	0	0.94325996746489
ENST00000504719.7	128096517:128096519	-0.823013020475925	0.94325996746489
ENST00000504719.7	127932052:127932054	0	0.94325996746489
ENST00000504719.7	127855162:127855164	0	0.94325996746489
ENST00000504719.7	127932027:127932029	3.76082234193283	0.94325996746489
ENST00000504719.7	128038916:128038918	-5.98778012329299	0.94325996746489
ENST00000504719.7	127881800:127881802	0	0.94325996746489
ENST00000504719.7	128080302:128080304	0	0.94325996746489
ENST00000504719.7	128049587:128049589	0	0.94325996746489
ENST00000504719.7	128048447:128048449	0	0.94325996746489
ENST00000504719.7	127989161:127989163	0	0.94325996746489
ENST00000504719.7	127902455:127902457	0.735572891447235	0.94325996746489
ENST00000504719.7	127819908:127819910	-51.3211182931176	0.94325996746489
ENST00000504719.7	127996560:127996562	0	0.94325996746489
ENST00000504719.7	128096520:128096522	0	0.94325996746489
ENST00000504719.7	128074069:128074071	0	0.94325996746489
ENST00000513868.6	(Intercept)	-4.98139443318693	2.76323696936729
ENST00000513868.6	127818899:127818901	0	2.76323696936729
ENST00000513868.6	127882061:127882063	0	2.76323696936729
ENST00000513868.6	128100979:128100981	0	2.76323696936729
ENST00000513868.6	127803149:127803151	0	2.76323696936729
ENST00000513868.6	128082752:128082754	0	2.76323696936729
ENST00000513868.6	127854727:127854729	0	2.76323696936729
ENST00000513868.6	128069068:128069070	0	2.76323696936729
ENST00000513868.6	128099369:128099371	0	2.76323696936729
ENST00000513868.6	128031057:128031059	0	2.76323696936729
ENST00000513868.6	127855154:127855156	0	2.76323696936729
ENST00000513868.6	128031958:128031960	0	2.76323696936729
ENST00000513868.6	128074072:128074074	0	2.76323696936729
ENST00000513868.6	127816827:127816829	0	2.76323696936729
ENST00000513868.6	127851933:127851935	0	2.76323696936729
ENST00000513868.6	127932464:127932466	0	2.76323696936729
ENST00000513868.6	128070161:128070163	0	2.76323696936729
ENST00000513868.6	128070159:128070161	0	2.76323696936729
ENST00000513868.6	127890588:127890590	0	2.76323696936729
ENST00000513868.6	128049584:128049586	0	2.76323696936729
ENST00000513868.6	128096517:128096519	0	2.76323696936729
ENST00000513868.6	127932052:127932054	0	2.76323696936729
ENST00000513868.6	127855162:127855164	0	2.76323696936729
ENST00000513868.6	127932027:127932029	0	2.76323696936729
ENST00000513868.6	128038916:128038918	0	2.76323696936729
ENST00000513868.6	127881800:127881802	0	2.76323696936729
ENST00000513868.6	128080302:128080304	0	2.76323696936729
ENST00000513868.6	128049587:128049589	0	2.76323696936729
ENST00000513868.6	128048447:128048449	0	2.76323696936729
ENST00000513868.6	127989161:127989163	0	2.76323696936729
ENST00000513868.6	127902455:127902457	0	2.76323696936729
ENST00000513868.6	127819908:127819910	0	2.76323696936729
ENST00000513868.6	127996560:127996562	0	2.76323696936729
ENST00000513868.6	128096520:128096522	0	2.76323696936729
ENST00000513868.6	128074069:128074071	0	2.76323696936729
ENST00000517790.2	(Intercept)	68.7401320398281	1.87596398146093
ENST00000517790.2	127818899:127818901	-36.6031804440123	1.87596398146093
ENST00000517790.2	127882061:127882063	0	1.87596398146093
ENST00000517790.2	128100979:128100981	0	1.87596398146093
ENST00000517790.2	127803149:127803151	0	1.87596398146093
ENST00000517790.2	128082752:128082754	0	1.87596398146093
ENST00000517790.2	127854727:127854729	0	1.87596398146093
ENST00000517790.2	128069068:128069070	0	1.87596398146093
ENST00000517790.2	128099369:128099371	0	1.87596398146093
ENST00000517790.2	128031057:128031059	0	1.87596398146093
ENST00000517790.2	127855154:127855156	0	1.87596398146093
ENST00000517790.2	128031958:128031960	0	1.87596398146093
ENST00000517790.2	128074072:128074074	0	1.87596398146093
ENST00000517790.2	127816827:127816829	0	1.87596398146093
ENST00000517790.2	127851933:127851935	0	1.87596398146093
ENST00000517790.2	127932464:127932466	0	1.87596398146093
ENST00000517790.2	128070161:128070163	0	1.87596398146093
ENST00000517790.2	128070159:128070161	0	1.87596398146093
ENST00000517790.2	127890588:127890590	0	1.87596398146093
ENST00000517790.2	128049584:128049586	-37.9735201526328	1.87596398146093
ENST00000517790.2	128096517:128096519	0	1.87596398146093
ENST00000517790.2	127932052:127932054	0	1.87596398146093
ENST00000517790.2	127855162:127855164	0	1.87596398146093
ENST00000517790.2	127932027:127932029	0	1.87596398146093
ENST00000517790.2	128038916:128038918	-3.54855294451478	1.87596398146093
ENST00000517790.2	127881800:127881802	0	1.87596398146093
ENST00000517790.2	128080302:128080304	0	1.87596398146093
ENST00000517790.2	128049587:128049589	0	1.87596398146093
ENST00000517790.2	128048447:128048449	0	1.87596398146093
ENST00000517790.2	127989161:127989163	0	1.87596398146093
ENST00000517790.2	127902455:127902457	0	1.87596398146093
ENST00000517790.2	127819908:127819910	0	1.87596398146093
ENST00000517790.2	127996560:127996562	0	1.87596398146093
ENST00000517790.2	128096520:128096522	0	1.87596398146093
ENST00000517790.2	128074069:128074071	0	1.87596398146093
ENST00000517838.6	(Intercept)	0.581679589693225	4.68869185161086
ENST00000517838.6	127818899:127818901	0	4.68869185161086
ENST00000517838.6	127882061:127882063	0	4.68869185161086
ENST00000517838.6	128100979:128100981	0	4.68869185161086
ENST00000517838.6	127803149:127803151	0	4.68869185161086
ENST00000517838.6	128082752:128082754	0	4.68869185161086
ENST00000517838.6	127854727:127854729	0	4.68869185161086
ENST00000517838.6	128069068:128069070	0	4.68869185161086
ENST00000517838.6	128099369:128099371	0	4.68869185161086
ENST00000517838.6	128031057:128031059	-3.81308826885611	4.68869185161086
ENST00000517838.6	127855154:127855156	0	4.68869185161086
ENST00000517838.6	128031958:128031960	0	4.68869185161086
ENST00000517838.6	128074072:128074074	0	4.68869185161086
ENST00000517838.6	127816827:127816829	0	4.68869185161086
ENST00000517838.6	127851933:127851935	0	4.68869185161086
ENST00000517838.6	127932464:127932466	0	4.68869185161086
ENST00000517838.6	128070161:128070163	0	4.68869185161086
ENST00000517838.6	128070159:128070161	0	4.68869185161086
ENST00000517838.6	127890588:127890590	0	4.68869185161086
ENST00000517838.6	128049584:128049586	0	4.68869185161086
ENST00000517838.6	128096517:128096519	0	4.68869185161086
ENST00000517838.6	127932052:127932054	0	4.68869185161086
ENST00000517838.6	127855162:127855164	0	4.68869185161086
ENST00000517838.6	127932027:127932029	0	4.68869185161086
ENST00000517838.6	128038916:128038918	0	4.68869185161086
ENST00000517838.6	127881800:127881802	0	4.68869185161086
ENST00000517838.6	128080302:128080304	0	4.68869185161086
ENST00000517838.6	128049587:128049589	0	4.68869185161086
ENST00000517838.6	128048447:128048449	0	4.68869185161086
ENST00000517838.6	127989161:127989163	0	4.68869185161086
ENST00000517838.6	127902455:127902457	0	4.68869185161086
ENST00000517838.6	127819908:127819910	0	4.68869185161086
ENST00000517838.6	127996560:127996562	0	4.68869185161086
